Pos,Artist and Title, ,"15,443.7","15,724.1","15,726.8","15,730.6","15,733.2"
86,TALK - Run Away to Mars, ,0.0662,0.0000,0.0000,0.0000,0.0000
87,Coldplay - Viva la Vida, ,0.0662,0.0250,0.0219,0.0302,0.0000
88,The Chainsmokers & Coldplay - Something Just Like This, ,0.0662,0.0250,0.0219,0.0201,0.0000
89,Metallica - Master of Puppets, ,0.0662,0.0286,0.0219,0.0000,0.0321
90,Coldplay - The Scientist, ,0.0636,0.0286,0.0253,0.0251,0.0271
91,Latto & Mariah Carey - Big Energy (Remix) [feat. DJ Khaled], ,0.0636,0.0215,0.0151,0.0251,0.0000
92,George Ezra - Green Green Grass (Majestic Remix), ,0.0636,0.0250,0.0320,0.0302,0.0000
93,Lady Gaga - I'll Never Love Again (Extended Version), ,0.0610,0.0000,0.0000,0.0000,0.0000
94,Ruelle - I Get to Love You, ,0.0610,0.0286,0.0000,0.0000,0.0309
95,Coldplay - Clocks, ,0.0610,0.0286,0.0236,0.0000,0.0284
96,Tom Cary - I Can't Breathe, ,0.0560,0.0000,0.0000,0.0000,0.0000
97,Megan Thee Stallion - Her, ,0.0483,0.0000,0.0000,0.0000,0.0420
98,Stevie Wonder - Happy Birthday, ,0.0408,0.0000,0.0000,0.0000,0.0000
99,Elvis Presley - Suspicious Minds, ,0.0382,0.0000,0.0000,0.0000,0.0000
100,Toyah - Slave to the Rhythm (feat. Robert Fripp), ,0.0382,0.0000,0.0000,0.0000,0.0000
---,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast - We Don't Talk About Bruno", ,0.0000,0.0250,0.0000,0.0000,0.0309
---,Coldplay - Higher Power, ,0.0000,0.0250,0.0269,0.0251,0.0000
---,"benny blanco, BTS & Snoop Dogg - Bad Decisions", ,0.0000,0.0321,0.0219,0.0214,0.0358
---,Ed Sheeran - Overpass Graffiti, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Tones And I - Dance Monkey, ,0.0000,0.0000,0.0168,0.0214,0.0000
---,One Direction - Night Changes, ,0.0000,0.0000,0.0000,0.0000,0.0284
---,Christina Perri - A Thousand Years, ,0.0000,0.0000,0.0184,0.0226,0.0333
---,Darius - Colourblind, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Ghost - Mary on a Cross, ,0.0000,0.0321,0.0184,0.0201,0.0333
---,Coldplay - Hymn for the Weekend, ,0.0000,0.0178,0.0000,0.0214,0.0000
---,Alesso & Zara Larsson - Words, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Coldplay - Adventure of a Lifetime, ,0.0000,0.0178,0.0219,0.0226,0.0000
---,Diplo & TSHA - Let You Go (feat. Kareen Lomax), ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Beyoncé & Madonna - BREAK MY SOUL (THE QUEENS REMIX), ,0.0000,0.0000,0.0000,0.0000,0.0333
---,Wet Leg - Wet Dream, ,0.0000,0.0000,0.0184,0.0000,0.0000
---,Harry Styles - Adore You, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Natalie Cole - This Will Be (An Everlasting Love), ,0.0000,0.0000,0.0000,0.0000,0.0321
---,Shakira - Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] [feat. Freshlyground], ,0.0000,0.0000,0.0000,0.0176,0.0000
---,Darius - Incredible (What I Meant to Say), ,0.0000,0.0286,0.0000,0.0000,0.0000
---,Gala - Freed from Desire, ,0.0000,0.0250,0.0236,0.0239,0.0000
