Artist,Listeners,Daily Trend,Peak,PkListeners
Mahalini,"9,670,542","-15,920",772,"10,318,564"
BØRNS,"9,660,608","2,752",820,"10,042,261"
Tayc,"9,659,479","-31,879",948,"10,101,485"
Will Smith,"9,659,010","16,049",850,"9,799,337"
John Denver,"9,651,558","22,557",600,"13,363,125"
The Verve,"9,647,856","13,753",928,"9,688,573"
Alan Jackson,"9,646,491","58,925",1001,"9,646,491"
James Bay,"9,627,395","-25,421",571,"11,982,757"
The Temper Trap,"9,619,810","17,533",1027,"9,619,810"
La Arrolladora Banda El Limón De Rene Camacho,"9,611,315","-5,039",962,"9,721,304"
Sachet-Parampara,"9,611,233","-7,795",793,"10,271,926"
Mesita,"9,606,046","-43,366",638,"12,654,592"
Tulus,"9,590,640","-24,054",858,"10,083,205"
Kavita Krishnamurthy,"9,590,221",227,862,"10,104,001"
Hugo & Guilherme,"9,588,879","21,122",706,"12,037,109"
Jimi Hendrix,"9,585,742","24,716",791,"9,585,742"
Cascada,"9,584,190","16,082",964,"9,772,300"
Thalia,"9,578,574","11,105",699,"9,975,578"
James Blake,"9,575,045","48,471",582,"12,512,105"
YNW Melly,"9,573,859","3,492",619,"12,098,740"
YOVNGCHIMI,"9,571,782","-7,941",586,"12,923,482"
R. D. Burman,"9,516,126","4,063",863,"9,770,123"
João Gomes,"9,513,710","46,964",791,"11,130,158"
King Von,"9,496,945","3,266",857,"9,792,497"
Benny Benassi,"9,472,460","25,268",896,"9,472,460"
Audioslave,"9,472,356","8,389",1045,"9,472,356"
George Harrison,"9,470,431","-10,413",1002,"9,622,927"
SAINt JHN,"9,466,976","45,415",614,"10,812,618"
Of Monsters and Men,"9,465,365","-14,473",958,"9,840,281"
Alex Warren,"9,457,522","24,576",967,"9,906,224"
Filipe Ret,"9,456,920",739,973,"9,751,661"
Stormzy,"9,440,285","-51,195",690,"10,986,282"
FAST BOY,"9,432,446","-23,050",541,"11,900,190"
José José,"9,425,602","-1,099",893,"9,515,530"
Ozzy Osbourne,"9,420,558","2,150",805,"10,761,665"
LUM!X,"9,415,301","8,906",830,"9,447,909"
Gera MX,"9,404,884","-7,784",706,"11,401,409"
Surf Curse,"9,402,160","26,176",711,"11,266,377"
CKay,"9,402,004","-15,189",429,"15,504,745"
Natalie Imbruglia,"9,399,706","5,778",1017,"9,607,150"
BYOR,"9,393,113","-55,061",740,"9,642,087"
Omah Lay,"9,392,362","13,837",913,"9,568,404"
Kailash Kher,"9,381,410","-12,779",874,"9,937,491"
Mc Menor Do Alvorada,"9,378,206","5,831",761,"10,647,877"
Chimbala,"9,371,415","91,270",1064,"9,371,415"
Asha Bhosle,"9,358,984",302,884,"9,754,350"
Majestic,"9,357,502","6,971",1066,"9,361,919"
Hoobastank,"9,355,861","-31,685",821,"9,893,150"
Aya Nakamura,"9,353,877","-11,301",734,"10,095,739"
Tribbs,"9,346,096","-41,666",1021,"9,550,305"
Oliver Heldens,"9,342,432",-150,710,"10,165,996"
DJ TOPO,"9,342,265","264,040",1071,"9,342,265"
Creeds,"9,329,782","-41,984",963,"9,915,553"
FIFTY FIFTY,"9,317,467","-33,187",70,"37,675,143"
Hungria,"9,315,569","-8,492",949,"9,922,581"
Toploader,"9,315,116","-9,652",1054,"9,408,711"
Pixies,"9,311,740","2,468",778,"10,085,366"
Omar Montes,"9,300,056","-7,715",1003,"9,789,274"
Dove Cameron,"9,293,007","-11,365",367,"15,363,797"
MC Hariel,"9,282,058","11,539",810,"11,053,901"
Dhvani Bhanushali,"9,277,391","4,405",643,"11,726,344"
Ray Charles,"9,274,547","-32,537",860,"10,419,518"
Wizkid,"9,271,496","3,606",523,"13,758,308"
AgroPlay,"9,268,292","-35,659",736,"10,962,379"
Lyodra,"9,264,072","14,313",1078,"9,264,072"
Oscar Ortiz,"9,256,573","-16,125",569,"13,802,790"
ENHYPEN,"9,250,836","-25,643",861,"10,254,021"
Talking Heads,"9,237,684","30,882",835,"9,941,912"
TOMORROW X TOGETHER,"9,230,853","-23,367",629,"12,038,327"
MK,"9,230,174","22,120",766,"10,623,731"
Mc Leozin,"9,228,946","259,210",1090,"9,228,946"
Tim McGraw,"9,228,850","-2,066",790,"10,323,631"
Dj GM,"9,225,855","8,695",1090,"9,225,855"
UB40,"9,222,923","-7,726",1040,"9,303,150"
Sasha Alex Sloan,"9,217,139","-16,524",463,"14,497,829"
Kenia OS,"9,208,734","1,953",660,"10,654,452"
Olivia Newton-John,"9,186,528","-78,949",708,"11,789,313"
Jeremy Zucker,"9,186,311","15,023",513,"12,231,275"
Skillet,"9,182,600","14,990",1039,"9,182,600"
Los Dos Carnales,"9,166,737","-10,004",952,"9,759,851"
S3BZS,"9,159,522","-22,089",589,"12,517,406"
Carrie Underwood,"9,154,654","2,052",663,"11,788,929"
Olly Alexander (Years & Years),"9,149,819","-18,864",863,"9,240,442"
*NSYNC,"9,147,723","-14,437",292,"22,100,048"
MAX,"9,146,772","-3,788",750,"11,143,093"
Sigala,"9,143,355","-19,511",384,"15,011,420"
Ink,"9,140,090",153,1106,"9,140,090"
Hailee Steinfeld,"9,133,930","-27,135",440,"14,217,074"
Brooks & Dunn,"9,123,229","53,635",1024,"9,123,229"
LMFAO,"9,118,357","7,088",905,"9,395,101"
Casper Magico,"9,115,967","-9,945",936,"9,193,558"
DJ JOÃO PEREIRA,"9,115,588","34,733",1111,"9,115,588"
Heart,"9,111,198","-15,851",717,"10,760,608"
Shadab Faridi,"9,106,650","12,485",584,"12,567,527"
Ana Gabriel,"9,105,714","17,434",1013,"9,105,714"
Tinashe,"9,103,802","233,633",1088,"9,103,802"
AJR,"9,096,217","3,298",576,"11,478,322"
Mitraz,"9,093,931","-46,394",963,"9,986,603"
Edward Maya,"9,085,571","38,253",1033,"9,325,373"
Mc Davi,"9,080,803","4,616",670,"12,324,247"
Alanis Morissette,"9,061,635","-16,091",1063,"9,189,304"
Odetari,"9,057,289","-15,641",856,"9,892,615"
GROUPLOVE,"9,054,925","-25,958",1096,"9,113,568"
Jul,"9,045,651","-5,377",1032,"9,184,258"
Willie Nelson,"9,036,060","-8,925",568,"14,219,269"
The Jackson 5,"9,015,815","-28,505",150,"31,031,521"
Kenny Rogers,"9,005,671","45,298",842,"10,593,609"
Mahalakshmi Iyer,"8,999,895","10,691",1022,"8,999,895"
Neon Trees,"8,993,861","-2,742",1121,"8,997,118"
Felipe e Rodrigo,"8,992,600","86,940",1129,"8,992,600"
Etta James,"8,975,053","-14,368",708,"11,925,174"
Kausar Munir,"8,972,315","64,023",1106,"8,972,315"
America,"8,949,658","2,811",778,"10,634,005"
Chicago,"8,949,432","5,565",824,"10,005,709"
Kodaline,"8,945,810","-8,030",836,"10,091,624"
Juan Magán,"8,939,020",568,986,"9,711,529"
George Strait,"8,920,377","19,001",1052,"8,920,377"
Soolking,"8,917,306","-19,192",823,"10,862,635"
Norah Jones,"8,911,676",676,671,"12,432,073"
Mainstreet,"8,903,163","-13,281",781,"11,206,118"
Neeraj Shridhar,"8,879,850","-3,334",822,"9,759,193"
Jason Aldean,"8,874,068","1,697",698,"11,170,383"
Belanova,"8,873,664","-5,471",787,"10,413,819"
ILLENIUM,"8,872,892","-10,750",570,"12,528,350"
JC Reyes,"8,869,813","49,564",1144,"8,869,813"
Starship,"8,868,242","14,863",917,"10,153,713"
Manu,"8,860,783","38,575",935,"9,794,583"
The Ronettes,"8,850,286","-29,832",73,"42,432,437"
NATTAN,"8,848,040","7,259",884,"9,528,952"
Ludovico Einaudi,"8,845,486","10,459",919,"9,765,031"
Blxst,"8,841,193","-65,202",771,"9,488,271"
Dusty Springfield,"8,838,831","-6,527",905,"10,305,065"
VINAI,"8,838,634","-36,063",1013,"9,188,363"
Fugees,"8,835,880","-1,560",925,"10,083,894"
Adolescent's Orquesta,"8,825,371","4,456",1150,"8,825,371"
Mötley Crüe,"8,820,204","-9,659",924,"9,165,803"
Rekha Bhardwaj,"8,818,856","-1,335",932,"9,098,811"
The Blessed Madonna,"8,811,798","30,379",1157,"8,811,798"
Sufjan Stevens,"8,803,308","-2,388",841,"10,472,102"
Old Dominion,"8,799,455","13,229",973,"8,895,218"
Connor Price,"8,798,698","-5,105",908,"9,470,396"
Willy William,"8,789,079","-7,385",780,"10,376,125"
Leony,"8,776,410","43,796",1162,"8,776,410"
Pedro Capó,"8,770,015","-3,804",634,"11,680,899"
Mr. Belt & Wezol,"8,754,774","-8,818",1150,"8,800,279"
Beach Bunny,"8,749,623","-39,220",951,"9,416,022"
Shenseea,"8,746,323","33,451",1166,"8,746,323"
DJ WN,"8,743,422","4,133",1163,"8,745,524"
Shouse,"8,743,298","19,756",530,"13,218,201"
Toby Keith,"8,732,982","5,103",844,"10,755,536"
Simple Minds,"8,715,942","-23,233",937,"9,745,879"
Dread Mar I,"8,700,474","-14,740",912,"9,302,106"
Lithe,"8,696,648","123,415",1172,"8,696,648"
IVE,"8,695,218","-62,060",608,"11,793,543"
Clams Casino,"8,677,706","-31,534",1160,"8,761,223"
MC GP,"8,670,633","-17,430",792,"11,123,412"
Guru Randhawa,"8,665,725","17,300",715,"10,872,244"
Intense,"8,658,730","22,328",1051,"8,725,766"
Jarabe De Palo,"8,657,139","-74,159",1137,"8,880,223"
Duncan Laurence,"8,650,811","1,150",847,"9,233,454"
Anuv Jain,"8,647,302","-18,014",748,"11,538,672"
INXS,"8,634,095","-15,925",798,"10,326,929"
Zac Efron,"8,633,023","-7,809",810,"10,200,779"
Crowded House,"8,623,567","7,032",1169,"8,669,230"
MC Paulin da Capital,"8,622,945","-3,856",1150,"8,762,806"
Gulzar,"8,596,243","9,168",1141,"8,596,243"
Øneheart,"8,594,095","7,875",1127,"8,704,399"
Nina Simone,"8,590,621","14,994",990,"9,402,005"
James Carter,"8,589,667","-13,064",582,"11,924,918"
Bleachers,"8,584,887","-11,371",972,"9,586,851"
Kenny Chesney,"8,583,382","-35,121",880,"9,602,722"
Beastie Boys,"8,581,331",-254,776,"10,144,142"
Axwell /\ Ingrosso,"8,570,441","4,346",1101,"8,834,302"
Two Feet,"8,558,197","3,738",856,"9,668,762"
Thirty Seconds To Mars,"8,549,857",-871,874,"9,718,710"
American Authors,"8,548,120","53,935",1078,"8,625,165"
Franz Ferdinand,"8,539,109","31,505",1177,"8,539,109"
G. V. Prakash,"8,538,003","-1,150",818,"9,870,379"
Rashmi Virag,"8,532,121","-2,251",880,"9,565,749"
The Doobie Brothers,"8,520,066","22,395",946,"9,094,086"
Love Funk,"8,501,744","-9,833",1151,"8,758,482"
Joey Bada$$,"8,499,482","-9,845",772,"10,299,380"
Los Temerarios,"8,497,967","4,535",1165,"8,501,045"
Mc Livinho,"8,489,650","35,946",762,"10,591,190"
Zak Abel,"8,487,457","-18,737",1075,"9,257,698"
Kool & The Gang,"8,480,907","-8,134",875,"10,031,067"
Raj Ranjodh,"8,477,525","62,694",1206,"8,477,525"
Majid Jordan,"8,472,379","-67,591",934,"9,587,875"
Ankit Tiwari,"8,458,371","5,887",986,"8,921,931"
The Animals,"8,451,886","13,966",1125,"8,587,384"
Ski Mask The Slump God,"8,446,119",-442,738,"10,318,769"
M.I.A.,"8,445,776","4,321",844,"10,032,217"
Simple Plan,"8,437,291","-31,842",1164,"8,566,704"
David Bisbal,"8,433,833","53,450",954,"8,433,833"
Micro TDH,"8,430,322","-9,920",732,"10,282,823"
