Artist,Listeners,Daily Trend,Peak,PkListeners
isq,"6,429,596","7,134",1681,"6,429,596"
Ghea Indrawari,"6,428,237","-4,969",886,"9,641,695"
88rising,"6,423,113","46,436",1034,"7,606,297"
Los Cadetes De Linares,"6,421,634",988,1680,"6,443,934"
LUCKI,"6,418,295","-26,245",1461,"6,916,806"
Dierks Bentley,"6,414,202","15,382",1130,"7,306,967"
MC NAHARA,"6,410,462","-9,365",1551,"6,852,536"
The Cars,"6,403,415","3,450",1109,"7,959,787"
Polimá Westcoast,"6,401,900","-14,752",415,"14,509,409"
HAYLA,"6,401,780","163,494",1693,"6,401,780"
Vijay Yesudas,"6,400,749",-678,1479,"6,489,984"
YSY A,"6,400,733","2,841",1349,"7,331,237"
DeJ Loaf,"6,399,399","-22,305",1576,"6,761,732"
Dewa 19,"6,396,408","7,460",1257,"7,452,175"
Jain,"6,391,646","-12,895",381,"16,926,660"
LATIN MAFIA,"6,378,004","-8,440",1009,"9,294,955"
thiarajxtt,"6,374,672","4,852",1550,"6,849,124"
Cutting Crew,"6,373,706","-10,718",1575,"6,708,931"
The Hollies,"6,373,480","-15,321",1397,"7,439,225"
Nena,"6,371,161","-13,955",1691,"6,391,384"
Matchbox Twenty,"6,369,195","-1,468",1116,"7,950,666"
Ray Dalton,"6,366,959","-4,599",1099,"7,677,067"
Neto Peña,"6,366,900","-21,996",1524,"6,734,799"
Tucker Wetmore,"6,366,217","46,812",1707,"6,366,217"
Angelina Mango,"6,364,721","15,100",1708,"6,364,721"
Tion Wayne,"6,353,682","-4,856",902,"8,886,575"
Henry Freitas,"6,353,649","3,059",1477,"7,021,662"
Buffalo Springfield,"6,344,531","-13,506",1452,"6,849,723"
Benjamin Ingrosso,"6,340,751","-2,407",1711,"6,343,158"
S. Janaki,"6,337,172","2,795",1489,"6,961,111"
Katrina & The Waves,"6,324,734","16,873",1249,"7,316,639"
Jake Owen,"6,324,091","59,240",1468,"6,347,763"
Anggi Marito,"6,321,122","-12,372",887,"9,510,926"
Garry Sandhu,"6,314,835","-5,632",1379,"6,726,659"
Rusherking,"6,314,056","86,248",426,"15,596,238"
Nathan Dawe,"6,313,850","1,932",895,"9,508,252"
MC Marks,"6,312,257","-3,947",1696,"6,403,781"
Sevek,"6,310,721","-48,763",1291,"6,486,947"
Red Velvet,"6,310,413","-33,529",1034,"7,780,995"
Joe Cocker,"6,307,505","-5,310",1364,"7,150,193"
Hugh Jackman,"6,303,911","-23,952",1688,"6,417,874"
IU,"6,300,165","-7,949",901,"8,805,240"
CNCO,"6,299,708","2,275",901,"8,273,953"
Ivy Queen,"6,298,309","5,380",1120,"8,638,673"
Ken Carson,"6,296,173","34,462",1321,"7,214,336"
Ana Mena,"6,294,558","-16,374",1461,"6,750,991"
Guè,"6,292,179","14,173",1702,"6,292,179"
Eric Prydz,"6,287,662","5,189",1330,"7,723,759"
Ashanti,"6,286,145","-6,302",1326,"7,566,417"
RADWIMPS,"6,285,664","-23,763",1315,"6,704,898"
Harrdy Sandhu,"6,280,009","20,689",1034,"8,391,170"
Commodores,"6,278,426","-5,372",1314,"7,641,218"
KAYTRANADA,"6,278,077","26,113",894,"9,416,102"
Ginuwine,"6,272,654","7,336",1343,"6,309,542"
Bibi Babydoll,"6,272,276","5,321",954,"9,086,016"
Hev Abi,"6,270,184","-21,223",1611,"6,643,343"
Wale,"6,265,621","-6,673",1222,"7,657,188"
Chase & Status,"6,265,242","8,961",1329,"7,204,353"
Mrs. GREEN APPLE,"6,263,153","-20,105",1682,"6,359,110"
Steely Dan,"6,258,564","-3,734",1488,"6,420,590"
Corinne Bailey Rae,"6,252,580","-5,252",1356,"7,519,222"
Anuradha Sriram,"6,252,517","4,523",1418,"6,829,278"
Ed Maverick,"6,248,288","6,797",1492,"6,409,951"
Virgoun,"6,243,346","12,097",1193,"7,706,029"
Simply Red,"6,235,892","-2,851",1488,"6,979,913"
Carlos Baute,"6,230,300","-22,418",1183,"7,658,070"
Slowboy,"6,229,509","-1,100",1383,"6,864,811"
Vidyasagar,"6,226,029","-5,015",1546,"6,322,008"
MALIQ & D'Essentials,"6,223,828","64,865",1670,"6,453,001"
Hurts,"6,223,765","28,033",1661,"6,313,742"
Lazza,"6,223,528","-9,865",1083,"7,325,144"
Sido,"6,222,269","-16,341",1427,"6,293,463"
New Order,"6,216,607","-5,843",1257,"6,523,858"
Djonga,"6,213,964","-4,989",1376,"6,913,820"
Grimes,"6,210,900","-1,969",1449,"7,125,333"
Lilly Wood and The Prick,"6,210,371","-1,254",1411,"6,669,746"
Alejandra Guzman,"6,210,167","-21,399",1660,"6,408,379"
Geolier,"6,209,811","-7,567",1238,"7,983,824"
La Roux,"6,205,412","2,257",1607,"6,604,919"
Ninho,"6,197,018","24,994",1193,"7,556,733"
Billy Ocean,"6,194,095","33,433",1764,"6,194,095"
D.O.D,"6,193,849","-7,014",1362,"6,895,023"
Caifanes,"6,185,676","-5,573",1601,"6,200,000"
KSHMR,"6,182,834","-14,868",1187,"7,488,809"
Helsloot,"6,181,912","-5,220",1631,"6,201,205"
Gloria Estefan,"6,180,630","-2,718",1163,"7,479,364"
Gala,"6,180,139","5,686",1420,"6,722,000"
Royel Otis,"6,177,344","51,163",1761,"6,220,181"
Tom Walker,"6,176,100","-22,117",1077,"8,610,478"
SLANDER,"6,173,675","-7,733",1001,"8,719,324"
Péricles,"6,173,589","-7,937",1277,"7,730,653"
Ludacris,"6,172,713","-1,466",1227,"7,331,813"
Seventeen,"6,172,606","60,527",1167,"8,279,783"
wave to earth,"6,170,815","-4,701",1217,"7,620,046"
Masked Wolf,"6,165,291","-8,925",924,"8,528,561"
Ovi,"6,164,992","-14,106",1106,"7,391,087"
Hesham Abdul Wahab,"6,162,680","-12,243",1387,"6,880,506"
Frankie Ruiz,"6,159,900","9,842",1671,"6,159,900"
Kim Carnes,"6,159,679",135,1588,"6,445,163"
Shinda Kahlon,"6,157,481","2,155",770,"10,540,796"
Reynmen,"6,154,565","-16,195",1678,"6,482,268"
Angus & Julia Stone,"6,152,423","-11,608",1698,"6,265,122"
Lalo Ebratt,"6,149,416","5,009",1289,"6,848,168"
Ella Mai,"6,147,760","-3,877",917,"8,167,244"
John Travolta,"6,143,709","-81,341",1053,"9,074,018"
Boy Wonder CF,"6,139,145","-22,407",1708,"6,342,253"
Mc Brinquedo,"6,134,103","64,359",1790,"6,134,103"
Gregory Alan Isakov,"6,134,002","-21,476",1236,"7,969,093"
Billy Ray Cyrus,"6,128,631","-2,783",1211,"7,146,266"
ZWE1HVNDXR,"6,125,096","12,617",1580,"6,508,419"
The Cinematic Orchestra,"6,124,685","-58,200",1458,"6,914,584"
Chino & Nacho,"6,124,483",-400,1626,"6,157,608"
NUEKI,"6,124,374","-7,728",1340,"7,152,763"
Seven Kayne,"6,122,836","-76,541",1442,"7,340,145"
Marta Sánchez,"6,119,901","3,320",1399,"6,769,023"
Kaash Paige,"6,118,845","3,011",1726,"6,287,676"
Harshdeep Kaur,"6,116,578","-8,808",1478,"6,277,365"
Cypress Hill,"6,114,294","5,995",1349,"6,986,666"
noturgf,"6,098,606","-57,713",1390,"7,498,130"
Cavetown,"6,095,857","-6,610",1114,"7,192,919"
Rodney Atkins,"6,091,793","-6,877",1804,"6,098,670"
Wheatus,"6,089,673","-9,637",1406,"7,219,066"
Yandar & Yostin,"6,088,537","-13,987",1281,"7,452,822"
Why Don't We,"6,080,940","-1,019",881,"9,309,552"
Damian Marley,"6,080,067","4,934",1499,"6,909,318"
BANNERS,"6,077,414","-2,158",1183,"7,381,611"
Axwell,"6,067,977","6,178",1798,"6,067,977"
El Padrinito Toys,"6,067,888","-16,810",1283,"6,765,791"
Hiten,"6,065,080","-30,627",1551,"6,810,251"
Janieck,"6,062,226","-15,082",1780,"6,177,982"
La Mosca Tse-Tse,"6,058,188","2,703",1708,"6,058,188"
Anand-Milind,"6,055,710","-2,273",1672,"6,313,448"
Dean Martin,"6,053,960","-11,267",40,"56,452,749"
Prakriti Kakar,"6,052,495","-34,066",1516,"6,850,190"
Riley Green,"6,051,175","12,802",1806,"6,051,175"
Joyner Lucas,"6,036,891","12,032",994,"8,137,459"
Travis Barker,"6,036,658",95,855,"9,472,692"
Boyz II Men,"6,034,051","1,874",1579,"6,497,662"
Klaas,"6,030,305","5,018",1592,"6,425,498"
Wyclef Jean,"6,030,119","-1,961",1606,"6,121,392"
Manuel Medrano,"6,026,569","2,330",1044,"9,035,565"
A Touch Of Class,"6,025,637","-16,112",1445,"6,716,045"
Nusrat Fateh Ali Khan,"6,024,027","-33,093",974,"8,981,853"
Justice,"6,023,256","-41,284",1445,"7,357,229"
Mc Lipi,"6,022,707","-13,073",1299,"7,701,395"
LSD,"6,018,637","-65,345",1656,"6,283,401"
NBSPLV,"6,018,028","-16,860",1258,"7,406,470"
Eve,"6,017,507","-7,114",1351,"7,482,280"
BIA,"6,015,799","2,836",672,"11,587,632"
Fivio Foreign,"6,011,625","4,183",706,"10,141,150"
DJ Jeeh FDC,"6,010,973","-7,766",1058,"7,518,377"
BINI,"6,009,091","45,776",1835,"6,009,091"
twocolors,"6,006,967","-22,722",1370,"6,983,839"
Banda Los Recoditos,"6,005,922","-7,082",1379,"6,712,405"
Nick Jonas,"5,999,977","-3,107",844,"8,943,545"
Zé Vaqueiro,"5,999,712","-85,212",1494,"7,126,922"
Jimin,"5,994,954","-17,232",374,"15,723,792"
Jet,"5,983,777","15,254",1248,"7,356,943"
Mc Pedrinho,"5,979,315","-4,178",766,"10,575,967"
Leonardo Aguilar,"5,968,575","-34,325",1683,"6,405,997"
Freddie Dredd,"5,965,286","-10,372",651,"10,375,038"
Yebba,"5,963,566","-21,165",1362,"7,328,580"
Dexys Midnight Runners,"5,952,062","5,086",1820,"5,957,417"
Bryartz,"5,945,854","-2,351",1847,"5,948,205"
Gipsy Kings,"5,943,686","1,217",1756,"5,968,938"
Estelle,"5,941,899","-4,174",1713,"6,154,937"
Inner Circle,"5,941,082","-10,200",1766,"6,085,851"
Brandy,"5,940,975","19,714",1478,"6,914,437"
Tom Rosenthal,"5,940,239","4,578",1288,"6,768,536"
Don Henley,"5,939,696","-5,528",1657,"5,945,224"
The Rare Occasions,"5,938,474","66,577",1516,"6,798,863"
Pantera,"5,934,814","-3,522",1525,"6,353,685"
Arko,"5,930,205","-6,933",1243,"6,566,314"
Dabzee,"5,927,890","50,768",1857,"5,927,890"
Raghav,"5,919,764","-20,456",1365,"7,522,295"
"Grover Washington, Jr.","5,917,444","-6,430",1459,"6,401,046"
Nathan Evans,"5,917,226","3,014",1571,"6,470,712"
AUR,"5,916,904","-1,197",1002,"9,236,114"
Vanessa Carlton,"5,916,485","-3,839",1662,"6,386,682"
Vika Jigulina,"5,916,385","15,354",1856,"5,916,385"
Maddix,"5,914,171","26,213",1864,"5,914,171"
LF SYSTEM,"5,913,485","80,381",1390,"6,340,364"
JACKBOYS,"5,910,049","4,339",1269,"6,876,798"
Gabb MC,"5,905,579","-10,239",1382,"7,354,050"
Lil Skies,"5,904,909","3,189",1551,"6,211,141"
Savage Garden,"5,901,212","5,194",1621,"6,192,039"
Lauren Spencer Smith,"5,890,210","-22,464",904,"9,427,721"
Baby Rasta,"5,888,541","-19,701",609,"10,986,033"
John Mellencamp,"5,883,112","6,480",1308,"7,110,678"
Billy Currington,"5,882,982","8,195",1531,"6,254,418"
Gerardo Coronel,"5,881,866",50,806,"9,613,040"
Ana Bárbara,"5,878,498","-9,185",1387,"6,143,940"
Matt Hansen,"5,877,959","-23,296",1534,"6,819,799"
Dayglow,"5,876,470","-8,361",1335,"6,472,359"
FELIX!,"5,876,202","-14,052",1852,"5,949,956"
Antonio Vivaldi,"5,874,863","-5,254",1549,"6,601,144"
Young Dolph,"5,872,745","-5,277",1541,"6,649,397"
James Taylor,"5,871,409","-22,001",1458,"6,099,568"
Pradeep Kumar,"5,869,606","-4,568",1647,"5,979,009"
Dubdogz,"5,867,375","10,042",1538,"5,867,375"
Ramones,"5,863,937","-7,790",1270,"7,387,634"
House Of Pain,"5,862,445","3,891",1885,"5,862,445"
ITZY,"5,860,570","-18,289",1290,"7,505,242"
Amaarae,"5,853,795","-6,984",1263,"7,250,780"
raissa anggiani,"5,850,332","13,060",1365,"6,827,986"
Los Invasores De Nuevo León,"5,848,018","-11,797",1771,"6,060,322"
Stevie Nicks,"5,845,007",-229,1461,"6,663,778"
TRASHXRL,"5,840,936","23,000",1696,"5,895,663"
REO Speedwagon,"5,840,234","-8,808",1393,"7,462,185"
Miky Woodz,"5,831,987","30,031",1779,"5,831,987"
Ajaxx,"5,831,186","-11,963",1224,"6,928,166"
dj sv,"5,830,536","133,802",1895,"5,830,536"
Francesco Yates,"5,828,869","2,705",1893,"5,829,071"
MC MN,"5,824,538","14,487",1897,"5,824,538"
yatashigang,"5,822,967","-2,732",1508,"6,646,720"
Ash King,"5,817,772","-7,146",1530,"6,058,288"
Corona,"5,811,143","-2,501",1892,"5,846,437"
Mohammed Rafi,"5,808,071","1,647",1754,"6,018,502"
Yahritza Y Su Esencia,"5,800,270","-16,572",424,"15,778,618"
Dj GBR,"5,800,153","-10,688",836,"10,859,295"
Bellakath,"5,799,585","23,443",574,"13,805,188"
Cordae,"5,798,861","-4,045",689,"11,325,024"
Conjunto Primavera,"5,798,091","-14,612",1394,"6,716,361"
PLK,"5,796,963","9,773",1843,"5,796,963"
Mc Jacaré,"5,796,186","-4,962",1189,"7,322,827"
Sheck Wes,"5,795,715","22,099",1286,"6,857,387"
Salve Malak,"5,795,225","4,998",1309,"7,138,958"
Beret,"5,792,615","-6,210",1344,"6,605,918"
Jamie Miller,"5,792,485","-7,934",1288,"7,017,011"
Mark Morrison,"5,784,534","3,833",1507,"6,986,992"
Dallass,"5,780,797","-1,101",1249,"6,890,974"
RXDXVIL,"5,777,018","-4,558",1457,"6,550,621"
The Greatest Showman Ensemble,"5,775,529","-26,898",1853,"5,865,125"
Super Yei,"5,771,135","7,953",1892,"5,777,574"
GAYLE,"5,770,881","-10,280",545,"12,635,740"
Belinda Carlisle,"5,768,804","6,126",1919,"5,768,804"
Gajendra Verma,"5,763,270","-9,069",1043,"8,429,794"
Kina,"5,760,594","-2,638",1115,"7,274,585"
Sub Urban,"5,754,639",165,1361,"6,184,586"
Berlin,"5,754,232","90,596",1923,"5,754,232"
ODESZA,"5,752,980","-3,187",1232,"6,960,738"
LIZOT,"5,747,211","-10,246",1651,"6,493,557"
Valentín Elizalde,"5,734,303","-9,741",1509,"6,905,596"
N.W.A.,"5,733,120","24,718",1558,"5,819,704"
BIBI,"5,733,089","-32,452",1448,"6,233,140"
Stone Temple Pilots,"5,725,851",920,1371,"6,880,970"
Denzel Curry,"5,724,807","-14,533",985,"7,991,365"
AJ Tracey,"5,715,826","-14,424",1655,"5,830,189"
Pierce The Veil,"5,713,884","-4,428",1629,"5,882,692"
Zeeba,"5,704,617","24,804",1860,"5,704,617"
Madan Mohan,"5,703,280","-14,794",1869,"5,903,897"
Tom Morello,"5,696,469","-17,735",1585,"5,916,840"
Arthur Nery,"5,696,348","-11,723",1808,"5,946,366"
Speed Radio,"5,694,653","-4,517",1054,"8,444,375"
Matoma,"5,692,778","-13,670",1061,"7,558,271"
RM,"5,692,499","77,502",1847,"5,692,499"
Vengaboys,"5,690,043","9,247",1800,"5,789,462"
Mabel Matiz,"5,685,614","10,977",1709,"5,685,614"
Steppenwolf,"5,685,223","-2,535",1656,"5,876,307"
Dustin Lynch,"5,679,717","26,089",1287,"7,196,018"
Gur Sidhu,"5,677,921","14,245",1701,"5,716,687"
Kevin Gates,"5,673,248","-6,509",1347,"6,599,566"
Mc Piedro,"5,670,973","-1,677",1925,"5,758,919"
Chelsea Cutler,"5,668,306","-12,167",968,"8,088,113"
Tech N9ne,"5,668,179","29,864",1948,"5,668,179"
Cole Swindell,"5,668,024","7,644",1065,"8,270,647"
Michael Giacchino,"5,663,139","1,861",1616,"5,993,562"
Mohammed Irfan,"5,662,377","23,272",1541,"6,127,566"
Eugenio Esquivel,"5,662,032","-59,890",695,"11,853,659"
Josh Turner,"5,659,579","-6,866",1778,"6,028,032"
Roberto Carlos,"5,657,964","-9,809",1593,"5,822,840"
Good Charlotte,"5,657,137","-2,129",1563,"6,782,399"
The Pointer Sisters,"5,656,489","41,578",1567,"6,479,075"
Kadu Martins,"5,654,975","-7,304",706,"11,268,989"
Wu-Tang Clan,"5,651,312","5,917",1419,"6,402,931"
Tinie Tempah,"5,649,620","-20,816",1298,"7,125,677"
Sezen Aksu,"5,648,320",-883,1730,"5,742,001"
Jennifer Warnes,"5,648,076","1,745",1732,"5,733,947"
Alvaro Soler,"5,646,608",814,1311,"6,981,343"
Elvis Crespo,"5,646,052","2,705",1500,"6,905,947"
Natalie Cole,"5,641,879","-16,737",1675,"6,323,779"
OHGEESY,"5,641,131","87,847",1965,"5,641,131"
The Red Clay Strays,"5,640,641","30,674",1966,"5,640,641"
Money Man,"5,637,225","-14,910",1414,"6,607,259"
Lifehouse,"5,634,708","-4,994",1770,"5,730,201"
Alex Gaudino,"5,634,023","-9,824",1832,"5,941,546"
Phantogram,"5,633,707","23,719",1252,"6,704,724"
Take That,"5,632,017","-12,193",1585,"6,456,209"
Kapil Kapilan,"5,631,466","-12,591",1811,"5,736,513"
Hades66,"5,631,167","-6,719",1340,"7,090,026"
Ado,"5,629,997","-4,671",1519,"6,379,940"
Bone Thugs-N-Harmony,"5,629,240",533,1254,"6,586,218"
$NOT,"5,625,329","-11,972",890,"8,404,075"
The xx,"5,624,535","1,630",1504,"6,475,459"
Sebastian Esquivel,"5,622,512","-59,349",681,"12,018,727"
DannyLux,"5,616,607","4,632",1391,"6,834,950"
Mariah Angeliq,"5,612,361","-14,926",1153,"7,292,039"
Jerry Rivera,"5,610,934","13,567",1827,"5,810,724"
RAF Camora,"5,602,358","-4,809",1336,"6,677,495"
Janet Jackson,"5,597,918","2,258",1438,"5,941,209"
Nardo Wick,"5,590,056","-29,467",899,"9,227,221"
The Proclaimers,"5,579,032","-5,784",1304,"7,517,411"
Lupe Fiasco,"5,576,106","-9,116",1781,"5,611,721"
Andi Rianto,"5,575,514","-3,304",1987,"5,583,358"
Skepta,"5,574,964","-2,783",1465,"6,960,443"
Jamiroquai,"5,573,964","10,731",1733,"5,652,641"
Nanpa Básico,"5,569,919","-9,068",1584,"5,860,657"
mxmtoon,"5,568,047","11,620",1849,"5,568,047"
Sheila On 7,"5,567,750","-18,284",1589,"6,108,116"
Deepend,"5,567,605","16,977",1777,"5,567,605"
Pyotr Ilyich Tchaikovsky,"5,567,562","-12,888",681,"12,265,707"
Keala Settle,"5,566,749","-26,012",1863,"5,654,188"
Lumi Athena,"5,565,094","-4,041",1487,"6,866,151"
Aitch,"5,564,315","1,907",773,"9,426,643"
lucidbeatz,"5,564,152","-4,251",1547,"6,790,459"
Akhil,"5,555,912","5,743",1079,"8,166,073"
Jay Rock,"5,551,896","-30,312",1758,"5,630,517"
Martin Solveig,"5,550,621",990,1465,"6,162,897"
Mareux,"5,545,122","-10,839",1486,"5,801,197"
Tyler Hubbard,"5,542,727","23,584",1488,"6,415,587"
Roberta Flack,"5,538,529","-36,830",1873,"5,710,935"
Caio Luccas,"5,537,348","10,623",1815,"5,854,560"
Mc Menor Thalis,"5,533,052","-9,144",1062,"8,925,201"
Robin Thicke,"5,531,612","2,853",1657,"5,828,885"
Fridayy,"5,528,982","-28,388",1524,"6,598,414"
Rio Romeo,"5,527,183","-20,201",1270,"7,676,248"
CRO,"5,514,893","-11,222",1567,"6,167,724"
Richard Marx,"5,513,294","3,439",1973,"5,514,609"
Ariel Camacho y Los Plebes Del Rancho,"5,511,415","-4,257",1847,"5,807,448"
Aditya A,"5,509,659","-30,837",1213,"7,472,939"
Mukesh,"5,506,697","-2,703",1774,"6,031,212"
The Human League,"5,506,216","-1,387",1639,"6,517,810"
NATHY PELUSO,"5,501,829","25,812",1341,"7,298,986"
Alex Gargolas,"5,498,741","13,330",2017,"5,498,741"
The Bangles,"5,498,591","-2,938",1629,"6,024,943"
Dj Vitin do Pc,"5,495,770","4,231",1901,"5,743,575"
CeeLo Green,"5,493,872","21,411",967,"9,608,421"
Lauren Daigle,"5,484,920","-14,473",1330,"7,194,174"
Hillsong Worship,"5,484,254","-1,986",1546,"6,365,094"
BUNT.,"5,478,770","-8,511",1747,"5,893,777"
MC Fahah,"5,476,854","-13,854",1582,"6,725,029"
Yovie & Nuno,"5,474,534","1,831",1906,"5,490,256"
Dylan Gossett,"5,474,299","-9,524",1600,"6,564,202"
PSY,"5,472,279","-1,404",1429,"5,919,444"
Mason,"5,470,460","-17,246",1563,"6,696,070"
Capo Plaza,"5,466,012","-5,003",1674,"5,835,486"
DELLAFUENTE,"5,464,994","-7,411",1596,"6,400,723"
Madcon,"5,463,579",468,1804,"5,606,192"
Kaifi Khalil,"5,461,115","10,911",1038,"8,200,279"
Chris Young,"5,460,707","-1,397",1388,"6,557,043"
Ben&Ben,"5,458,415","3,241",1694,"6,129,561"
Sara Bareilles,"5,457,340","2,014",1397,"6,548,202"
Chitãozinho & Xororó,"5,454,925","11,067",1611,"6,439,152"
fam0uz,"5,453,510","-16,232",1880,"5,816,619"
ANOTR,"5,452,396","15,292",2033,"5,452,396"
Xavier Wulf,"5,449,288","-5,430",1890,"5,727,884"
Michael Sembello,"5,444,751","-33,474",1736,"6,077,757"
Cedric Gervais,"5,442,498","7,199",1840,"5,533,215"
Wings,"5,440,951","-5,342",1659,"5,856,394"
Eric Land,"5,439,093","28,654",1546,"6,361,809"
Lil Jon & The East Side Boyz,"5,439,031","4,261",1705,"6,180,160"
Werenoi,"5,435,620","-10,326",1749,"6,128,336"
TR,"5,435,146","18,910",1293,"7,764,010"
Dimension Latina,"5,429,235","7,549",2047,"5,429,235"
Alex Ubago,"5,423,013","-20,131",1862,"5,618,868"
Mau P,"5,420,088","-9,008",1919,"5,586,728"
Alonzo,"5,418,998","-8,975",1875,"5,692,989"
Ami Mishra,"5,417,427","-11,909",1955,"5,554,771"
Dreamville,"5,415,059","-15,280",923,"8,328,012"
Delacruz,"5,414,770","7,978",1806,"5,825,814"
Saint Motel,"5,412,054","15,168",2054,"5,421,944"
Chord Overstreet,"5,409,016","-6,435",1615,"5,835,877"
Polo Gonzalez,"5,406,921","-11,686",1632,"5,702,213"
Mufasa & Hypeman,"5,406,584",-494,1417,"6,778,711"
Uncle Kracker,"5,405,472","22,430",1758,"5,563,301"
Claude Debussy,"5,400,010","-17,750",1500,"6,362,621"
Victor Cibrian,"5,397,802","35,231",2009,"5,397,802"
Adnan Sami,"5,397,320","-7,503",1657,"6,250,698"
TATOOL,"5,397,058","35,645",673,"12,465,547"
Justine Skye,"5,394,984","-7,178",539,"11,860,302"
BM,"5,393,948",676,1083,"8,811,798"
Pat Benatar,"5,392,054","-11,922",1673,"5,988,067"
MC JF,"5,391,961","3,576",2061,"5,421,069"
Third Eye Blind,"5,391,334","23,033",1794,"5,955,887"
Waka Flocka Flame,"5,391,206",589,1472,"6,419,677"
Bvga Beatz,"5,389,549","-20,712",1084,"8,243,029"
Huey Lewis & The News,"5,387,387","-6,510",1709,"5,684,781"
Pesado,"5,387,385","-3,505",1156,"8,165,012"
Carpenters,"5,385,707","5,084",428,"17,864,695"
salem ilese,"5,384,207","26,981",1151,"6,989,188"
La Factoria,"5,383,815","13,470",1171,"7,662,486"
Princess Superstar,"5,383,345","-16,947",1592,"6,606,150"
HHR,"5,381,928","25,832",2076,"5,381,928"
George Benson,"5,380,024","4,960",1824,"5,841,245"
Michael Kiwanuka,"5,376,296","-4,214",1824,"5,963,730"
Baco Exu do Blues,"5,376,060","-10,494",1086,"7,910,345"
Clave Especial,"5,375,278","-21,454",1803,"6,010,921"
SNAP!,"5,369,126","-3,692",2076,"5,383,791"
Dr. Dog,"5,367,137","12,100",2061,"5,367,137"
Eiffel 65,"5,366,903","13,018",1586,"5,725,560"
Mustafa Zahid,"5,366,046","-9,132",1729,"5,793,410"
Jacquees,"5,362,202","-1,883",1629,"6,108,361"
Jigar Saraiya,"5,360,810","-4,457",1672,"5,813,191"
Naps,"5,359,262",551,1655,"5,862,526"
Bobby Pulido,"5,356,769","-10,519",1557,"6,392,209"
Four Tops,"5,354,348","-1,310",1465,"7,055,964"
Ziva Magnolya,"5,353,885","-4,354",1461,"6,381,695"
Stephanie Beatriz,"5,347,129","-17,971",1565,"6,678,980"
Vaundy,"5,346,253","-20,407",1729,"5,605,088"
Flowdan,"5,344,210","17,245",1368,"6,999,173"
Franglish,"5,344,180","-5,228",2075,"5,406,165"
John Williams,"5,341,806","-32,055",246,"24,161,418"
TJ Monterde,"5,340,559","50,328",2096,"5,340,559"
Yorushika,"5,339,818","-13,951",1940,"5,595,740"
Greeicy,"5,331,641","-7,612",1283,"6,839,232"
St. Vincent,"5,330,435","-38,559",1930,"5,747,080"
Vundabar,"5,324,936","-22,063",1723,"5,837,571"
Donna Summer,"5,323,837","-6,957",1577,"6,062,032"
Mohammad Faiz,"5,321,890","393,243",2102,"5,321,890"
Ghostemane,"5,320,372","12,764",1414,"6,359,963"
Los Auténticos Decadentes,"5,319,795","-8,613",1292,"6,390,639"
DJ Arana,"5,318,266","10,382",1239,"7,570,933"
Elefante,"5,317,252","-12,071",1825,"5,514,554"
Dhee,"5,316,019",-160,1534,"6,636,521"
Yuri,"5,315,569","-3,767",1242,"7,858,665"
southstar,"5,313,629","6,884",1386,"6,611,447"
Pirlo,"5,312,777","13,751",2107,"5,312,777"
Ken-Y,"5,311,913","-8,669",1863,"5,554,765"
Anna Kendrick,"5,311,049","-7,135",1208,"8,176,457"
9lives,"5,307,958","-2,112",1396,"6,825,817"
Extreme,"5,305,674","-5,391",1696,"5,432,537"
Yung Gravy,"5,303,399","15,940",992,"7,845,433"
Los Fabulosos Cadillacs,"5,300,335","-7,289",1550,"6,185,099"
Yoko Gold,"5,300,150","-15,473",1618,"6,291,986"
Desi Crew,"5,293,764","-2,019",2108,"5,325,983"
Nico & Vinz,"5,290,459","1,895",1422,"6,721,861"
Tom Grennan,"5,290,105","-3,952",632,"10,804,758"
Mahmood,"5,283,822","-47,458",1287,"7,734,518"
Carly Simon,"5,282,524","-5,831",1483,"6,304,383"
Stebin Ben,"5,280,247","-26,949",1107,"8,130,686"
Tony Effe,"5,278,015","33,543",2124,"5,278,015"
Steve Angello,"5,277,765","7,746",2024,"5,442,078"
1nonly,"5,277,525","10,975",1389,"6,409,926"
Travie McCoy,"5,276,399","-11,816",1563,"5,961,970"
MC Davo,"5,273,446","-9,096",1650,"6,251,929"
IP Singh,"5,270,773","8,893",1919,"5,662,892"
Dj Brunin XM,"5,270,649","1,727",1025,"8,697,045"
Papon,"5,266,408","-5,050",2100,"5,344,015"
A Tribe Called Quest,"5,263,096","5,901",1747,"5,732,005"
MC Kevinho,"5,259,376","3,999",1563,"6,588,425"
Gülşen,"5,258,439","28,942",2134,"5,258,439"
Kelis,"5,255,540","-2,721",1746,"5,487,872"
Vini Vici,"5,255,387","-13,412",1397,"7,259,091"
HVME,"5,253,692","-7,373",1094,"7,567,924"
Liana Flores,"5,251,134","4,954",1781,"5,948,833"
MC Maneirinho,"5,250,428","3,049",1089,"8,270,861"
Volbeat,"5,245,997",-405,1709,"5,808,321"
Slayer,"5,244,929","-4,450",1527,"6,092,992"
Hande Yener,"5,243,808",891,2071,"5,357,848"
Los Plebes del Rancho de Ariel Camacho,"5,238,917","-2,369",1687,"5,600,141"
Switch Disco,"5,238,178","85,509",1888,"5,250,840"
Cuco,"5,234,197","-12,572",1346,"6,374,023"
Amanda Seyfried,"5,226,571","6,555",2014,"5,226,571"
Daniel Hope,"5,225,840","4,371",1778,"5,851,053"
Hillsong UNITED,"5,220,597",0,1641,"5,902,984"
