Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE
125,+4,Morgan Wallen - Thinkin’ Bout Me,444,42,"",1407,+22,0.859,35,"","",""
126,+23,Bad Bunny & Bomba Estéreo - Ojitos Lindos,734,38,"",1398,+91,1.493,"","","",""
127,-12,Olivia Rodrigo - vampire,341,1,(x22),1395,-79,2.685,"",90,"",141
128,-7,Ed Sheeran - Perfect,2211,1,(x2),1391,-53,9.214,"",144,"",""
129,+5,Mrs. GREEN APPLE - ケセラセラ,380,104,"",1386,+26,0.528,"","",5,""
130,-8,Fuerza Regida - TÚ NAME,112,69,"",1382,-60,0.189,78,"","",""
131,-28,Fleetwood Mac - Dreams,1027,22,"",1381,-264,2.399,"",84,"",""
132,-7,Kygo & Ava Max - Whatever,137,41,"",1372,-20,0.306,"",73,"",53
133,=,SCH - Garcimore,5,130,"",1370,+10,0.007,"","","",""
134,-6,Vaundy - タイムパラドックス,99,101,"",1360,-26,0.167,"","",6,""
135,+6,SCH - Cannelloni,11,119,"",1359,+29,0.020,"","","",""
136,-1,NewJeans - Hype Boy,607,27,"",1354,-5,1.612,"","",128,""
137,-5,Luke Combs - Ain't No Love In Oklahoma,18,83,"",1349,-21,0.030,69,"","",""
138,+6,Rauw Alejandro - DILUVIO,207,86,"",1346,+25,0.314,185,"","",""
139,+6,KeBlack - Boucan,40,94,"",1343,+24,0.062,"","","",""
140,-1,tuki. - 晩餐歌,194,103,"",1333,0,0.269,"","",7,""
141,-11,Tyla - Water,267,4,"",1330,-48,1.471,"",103,"",""
142,-5,Crush - Love You With All My Heart,44,64,"",1330,-12,0.096,"","","",""
143,+14,Maes & Ninho - SURVIE,12,100,"",1326,+55,0.018,"","","",""
144,-17,Kenya Grace - Strangers,276,4,"",1325,-63,1.704,"",128,"",61
145,+2,Bad Bunny - Tití Me Preguntó,709,22,"",1318,+2,2.001,160,"","",""
146,+8,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",98,81,"",1309,+24,0.141,"","","",11
147,+1,Vaundy - 怪獣の花唄,512,112,"",1307,0,1.156,"","",8,""
148,-2,NewJeans - ETA,240,18,"",1304,-14,0.701,"","",104,""
149,-11,Morgan Wallen - Chasin' You,369,87,"",1292,-50,1.090,36,"","",""
150,+2,Karan Aujla & MXRCI - Winning Speech,18,95,"",1284,-13,0.027,"","","",""
151,+9,NewJeans - OMG,461,19,"",1281,+26,1.466,"","",101,""
152,-10,Dua Lipa - New Rules,999,3,(x5),1275,-53,6.510,"",93,"",""
153,-13,Udo Lindenberg & Apache 207 - Komet,492,65,"",1268,-63,0.966,"","","",20
154,+4,SCH - Beaux-arts,4,154,"",1265,+4,0.006,"","","",""
155,=,Mrs. GREEN APPLE - Dear,14,145,"",1257,-25,0.019,"","",10,""
156,-5,SEVENTEEN - MAESTRO,36,51,"",1241,-57,0.086,"","",85,""
157,+2,"SDP, Sido & Esther Graf - Mama hat gesagt",15,157,"",1234,-25,0.035,"","","",15
158,+6,Mrs. GREEN APPLE - 青と夏,221,139,"",1233,+24,1.481,"","",11,""
159,-9,Sexyy Red - Get It Sexyy,81,98,"",1223,-81,0.110,17,"","",""
160,-36,The Killers - Mr. Brightside,923,37,"",1222,-195,2.191,"",49,"",177
161,+1,Lewis Capaldi - Someone You Loved,1632,6,"",1215,-21,8.042,"",98,"",187
162,-1,KISS OF LIFE - Midas Touch,62,53,"",1211,-38,0.112,"","","",""
163,+2,FOURTY & Bausa - VEMPA,20,140,"",1207,-2,0.041,"","","",16
164,+11,Tony Effe & GAIA - SESSO E SAMBA,5,164,"",1197,+43,0.012,"","","",""
165,+40,BABYMONSTER - LIKE THAT,15,91,"",1194,+140,0.051,"","","",""
166,+35,Tems - Love Me JeJe,29,79,"",1187,+116,0.052,"",42,"",""
167,-4,Wallem - Харизма,80,98,"",1187,-30,0.108,"","","",""
168,-2,LE SSERAFIM - Perfect Night,221,25,"",1186,-15,0.724,"","",63,""
169,-2,Mrs. GREEN APPLE - Soranji,301,134,"",1186,0,0.653,"","",13,""
170,+1,Гио ПиКа & MIRAVI - Мир,19,170,"",1184,+9,0.045,"","","",""
171,+1,The Blessed Madonna - Happier,60,106,"",1165,-7,0.119,"",17,"",""
172,-2,SCH - Quoi,4,167,"",1161,-15,0.006,"","","",""
173,=,Leto - Tout gâché,4,173,"",1149,-9,0.005,"","","",""
174,-5,"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis - Can't Hold Us",107,39,"",1148,-28,0.309,"",159,"",66
175,+19,Bad Bunny - Efecto,391,33,"",1141,+52,1.284,"","","",""
176,=,Da-iCE - I wonder,10,176,"",1141,0,0.022,"","",15,""
177,-21,Taylor Swift - You Need To Calm Down,375,4,"",1140,-132,2.065,"",88,"",""
178,-1,SCH - Balafres,3,177,"",1139,+4,0.005,"","","",""
179,+5,THEODORT - Wayeh,12,129,"",1130,+25,0.029,"","","",""
180,-1,Mrs. GREEN APPLE - ダンスホール,342,134,"",1119,0,0.824,"","",16,""
181,+7,KAROL G & Peso Pluma - QLONA,293,37,"",1115,+19,0.628,"","","",""
182,+1,Bryson Tiller - Whatever She Wants,111,34,"",1108,-2,0.258,44,112,"",""
183,-2,MORGENSHTERN - Последняя Любовь,88,88,"",1104,-8,0.128,"","","",""
184,+1,Fedez & Emis Killa - SEXY SHOP,3,184,"",1104,0,0.005,"","","",""
185,+8,Franglish - Position,97,100,"",1100,+11,0.146,"","","",""
186,-4,KAROL G - AMARGURA,143,137,"",1100,-11,0.425,"","","",""
187,+15,SZA - Nobody Gets Me,191,11,"",1099,+37,0.646,123,"","",""
188,+7,Zach Bryan - Oklahoma Smokeshow,7,185,"",1098,+9,0.246,52,"","",""
189,+9,BAD HOP - Last Party Never End,33,171,"",1097,+21,0.106,"","",17,""
190,-1,Monetochka - Это было в России,6,167,"",1096,+4,0.009,"","","",""
191,+1,Bennett - Vois sur ton chemin,288,43,"",1095,+5,0.666,"","","",29
192,-1,SCH - Gris,3,191,"",1094,+3,0.005,"","","",""
193,-7,10CM - Spring Snow,2,186,"",1090,-8,0.018,"","","",""
194,NEW,Egor Kreed & JONY - Дым,21,132,"",1087,+1087,0.028,"","","",""
195,+2,Женя Трофимов & Комната культуры - Поезда,7,193,"",1081,0,0.070,"","","",""
196,NEW,"Zartmann, Ski Aggu & Dauner - wie du manchmal fehlst",1,196,"",1079,+1079,0.001,"","","",26
197,+15,Lil Baby - Freestyle,538,75,"",1079,+48,1.112,27,"","",""
198,-8,NewJeans - Super Shy,245,13,"",1078,-14,0.903,"","",146,""
199,-25,Morgan Wallen - Whiskey Glasses,27,151,"",1078,-77,0.944,50,"","",""
200,-13,aiko - 相思相愛,48,130,"",1076,-21,0.062,"","",18,""
