Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Mata - SZUKAM MENADŻERA,4,"",47,"","70,764","182,429"
Blind Channel - Dark Side,6,"",63,"","37,054","182,422"
Bibi Babydoll - Automotivo Bibi Fogosa,6,"",183,"","32,871","182,165"
Otsochodzi - Ceha Joint 2 (Skit),4,"",102,"","59,882","182,087"
"Studio Accantus - Bracia, patrzcie jeno",3,"",55,"","101,186","182,073"
Bonus RPK - Opowieści Z Krypty,19,"",124,"","11,733","181,863"
21 Savage - dangerous,4,"",63,"","69,603","181,790"
Ed Sheeran - Give Me Love,49,"",52,"","9,748","181,781"
Sentino - Megalomania,4,"",40,"","66,226","181,321"
Kartky - CTRL Z (minnesota),8,"",94,"","24,925","180,962"
Coals - Miraż,7,"",100,"","36,181","180,942"
Justin Bieber - No Sense,38,"",40,"","11,940","180,683"
KęKę - Tryb ON,7,"",82,"","37,464","180,506"
"Drake - Hold On, We're Going Home",104,"",98,"","2,392","180,411"
Seni - Skubidubidubidu,6,"",177,"","32,959","180,248"
Labrinth - Jealous,63,"",64,"","4,036","179,977"
BANKS - Beggin For Thread,75,"",65,"","3,558","179,977"
Kwiat Jabłoni - Zaczniemy od zera,7,"",57,"","37,821","179,853"
BTS - Make It Right,8,"",11,"","42,589","179,644"
schafter - spumante,7,"",41,"","45,977","179,598"
PlanBe - Oh Love,15,"",134,"","18,523","179,583"
Kizo - Ghetto Trap,8,"",86,"","32,409","179,548"
southstar - Miss You - Sped Up Version,6,"",151,"","32,772","179,223"
Milky Chance - Cocoon,34,"",95,"","7,163","179,063"
The Cramps - Goo Goo Muck,6,"",163,"","32,945","178,739"
Pezet - Hollywood Smile,5,"",88,"","49,182","178,539"
Chance the Rapper - All Night,35,"",79,"","7,000","178,438"
PRO8L3M - Lody włoskie,12,"",11,"","32,991","178,108"
Indila - S.O.S,98,"",91,"","2,717","178,036"
Chivas - Zabij Dla Mnie,6,"",89,"","40,162","177,993"
Tymek - Romans,15,"",189,"","12,816","177,848"
Kukon - Czarne Subaru,5,"",94,"","47,391","177,841"
Halsey - Not Afraid Anymore,30,"",58,"","9,734","177,827"
Matoma - Old Thing Back,60,"",52,"","4,534","177,669"
Beyoncé - AMERICA HAS A PROBLEM,5,"",104,"","39,275","177,584"
Sarius - Nie Widać Po Mnie,9,"",55,"","31,652","177,550"
Gardiner Sisters - Home/Dirty Paws,107,"",116,"","2,202","177,499"
Carly Rae Jepsen - Run Away With Me,72,"",80,"","3,370","177,211"
Sia - Reaper,57,"",59,"","5,491","177,089"
Kizo - Korytarze,11,"",123,"","20,971","176,973"
Jano Polska Wersja - ZENIT,5,"",117,"","43,756","176,935"
IShowSpeed - World Cup,6,"",119,"","36,760","176,754"
Louis Villain - 022,6,"",125,"","34,011","176,672"
Adele - Make You Feel My Love,60,"",68,"","20,937","176,530"
Lil Nas X - Old Town Road,6,"",38,"","35,444","176,389"
Kukon - sąsiedzi,5,"",145,"","50,028","176,335"
