Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
The Weeknd - Starboy,1104,109,1,(x2),"467,218","124,876,879"
Lewis Capaldi - Before You Go,1138,109,1,(x4),"658,280","124,671,227"
Oasis - Don't Look Back in Anger - Remastered,2021,"",18,"","202,738","123,639,986"
Fleetwood Mac - Everywhere - 2017 Remaster,1754,"",25,"","183,836","122,263,123"
Billie Eilish - bad guy,783,108,1,(x25),"583,963","121,274,452"
Drake - God's Plan,695,135,1,(x75),"799,488","121,267,930"
Arctic Monkeys - Why'd You Only Call Me When You're High?,1436,"",18,"","163,457","120,054,464"
Brenda Lee - Rockin' Around The Christmas Tree,351,174,2,(x2),"2,720,431","118,743,650"
The Kid LAROI - Stay,662,141,1,(x47),"603,795","118,564,216"
Dave - Sprinter,369,168,1,(x87),"1,295,532","118,293,671"
Arctic Monkeys - Fluorescent Adolescent,1891,"",33,"","148,430","116,866,024"
Noah Kahan - Stick Season,246,177,1,(x78),"844,562","116,751,213"
Michael Bublé - It's Beginning to Look a Lot Like Christmas,434,170,3,(x6),"2,127,982","116,017,505"
Arctic Monkeys - 505,1227,"",13,"","200,303","115,825,990"
The Pogues - Fairytale of New York,444,196,3,(x16),"1,887,081","114,930,850"
Ed Sheeran - Shivers,729,159,1,(x18),"635,644","114,523,610"
Lady Gaga - Shallow,1166,57,2,(x4),"361,456","111,851,087"
Toploader - Dancing in the Moonlight,1724,"",37,"","149,424","110,914,107"
Ed Sheeran - Castle on the Hill,771,95,2,(x50),"1,237,846","109,521,271"
Taylor Swift - Anti-Hero,555,167,1,(x37),"1,159,687","108,226,598"
Dua Lipa - New Rules,683,143,1,(x31),"556,758","108,091,592"
Dua Lipa - Don't Start Now,766,162,2,(x16),"470,226","107,870,764"
Lewis Capaldi - Bruises,1060,11,5,"","357,114","107,498,213"
Olivia Rodrigo - drivers license,686,127,1,(x63),"1,210,545","107,122,026"
Adele - Easy On Me,693,107,1,(x58),"2,801,638","106,384,160"
OneRepublic - I Ain't Worried,728,84,3,(x6),"331,332","106,090,988"
Ed Sheeran - Thinking out Loud,1457,159,1,(x45),"254,745","105,319,394"
Luis Fonsi - Despacito - Remix,505,131,1,(x62),"1,034,792","104,350,384"
Miley Cyrus - Flowers,504,149,1,(x36),"1,090,618","104,300,067"
Sam Fender - Seventeen Going Under,854,113,2,(x4),"324,267","103,650,354"
AJ Tracey - Ladbroke Grove,854,89,1,(x1),"403,125","103,615,286"
Ed Sheeran - Perfect,1123,28,5,"","789,255","103,026,736"
J. Cole - No Role Modelz,1291,"",34,"","150,906","102,381,538"
Stormzy - Vossi Bop,622,98,1,(x14),"825,988","102,138,910"
Coldplay - Yellow,1349,"",11,"","185,474","100,949,293"
WALK THE MOON - Shut Up and Dance,1471,84,5,"","228,193","100,756,654"
Bastille - Pompeii,1985,"",31,"","110,605","100,068,322"
Ariana Grande - Santa Tell Me,436,124,4,"","1,930,354","99,564,098"
Elton John - Cold Heart - PNAU Remix,754,87,2,(x14),"490,291","99,483,818"
Taylor Swift - Cruel Summer,464,177,3,(x17),"347,160","99,150,620"
David Guetta - I'm Good (Blue),641,119,1,(x15),"468,715","97,864,479"
Ed Sheeran - I Don't Care,593,97,1,(x46),"1,180,436","97,757,657"
Band Aid - Do They Know It's Christmas? - 1984 Version,390,94,4,"","1,739,209","96,850,846"
DaBaby - ROCKSTAR,501,143,1,(x67),"596,126","95,329,380"
SAINt JHN - Roses - Imanbek Remix,599,133,2,(x23),"554,710","95,113,551"
Justin Bieber - Sorry,687,136,1,(x16),"602,800","95,112,341"
benny blanco - Eastside,684,92,1,(x2),"495,548","94,611,986"
SZA - Kill Bill,497,151,1,(x6),"508,299","94,471,577"
XXXTENTACION - SAD!,971,18,1,(x3),"779,372","94,270,144"
Fleetwood Mac - The Chain - 2004 Remaster,1491,"",61,"","132,583","94,159,798"
Billie Eilish - lovely,1399,"",50,"","113,350","94,060,335"
Drake - Nice For What,557,105,1,(x6),"825,647","93,127,937"
Kings of Leon - Sex on Fire,1247,"",40,"","159,339","92,510,244"
RAYE - Escapism.,534,143,1,(x12),"468,076","92,371,477"
Post Malone - Better Now,650,81,2,(x5),"528,246","91,381,265"
Imagine Dragons - Believer,1553,"",31,"","174,380","91,333,088"
Dave - Starlight,602,87,1,(x28),"733,390","90,896,600"
Camila Cabello - Havana,564,142,2,(x44),"458,318","90,765,986"
Andy Williams - It's the Most Wonderful Time of the Year,373,95,5,"","2,092,006","90,228,434"
The Chainsmokers - Closer,586,132,1,(x34),"628,017","90,069,310"
Justin Bieber - Love Yourself,671,144,1,(x61),"600,478","89,912,772"
The Kooks - She Moves In Her Own Way,1641,"",57,"","94,991","89,429,184"
Ava Max - Sweet but Psycho,690,77,1,(x19),"573,999","88,433,736"
LF SYSTEM - Afraid To Feel,530,119,1,(x27),"567,167","88,060,511"
Anne-Marie - 2002,755,66,3,(x6),"445,107","87,673,467"
Queen - Don't Stop Me Now - Remastered 2011,1375,"",46,"","156,643","87,654,281"
Marshmello - Happier,694,71,1,(x6),"470,878","86,585,899"
George Ezra - Budapest,1497,91,3,(x8),"151,009","85,932,697"
Tears For Fears - Everybody Wants To Rule The World,955,"",33,"","145,676","85,705,459"
Post Malone - Circles,722,84,1,(x1),"481,853","85,511,182"
Bobby Helms - Jingle Bell Rock,323,93,4,"","2,130,871","85,406,187"
Travis Scott - SICKO MODE,787,26,6,"","399,923","85,282,899"
Dave - Funky Friday,825,57,1,(x22),"500,312","84,713,053"
24kGoldn - Mood,484,135,1,(x40),"604,814","84,000,005"
Journey - Don't Stop Believin',1456,"",48,"","129,896","83,936,630"
Fleetwood Mac - Go Your Own Way - 2004 Remaster,1300,"",53,"","126,786","83,643,754"
Keala Settle - This Is Me,670,55,5,"","291,974","83,276,322"
Eminem - Lose Yourself,1729,"",53,"","128,408","83,268,606"
Ed Sheeran - Galway Girl,509,73,1,(x40),"1,104,550","82,888,000"
Lewis Capaldi - Hold Me While You Wait,659,71,3,(x1),"613,131","82,526,575"
Dua Lipa - Levitating,666,42,6,"","289,265","82,010,289"
cassö - Prada,298,150,3,(x7),"407,337","80,661,239"
"Ariana Grande - thank u, next",452,99,1,(x42),"1,007,451","80,537,224"
Rudimental - These Days,598,79,2,(x7),"424,219","80,370,008"
MEDUZA - Piece Of Your Heart,518,91,1,(x3),"584,320","80,245,102"
The Goo Goo Dolls - Iris,922,"",30,"","153,778","80,027,039"
Shawn Mendes - Señorita,491,105,1,(x60),"631,348","79,756,437"
Eminem - The Real Slim Shady,1085,"",43,"","162,417","79,648,380"
Olivia Rodrigo - vampire,340,132,2,(x30),"643,579","79,538,841"
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,690,126,1,(x27),"470,713","79,500,653"
Dominic Fike - 3 Nights,642,76,2,(x15),"407,677","78,955,510"
Mabel - Don't Call Me Up,635,95,3,(x36),"449,132","78,659,054"
Arctic Monkeys - I Wanna Be Yours,681,"",20,"","164,138","78,587,858"
Lil Nas X - MONTERO (Call Me By Your Name),411,110,1,(x33),"620,307","78,480,534"
Justin Bieber - What Do You Mean?,584,166,1,(x51),"444,405","78,170,470"
Kate Bush - Running Up That Hill (A Deal With God),396,108,1,(x60),"956,085","77,767,335"
Doja Cat - Kiss Me More,489,102,2,(x16),"433,424","77,701,456"
Eminem - Without Me,1093,"",46,"","139,579","77,512,122"
Elton John - Step Into Christmas,341,33,6,"","1,615,551","77,202,222"
Ed Sheeran - Beautiful People,528,70,1,(x9),"778,561","77,167,144"
Tate McRae - greedy,263,166,2,(x25),"448,576","76,946,950"
Post Malone - I Fall Apart,798,33,7,"","270,708","76,596,704"
Roddy Ricch - The Box,466,110,1,(x30),"555,610","76,355,583"
Drake - In My Feelings,398,94,1,(x48),"911,733","76,287,927"
XXXTENTACION - Jocelyn Flores,1057,4,2,(x2),"618,071","76,073,839"
Kelly Clarkson - Underneath the Tree,320,48,6,"","1,706,956","75,660,987"
Shakin' Stevens - Merry Christmas Everyone,311,56,3,(x1),"1,626,469","75,212,469"
Harry Styles - Adore You,667,22,7,"","361,740","75,045,046"
George Ezra - Paradise,649,41,6,"","394,631","74,240,270"
Clean Bandit - Symphony,510,81,1,(x15),"511,884","74,041,941"
OneRepublic - Counting Stars,1370,"",34,"","101,288","73,803,683"
Stormzy - Own It,488,99,1,(x9),"582,164","73,746,516"
Post Malone - Wow.,525,95,2,(x13),"439,721","73,232,330"
Major Lazer - Lean On,700,154,1,(x39),"317,230","73,122,952"
Panic! At The Disco - High Hopes,732,"",11,"","237,251","73,057,114"
Coldplay - Viva La Vida,758,"",23,"","151,824","72,213,895"
TOTO - Africa,1195,"",70,"","118,346","72,170,689"
Major Lazer - Cold Water,403,102,1,(x37),"686,719","72,018,521"
Ariana Grande - 7 rings,470,70,1,(x23),"907,729","71,021,419"
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),1163,1,10,"","276,180","70,980,845"
Lost Frequencies - Where Are You Now,579,95,1,(x1),"303,965","70,129,661"
Zara Larsson - Lush Life,627,97,4,"","372,133","70,086,087"
Queen - Bohemian Rhapsody - Remastered 2011,1010,"",25,"","169,072","69,853,299"
Ed Sheeran - Photograph,1194,"",18,"","161,616","69,531,723"
Kenya Grace - Strangers,277,115,1,(x31),"502,620","69,515,981"
David Kushner - Daylight,397,92,1,(x38),"493,265","69,217,287"
Calvin Harris - Promises,412,98,1,(x29),"554,388","68,746,149"
Tyga - Taste,521,47,6,"","321,147","68,722,026"
Michael Bublé - Holly Jolly Christmas,341,2,10,"","1,487,949","68,618,161"
Avicii - Wake Me Up,1302,2,8,"","425,499","68,094,576"
Loud Luxury - Body,539,54,3,(x2),"404,606","68,068,274"
Frank Ocean - Lost,792,3,8,"","207,870","68,030,284"
Ariana Grande - no tears left to cry,418,69,3,(x32),"622,772","67,555,964"
D-Block Europe - Overseas,564,88,2,(x15),"378,579","67,533,368"
Dave - Clash,513,49,2,(x3),"770,853","67,400,045"
Rema - Calm Down,526,"",11,"","217,596","66,633,826"
DJ Khaled - Wild Thoughts,414,84,1,(x30),"666,817","66,550,469"
Clean Bandit - Rockabye,434,102,1,(x42),"528,119","66,260,439"
Calvin Harris - This Is What You Came For,436,105,2,(x41),"563,240","66,113,152"
Kendrick Lamar - All The Stars,556,49,2,(x3),"437,262","65,871,041"
5 Seconds of Summer - Youngblood,627,19,8,"","376,065","65,645,942"
Future - WAIT FOR U,569,25,5,"","294,324","65,635,705"
Lukas Graham - 7 Years,552,94,1,(x24),"538,798","65,632,782"
Florence + The Machine - Dog Days Are Over,803,"",14,"","181,259","65,627,837"
Billie Eilish - when the party's over,704,"",12,"","277,757","65,583,467"
DJ Khaled - I'm the One,351,108,1,(x12),"702,873","65,317,555"
Passenger - Let Her Go,1478,"",52,"","105,079","65,263,966"
Internet Money - Lemonade,451,103,2,(x21),"404,790","65,172,884"
Lil Nas X - Old Town Road - Remix,369,85,3,(x16),"511,884","65,155,414"
Young T & Bugsey - Strike a Pose,474,55,3,(x10),"376,656","65,117,871"
Portugal. The Man - Feel It Still,589,49,6,"","349,010","65,044,782"
Post Malone - Psycho,452,79,2,(x10),"592,179","64,576,615"
Doja Cat - Paint The Town Red,283,96,1,(x34),"610,676","64,353,744"
Lil Nas X - INDUSTRY BABY,396,96,3,(x3),"442,297","64,147,278"
Wizzard - I Wish It Could Be Christmas Everyday,313,4,8,"","1,465,157","64,106,066"
Dua Lipa - Dance The Night (From Barbie The Album),360,71,2,(x9),"466,911","63,891,240"
Jack Harlow - Lovin On Me,207,103,1,(x20),"650,577","63,787,419"
Lil Uzi Vert - XO TOUR Llif3,653,"",23,"","193,710","63,506,863"
Cardi B - WAP,355,94,1,(x28),"609,518","63,395,672"
The Ronettes - Sleigh Ride,298,3,9,"","1,895,216","63,143,662"
Dua Lipa - IDGAF,468,87,2,(x2),"463,234","62,698,419"
Arizona Zervas - ROXANNE,408,91,2,(x1),"470,762","62,655,859"
PinkPantheress - Boy's a liar Pt. 2,297,117,1,(x41),"559,407","62,569,226"
NSG - Options,556,30,8,"","309,025","62,416,654"
Burna Boy - Last Last,503,61,4,"","330,073","62,246,759"
Drake - Too Good,366,122,2,(x41),"384,620","62,220,658"
Shawn Mendes - Stitches,670,75,1,(x2),"369,357","62,215,950"
Dean Martin - Let It Snow! Let It Snow! Let It Snow!,294,20,4,"","2,130,338","62,136,537"
Sam Smith - Unholy,270,113,1,(x28),"632,699","62,058,539"
Drake - Passionfruit,541,59,1,(x1),"707,046","61,951,670"
Miley Cyrus - Party In The U.S.A.,934,"",34,"","159,956","61,834,026"
Post Malone - Congratulations,696,"",21,"","188,524","61,676,282"
Mark Ronson - Uptown Funk,663,119,1,(x64),"451,711","61,657,988"
Harry Styles - Late Night Talking,472,42,2,(x9),"869,741","61,414,783"
Steve Lacy - Bad Habit,409,91,4,"","310,903","61,196,560"
Major Lazer - Light It Up,490,105,5,"","305,714","61,163,907"
The Chainsmokers - Don't Let Me Down,526,77,4,"","353,364","61,158,564"
Regard - Ride It,438,74,2,(x24),"416,657","60,817,996"
Eminem - Godzilla,560,41,1,(x3),"562,679","60,683,818"
Doja Cat - Woman,469,4,10,"","263,652","60,206,397"
Lil Mosey - Blueberry Faygo,444,67,4,"","361,906","60,200,299"
Miguel - Sure Thing,490,68,4,"","300,812","60,106,754"
Lady Gaga - Rain On Me,454,71,1,(x1),"596,134","60,038,351"
Lord Huron - The Night We Met,635,"",19,"","176,118","59,843,703"
Jax Jones - You Don't Know Me,433,56,3,(x37),"490,958","59,786,159"
Steve Lacy - Dark Red,773,"",37,"","113,814","59,694,615"
Central Cee - Doja,445,61,1,(x1),"439,054","59,658,266"
Teddy Swims - Lose Control,193,108,3,(x8),"502,817","59,591,607"
Kygo - Higher Love,497,35,5,"","364,156","59,528,367"
Fifth Harmony - Work from Home,462,93,2,(x14),"384,952","59,491,808"
Macklemore & Ryan Lewis - Can't Hold Us,1394,"",55,"","102,359","59,403,755"
Benson Boone - Beautiful Things,137,113,1,(x8),"642,695","59,398,903"
Chris Rea - Driving Home for Christmas - 2019 Remaster,203,27,5,"","1,603,397","59,369,211"
Adele - Hello,546,94,1,(x16),"765,449","59,343,167"
Hugh Jackman - The Greatest Show,558,"",12,"","201,433","59,285,276"
Olivia Rodrigo - traitor,519,48,4,"","386,765","59,236,716"
Justin Bieber - Mistletoe,336,"",13,"","1,125,383","59,212,096"
Central Cee - Obsessed With You,517,63,5,"","355,530","59,185,501"
Dave - Thiago Silva,732,6,7,"","359,077","59,072,213"
Dean Lewis - Be Alright,774,"",12,"","229,814","58,912,444"
Pop Smoke - What You Know Bout Love,475,75,4,"","341,902","58,725,598"
Calvin Harris - Miracle,298,119,1,(x20),"460,146","58,493,314"
Macklemore & Ryan Lewis - Can't Hold Us,757,"",60,"","123,675","58,291,393"
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",516,80,3,(x8),"385,464","58,149,356"
The Chainsmokers - Something Just Like This,431,47,3,(x4),"453,681","57,903,351"
Cardi B - I Like It,426,19,8,"","357,533","57,468,075"
Kendrick Lamar - HUMBLE.,513,29,5,"","412,391","57,437,639"
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",324,50,2,(x19),"522,794","57,339,651"
Lewis Capaldi - Forget Me,366,51,1,(x3),"514,935","57,250,661"
Eliza Rose - B.O.T.A. (Baddest Of Them All) - Edit,405,59,1,(x2),"372,435","57,078,625"
Zac Efron - Rewrite The Stars,530,15,6,"","260,620","56,929,087"
Becky Hill - Remember (and David Guetta),645,6,5,"","299,699","56,885,107"
Metro Boomin - Creepin',394,80,3,(x1),"317,423","56,837,127"
Olivia Rodrigo - deja vu,505,66,2,(x5),"493,998","56,829,278"
AJ Tracey - Butterflies,620,"",21,"","230,966","56,650,953"
DJ Snake - Let Me Love You,346,87,2,(x17),"483,523","56,582,708"
Harry Styles - Falling,687,"",25,"","223,074","56,574,889"
Lizzo - About Damn Time,387,93,2,(x6),"441,683","55,985,869"
Rihanna - Work,408,81,1,(x13),"583,437","55,557,843"
The Weeknd - Popular,347,38,7,"","297,048","55,390,142"
Shawn Mendes - Treat You Better,451,95,5,"","327,548","55,376,117"
Calvin Harris - Giant,324,89,2,(x19),"435,323","55,137,446"
Leona Lewis - One More Sleep,286,"",15,"","1,120,009","54,871,525"
George Ezra - Green Green Grass,484,39,6,"","281,995","54,828,214"
Juice WRLD - Robbery,660,"",17,"","208,201","54,786,330"
The Weeknd - The Hills,717,37,4,"","223,918","54,737,928"
Tate McRae - you broke me first,500,34,7,"","253,616","54,656,778"
Taylor Swift - Don’t Blame Me,657,"",31,"","142,342","54,531,970"
Olly Alexander (Years & Years) - If You're Over Me,456,33,6,"","397,683","54,364,860"
Joel Corry - Sorry,453,66,3,(x2),"367,540","54,337,868"
Beyoncé - CUFF IT,400,20,7,"","293,635","54,297,175"
S1mba - Rover,386,73,4,"","340,088","54,163,814"
The Weeknd - Can't Feel My Face,528,105,1,(x2),"275,010","54,014,227"
Powfu - death bed,421,69,5,"","314,197","53,970,668"
J Hus - Did You See,424,20,7,"","412,553","53,950,454"
Marshmello - FRIENDS,303,76,2,(x14),"411,786","53,913,864"
Jack Ü - Where Are Ü Now,530,94,4,"","267,597","53,572,745"
Billie Eilish - everything i wanted,428,58,2,(x1),"525,194","53,551,063"
Topic - Breaking Me,395,76,3,(x4),"376,844","53,368,443"
Chris Brown - Under The Influence,393,35,8,"","274,472","53,361,813"
NEIKED - Sexual,466,57,4,"","341,154","53,342,071"
Jonas Blue - Mama,306,97,4,"","526,967","52,873,089"
venbee - messy in heaven,372,38,6,"","285,415","52,809,645"
Jonas Blue - Fast Car,406,89,3,(x3),"358,388","52,644,031"
Lil Tecca - Ransom,419,45,5,"","331,961","52,596,486"
Elton John - I'm Still Standing,771,"",37,"","132,095","52,567,153"
Calum Scott - Dancing On My Own,576,8,10,"","254,624","52,560,391"
Ed Sheeran - Happier,630,20,5,"","772,503","52,466,022"
Drake - Toosie Slide,307,85,1,(x11),"606,670","52,362,634"
Clean Bandit - Solo,331,65,2,(x4),"474,012","52,319,662"
Slade - Merry Xmas Everybody,306,"",12,"","1,148,837","52,288,018"
Frank Ocean - Pink + White,541,"",29,"","145,482","52,119,583"
Riton - Friday,391,80,1,(x1),"392,461","51,981,171"
Shawn Mendes - There's Nothing Holdin' Me Back,364,60,3,(x8),"462,781","51,899,299"
José Feliciano - Feliz Navidad,265,"",14,"","1,542,926","51,818,104"
Aitch - Taste (Make It Shake),339,86,1,(x23),"461,280","51,643,283"
Tion Wayne - Body (Remix),350,63,1,(x14),"656,276","51,574,634"
Joel Corry - Lonely,458,10,7,"","304,744","51,555,912"
Halsey - Without Me,331,81,2,(x1),"357,962","51,489,901"
Adele - Someone Like You,814,"",11,"","274,170","51,442,600"
Future - Life Is Good,426,41,2,(x4),"473,067","51,433,241"
Lil Dicky - Freaky Friday,272,74,1,(x2),"691,339","51,324,961"
Jawsh 685 - Savage Love (Laxed - Sired Beat),324,79,1,(x1),"479,123","51,214,175"
Jason Derulo - Swalla,344,50,4,"","432,004","50,931,691"
Tyla - Water,267,55,3,(x5),"355,939","50,924,374"
Lewis Capaldi - Grace,515,4,9,"","386,939","50,914,625"
Eminem - River,315,78,1,(x27),"616,258","50,884,385"
Jess Glynne - I'll Be There,447,32,7,"","354,755","50,630,328"
The Kid LAROI - WITHOUT YOU,380,92,2,(x19),"288,520","50,618,666"
Marshmello - Silence,371,50,3,(x15),"344,164","50,560,566"
Ramz - Barking,284,75,1,(x5),"508,952","50,256,235"
Tiësto - The Business,385,83,3,(x4),"306,569","50,202,246"
Ed Sheeran - South of the Border,358,45,4,"","513,474","49,712,005"
Jonas Brothers - Sucker,394,52,4,"","358,974","49,710,504"
Little Mix - Shout Out to My Ex,480,50,1,(x9),"520,896","49,641,303"
Travis Scott - HIGHEST IN THE ROOM,492,34,1,(x1),"525,316","49,577,955"
Galantis - Heartbreak Anthem,400,42,6,"","379,313","49,463,928"
Pop Smoke - Mood Swings,369,73,5,"","326,567","49,349,778"
The Weeknd - Die For You,566,"",23,"","141,606","49,343,389"
Martin Jensen - Solo Dance,355,24,6,"","344,086","49,269,371"
Florence + The Machine - You've Got The Love,767,"",40,"","139,305","49,180,722"
Billie Eilish - Happier Than Ever,450,30,4,"","369,369","49,082,946"
MK - 17,394,12,6,"","355,928","48,945,117"
Liam Payne - Strip That Down,298,85,4,"","519,342","48,764,037"
Ariana Grande - One Last Time,681,9,5,"","376,358","48,552,097"
JAY-Z - Ni**as In Paris,1203,"",81,"","83,956","48,408,048"
Nathan Dawe - Lighter,362,66,4,"","367,019","48,309,047"
Jonas Blue - Rise,334,53,3,(x9),"464,674","48,252,493"
Polo G - RAPSTAR,371,45,2,(x2),"470,004","48,158,991"
Declan McKenna - Brazil,571,"",50,"","168,089","47,960,646"
SZA - Snooze,505,"",32,"","215,237","47,951,277"
Chase & Status - Baddadan,308,13,9,"","275,784","47,930,464"
Peggy Gou - (It Goes Like) Nanana - Edit,291,77,4,"","339,124","47,834,212"
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,337,52,8,"","391,447","47,764,912"
Sigala - Came Here for Love,442,47,6,"","314,510","47,724,538"
Headie One - Ain't It Different,321,77,2,(x4),"499,266","47,684,678"
DNCE - Cake By The Ocean,529,30,7,"","285,951","47,616,564"
Calvin Harris - How Deep Is Your Love,422,98,1,(x18),"279,824","47,466,260"
Ziv Zaifman - A Million Dreams,496,"",19,"","172,602","47,448,897"
Frank Sinatra - Let It Snow! Let It Snow! Let It Snow!,296,"",16,"","1,093,938","47,416,674"
Hailee Steinfeld - Starving,429,30,7,"","292,595","47,398,261"
Zedd - The Middle,306,37,7,"","365,165","47,353,453"
Little Mix - Touch,352,61,2,(x4),"412,876","47,268,118"
Charlie Puth - Attention,312,53,6,"","419,963","47,080,803"
Zara Larsson - Never Forget You,388,97,4,"","269,127","47,058,700"
Two Door Cinema Club - What You Know,820,"",52,"","145,719","47,035,533"
The Weeknd - Save Your Tears,536,19,7,"","218,476","46,990,968"
Maroon 5 - Girls Like You,355,1,10,"","329,312","46,959,425"
Travis Scott - goosebumps,741,2,10,"","229,519","46,924,824"
Tory Lanez - The Color Violet,520,"",25,"","139,194","46,671,899"
Aitch - Rain,359,33,2,(x5),"497,950","46,642,078"
Fetty Wap - Trap Queen,536,72,3,(x5),"243,527","46,635,514"
Libianca - People,320,74,5,"","277,845","46,602,537"
AJ Tracey - Dinner Guest,346,53,6,"","317,576","46,416,806"
Joel Corry - BED,312,72,4,"","342,998","46,046,700"
Bing Crosby - White Christmas,284,"",11,"","1,060,524","45,793,093"
Calvin Harris - Feels,281,78,3,(x5),"392,826","45,752,400"
Chris Brown - No Guidance,475,11,8,"","325,323","45,745,582"
MEDUZA - Lose Control,359,24,7,"","295,518","45,709,837"
Ariana Grande - positions,289,69,1,(x40),"619,890","45,551,302"
Billie Eilish - bury a friend,379,34,2,(x1),"429,666","45,538,857"
"Earth, Wind & Fire - September",815,"",20,"","236,355","45,367,526"
Jonasu - Black Magic,360,45,4,"","384,111","45,257,616"
Russ Millions - Keisha & Becky - Remix,426,"",13,"","264,299","45,251,925"
Rag'n'Bone Man - Human,416,50,3,(x1),"356,196","45,115,960"
James Bay - Let It Go,862,"",26,"","121,802","45,098,694"
Tinie Tempah - Girls Like,441,44,5,"","291,550","45,067,601"
NF - Let You Down,345,66,4,"","292,925","44,946,919"
Hozier - Too Sweet,73,67,1,(x17),"903,523","44,920,105"
Justin Bieber - Peaches,260,66,1,(x11),"500,974","44,835,829"
Sam Smith - Dancing With A Stranger,346,61,3,(x7),"410,335","44,789,668"
Lizzy McAlpine - ceilings,372,55,4,"","300,496","44,726,025"
Sam Smith - Too Good At Goodbyes,483,26,1,(x1),"397,017","44,490,428"
Kanye West - Heartless,523,"",26,"","140,965","44,417,673"
John Lennon - Happy Xmas (War Is Over) - Remastered 2010,156,"",11,"","1,648,386","44,315,217"
Gunna - fukumean,270,60,4,"","308,881","44,203,507"
Eminem - Mockingbird,488,"",29,"","138,583","44,140,142"
Jazzy - Giving Me,281,66,3,(x19),"335,282","44,136,277"
"Ariana Grande - break up with your girlfriend, i'm bored",267,59,1,(x21),"798,869","44,102,663"
blackbear - hot girl bummer,438,4,10,"","266,783","44,069,309"
Pop Smoke - For The Night,349,23,7,"","295,590","44,028,693"
Sophie Ellis-Bextor - Murder On The Dancefloor,168,64,2,(x34),"656,090","44,016,641"
BlocBoy JB - Look Alive,394,19,8,"","303,904","43,936,900"
Drake - Controlla,387,"",11,"","225,285","43,900,680"
Ariana Grande - Side To Side,369,48,4,"","347,096","43,845,947"
Marvin Gaye - Ain't No Mountain High Enough,561,"",20,"","156,373","43,816,409"
Electric Light Orchestra - Mr. Blue Sky,784,"",37,"","136,299","43,708,702"
Starley - Call On Me - Ryan Riback Extended Remix,317,42,6,"","359,840","43,670,086"
Aitch - Baby,239,67,2,(x21),"497,865","43,610,494"
Kanye West - Bound 2,617,"",24,"","128,929","43,551,409"
Fireboy DML - Peru,295,87,4,"","271,407","43,287,584"
Mitski - My Love Mine All Mine,260,23,8,"","234,931","43,286,956"
Adele - Set Fire to the Rain,533,"",22,"","205,065","43,286,878"
Ed Sheeran - Take Me Back to London,258,37,2,(x1),"645,555","43,175,602"
Twenty One Pilots - Stressed Out,454,18,8,"","257,279","43,015,309"
Jack Harlow - First Class,207,66,1,(x2),"926,019","42,886,161"
