Artist,Total,Today,1M,2M,3M,4M,5M
陈奕迅,"2,003,145","1,643",0,0,0,0,0
Bonez MC & Raf Camora,"2,000,547",0,0,0,0,0,0
Alan Walker,"2,000,068",8,1,0,0,0,0
Blanco,"1,999,028",0,0,0,0,0,0
Raf Camora,"1,997,115",0,0,0,0,0,0
Natanael Cano,"1,987,064","4,270",0,0,0,0,0
MACAN,"1,976,306",993,0,0,0,0,0
RAYE & 070 Shake,"1,975,057",232,1,0,0,0,0
平井大,"1,963,530",144,0,0,0,0,0
張敬軒,"1,959,144","1,488",0,0,0,0,0
Six60,"1,948,468",0,0,0,0,0,0
Wizkid,"1,945,401",177,0,0,0,0,0
Bad Bunny & Tainy,"1,937,869",419,1,0,0,0,0
아이브,"1,923,005","1,963",0,0,0,0,0
防彈少年團,"1,914,149",0,0,0,0,0,0
Tilly Birds,"1,913,326",598,0,0,0,0,0
Justin Bieber & BloodPop®,"1,908,378",0,1,0,0,0,0
Geolier,"1,895,121","2,276",0,0,0,0,0
백예린,"1,892,679",226,0,0,0,0,0
Summer Walker,"1,891,591",467,0,0,0,0,0
Ali Gatie,"1,885,435",0,1,0,0,0,0
Logic,"1,871,379",0,1,0,0,0,0
IU,"1,870,744",622,0,0,0,0,0
(G)I-DLE,"1,852,194","1,578",0,0,0,0,0
Jax Jones,"1,849,575",0,0,0,0,0,0
Samra,"1,846,481",0,0,0,0,0,0
David Kushner,"1,839,383",427,1,0,0,0,0
Keala Settle & The Greatest Showman Ensemble,"1,822,543",0,1,0,0,0,0
UZI,"1,813,194",605,0,0,0,0,0
Zedd & Alessia Cara,"1,808,708",0,1,0,0,0,0
"Tyler, the Creator","1,804,283",0,0,0,0,0,0
A$AP Rocky,"1,803,756",0,1,0,0,0,0
G.E.M. 鄧紫棋,"1,802,958",0,0,0,0,0,0
Luis Miguel,"1,800,848",47,0,0,0,0,0
Miguel,"1,799,675",0,1,0,0,0,0
EXO,"1,799,486",0,0,0,0,0,0
Martin Garrix,"1,798,393",0,0,0,0,0,0
Gusttavo Lima,"1,794,983",205,0,0,0,0,0
林俊傑,"1,787,480",266,0,0,0,0,0
J Hus,"1,779,709",0,0,0,0,0,0
방탄소년단,"1,774,857",0,0,0,0,0,0
Niall Horan,"1,767,347",0,0,0,0,0,0
Riton & Nightcrawlers,"1,765,885",0,1,0,0,0,0
D-Block Europe,"1,758,552",0,0,0,0,0,0
Shubh,"1,756,129","2,236",0,0,0,0,0
Элджей,"1,753,850",0,0,0,0,0,0
Pedro Capó & Farruko,"1,744,362",0,1,0,0,0,0
田馥甄,"1,741,448",138,0,0,0,0,0
NCT 127,"1,733,568",0,0,0,0,0,0
Lil Wayne,"1,731,011",109,0,0,0,0,0
Мот,"1,729,607",709,0,0,0,0,0
Salmo,"1,727,889",0,0,0,0,0,0
"Kendrick Lamar, SZA","1,719,481",73,1,0,0,0,0
KAROL G & Nicki Minaj,"1,718,294",0,1,0,0,0,0
SEVENTEEN,"1,717,996","1,536",0,0,0,0,0
茄子蛋,"1,714,164",126,0,0,0,0,0
Portugal. The Man,"1,709,918",31,1,0,0,0,0
Piso 21,"1,708,514",0,0,0,0,0,0
Powfu,"1,705,968",0,1,0,0,0,0
The Toys,"1,704,317",172,0,0,0,0,0
Joji,"1,703,897",50,1,0,0,0,0
Kenya Grace,"1,703,841","1,326",1,0,0,0,0
Moneybagg Yo,"1,701,749",0,0,0,0,0,0
CKay,"1,698,174",13,1,0,0,0,0
BOWKYLION,"1,695,638",925,0,0,0,0,0
Daniel Caesar,"1,687,988",342,1,0,0,0,0
Kygo & Whitney Houston,"1,686,346",0,1,0,0,0,0
Tom Walker,"1,684,857",0,1,0,0,0,0
Teddy Swims,"1,676,651","10,938",1,0,0,0,0
Diljit Dosanjh,"1,670,430","2,162",0,0,0,0,0
Viktor Sheen,"1,664,936",476,0,0,0,0,0
Coez,"1,663,543",46,0,0,0,0,0
JUNG KOOK & Latto,"1,658,954","1,437",1,0,0,0,0
RIN,"1,658,119",0,0,0,0,0,0
Liam Payne,"1,652,700",0,1,0,0,0,0
"Calvin Harris, Rag’n’Bone Man","1,652,688",0,1,0,0,0,0
MORGENSHTERN,"1,652,050","1,104",0,0,0,0,0
Novelbright,"1,651,359",261,0,0,0,0,0
