Artist and Title,Days,Pk,(x?),Total,Today
Bruno Mars - 24K Magic,387,1,(x1),"3,765,066",22
The Black Eyed Peas - The Time,327,1,(x58),"3,764,884",0
Post Malone - rockstar,450,3,(x8),"3,751,838",0
SAINt JHN - Roses,608,2,(x1),"3,716,636",73
Pitbull - Rain Over Me,379,3,(x1),"3,716,143",252
The Script - Hall of Fame,347,13,"","3,710,285",890
Charlie Puth - Attention,404,3,(x7),"3,696,518",11
George Ezra - Shotgun,604,6,"","3,634,657",73
Lady GaGa - Born This Way,347,1,(x35),"3,612,469",0
Alexandra Stan - Mr. Saxobeat,429,4,"","3,602,764",0
"Calvin Harris, Dua Lipa - One Kiss",375,1,(x50),"3,573,490",0
Tiësto - The Business,506,1,(x1),"3,567,180",501
The Chainsmokers - Don't Let Me Down,347,4,"","3,563,521",0
BTS - Dynamite,541,1,(x46),"3,549,497",0
Wham! - Last Christmas,539,2,(x3),"3,545,488",33
Flo Rida - Wild Ones,351,3,(x6),"3,540,172",390
Ed Sheeran - Castle on the Hill,476,2,(x7),"3,513,997",54
Ed Sheeran & Justin Bieber - I Don't Care,332,1,(x27),"3,509,954",0
Ariana Grande - Problem,305,1,(x1),"3,509,625",0
Adele - Easy On Me,427,1,(x53),"3,500,443",327
Dynoro & Gigi d'Agostino - In My Mind,516,3,(x4),"3,498,023",216
Marc Anthony - Vivir Mi Vida,240,67,"","3,493,551","1,074"
Ellie Goulding - Burn,320,6,"","3,491,012",0
The Kid LAROI & Justin Bieber - Stay,411,1,(x27),"3,482,568",101
Jason Mraz - I'm Yours,308,49,"","3,481,985",839
Taylor Swift - We Are Never Ever Getting Back Together,273,3,(x4),"3,476,976",0
Flo Rida - Club Can't Handle Me,269,2,(x37),"3,420,987",472
Kygo - Firestone,410,8,"","3,412,301",0
Post Malone & Swae Lee - Sunflower,569,7,"","3,404,741",208
David Guetta & Bebe Rexha - I'm Good,414,1,(x26),"3,389,085",264
Charlie Puth - We Don’t Talk Anymore,286,4,"","3,388,245",340
Jennifer Lopez - Dance Again,317,4,"","3,382,604",0
Lewis Capaldi - Before You Go,569,6,"","3,361,085",0
ZAYN - Dusk Till Dawn,289,1,(x10),"3,348,608",206
"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",302,1,(x3),"3,343,072",0
Usher - DJ Got Us Fallin' In Love,340,2,(x8),"3,332,473",0
Mike Posner - I Took a Pill in Ibiza,302,2,(x1),"3,310,973",0
Taio Cruz - Dynamite,354,2,(x8),"3,307,058",0
OneRepublic - I Ain't Worried,563,3,(x11),"3,305,177","1,378"
P!nk - What About Us,311,1,(x10),"3,296,061",69
Keala Settle & The Greatest Showman Ensemble - This Is Me,601,6,"","3,291,367",305
Lost Frequencies - Are You With Me,339,9,"","3,279,330",107
Snoop Dogg & David Guetta - Sweat,297,5,"","3,275,867",0
Rihanna - S&M,266,2,(x3),"3,267,447",0
Martin Solveig - Hello,396,10,"","3,256,920",83
Nicky Jam & Enrique Iglesias - El Perdón,507,10,"","3,245,448",0
Shawn Mendes - There's Nothing Holdin' Me Back,436,4,"","3,241,697",0
Nico & Vinz - Am I Wrong,316,5,"","3,238,979",241
twenty one pilots - Heathens,293,3,(x2),"3,232,104",80
Bruno Mars - The Lazy Song,337,4,"","3,228,471",48
Calvin Harris - Blame,221,1,(x4),"3,179,601",346
Imany - Don't Be So Shy,377,14,"","3,174,972",0
Marshmello & Bastille - Happier,415,4,"","3,167,705",0
Fifth Harmony - Worth It,338,4,"","3,165,004",288
Portugal. The Man - Feel It Still,418,10,"","3,159,644",0
Regard - Ride It,456,6,"","3,151,951",0
Asaf Avidan & the Mojos - One Day / Reckoning Song,370,13,"","3,139,558",0
The Weeknd - Save Your Tears,485,1,(x11),"3,127,004",586
Kygo & Selena Gomez - It Ain't Me,249,2,(x2),"3,114,818",43
James Arthur - Say You Won't Let Go,379,8,"","3,104,066",324
Glass Animals - Heat Waves,686,6,"","3,086,697",177
Lost Frequencies & Calum Scott - Where Are You Now,693,6,"","3,086,435",796
Post Malone - Circles,455,5,"","3,069,343",35
Calvin Harris - Feel So Close,573,34,"","3,063,821",489
Miley Cyrus - We Can't Stop,250,2,(x1),"3,061,164",0
Taylor Swift - Anti-Hero,546,1,(x4),"3,035,806",496
The Weeknd - Earned It,293,6,"","3,033,752",0
Jason Derülo - Talk Dirty,307,8,"","3,030,117",182
Jessie J - Price Tag,288,6,"","3,020,652",0
Kungs & Cookin' On 3 Burners - This Girl,291,6,"","3,016,301",0
Lana Del Rey - Young and Beautiful,369,11,"","2,999,250",0
Ariana Grande - Break Free,312,3,(x1),"2,992,186",0
Idina Menzel - Let It Go,447,17,"","2,989,097",0
Duck Sauce - Barbra Streisand,301,4,"","2,979,802",164
Jason Mraz - I Won't Give Up,462,30,"","2,979,304",439
Chris Stapleton - Tennessee Whiskey,934,8,"","2,972,865","2,263"
Drake - Hotline Bling,268,3,(x2),"2,968,455",0
Lady Gaga - Hold My Hand,446,1,(x2),"2,964,277",578
Måneskin - Beggin,346,1,(x2),"2,945,655",0
David Guetta - Dangerous,235,2,(x2),"2,937,209",117
"Calvin Harris, Sam Smith - Promises",323,1,(x1),"2,936,737",0
Dua Lipa - New Rules,400,9,"","2,936,718",17
Gayle - abcdefu,417,2,(x30),"2,931,828",398
"Snoop Dogg & Wiz Khalifa - Young, Wild & Free",337,14,"","2,930,611",212
Eminem - Lose Yourself,254,5,"","2,905,404","1,837"
Charlie Puth - Marvin Gaye,365,7,"","2,904,393",21
Rihanna - Work,237,1,(x24),"2,898,794",0
AWOLNATION - Sail,450,35,"","2,897,765",76
Fun. - Some Nights,350,8,"","2,884,201",371
R. City - Locked Away,258,2,(x2),"2,882,353",118
Imagine Dragons - Whatever It Takes,488,16,"","2,880,908",0
LP - Lost on You,526,18,"","2,878,823",0
Charlie Puth - One Call Away,353,9,"","2,871,595",530
Enrique Iglesias - DUELE EL CORAZON,295,10,"","2,861,607",302
Clean Bandit - Solo,272,1,(x1),"2,852,614",41
Jason Derülo - Want to Want Me,296,4,"","2,849,145",75
Shawn Mendes - Stitches,317,4,"","2,848,342",0
Train - Drive By,327,9,"","2,823,703",0
Bruno Mars - Marry You,265,17,"","2,819,642",314
Billie Eilish - everything i wanted,380,1,(x3),"2,798,646",27
Teddy Swims - Lose Control,331,1,(x5),"2,789,408","12,472"
"Train - Hey, Soul Sister",432,11,"","2,765,405",0
Jawsh 685 x Jason Derulo - Savage Love,318,1,(x30),"2,757,755",0
Lost Frequencies - Reality,310,10,"","2,745,608",158
Michael Jackson & Justin Timberlake - Love Never Felt So Good,242,3,(x4),"2,743,888",262
Kaleo - Way Down We Go,441,18,"","2,742,818",48
Imagine Dragons - Natural,343,4,"","2,735,579",25
WALK THE MOON - Shut Up and Dance,347,13,"","2,730,313",115
Fifth Harmony - Work from Home,252,4,"","2,717,295",44
Calvin Harris - Feels,240,2,(x17),"2,709,059",0
Kygo - Stole the Show,362,9,"","2,706,391",0
One Direction - One Way or Another,238,1,(x6),"2,702,415",348
Luis Fonsi & Demi Lovato - Échame La Culpa,313,3,(x7),"2,699,145",0
Clean Bandit - Symphony,352,7,"","2,686,942",0
DNCE - Cake By the Ocean,338,8,"","2,683,350",0
Taylor Swift - Style,360,4,"","2,682,260",63
