Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP
55,+10,Jelly Roll - Save Me,389,35,"",2259,+247,0.765,18,"","",47,""
56,+138,"André Rieu, Johann Strauss Orchestra & Emma Kok - Voilà",91,16,"",2241,+1204,0.282,"",59,48,"",""
57,-3,aespa - Armageddon,9,15,"",2238,-108,0.032,"","","","",117
58,+17,Sia - Unstoppable,1426,3,(x7),2221,+381,6.267,114,99,81,"",""
59,+140,"Fred again.., Anderson .Paak & CHIKA - places to be",5,57,"",2176,+1166,0.009,"",34,140,"",""
60,+54,Adele - Rolling In the Deep,2605,1,(x1),2134,+694,16.906,"","","",194,""
61,NEW,Halsey - The End,1,61,"",2120,+2120,0.002,38,71,"","",""
62,+1,10CM - Spring Snow,22,35,"",2104,+72,0.053,"","","","",""
63,-19,Djo - End of Beginning,98,10,"",2088,-626,0.344,65,165,107,92,""
64,+48,Ed Sheeran - Thinking Out Loud,2687,2,(x14),2068,+604,11.355,"","","","",""
65,+27,Ed Sheeran - Shape of You,2511,1,(x110),2062,+435,12.458,"","","","",""
66,+91,Eminem - Without Me,15,26,"",2048,+841,0.461,48,75,"","",""
67,-22,Jason Derulo & Michael Bublé - Spicy Margarita,79,8,"",2012,-675,0.276,"","",10,"",""
68,+5,Billie Eilish - BLUE,19,30,"",2004,+141,0.050,"","","",61,""
69,+59,P!nk - Just Give Me a Reason,1688,1,(x23),1996,+635,9.785,"","","","",""
70,-27,BENNETT - Vois sur ton chemin,304,15,"",1988,-824,1.023,"","",17,"",""
71,-1,aespa - Supernova,23,13,"",1958,+69,0.073,"","","","",80
72,-11,MY FIRST STORY & HYDE - MUGEN,18,53,"",1934,-139,0.039,"","","","",2
73,-11,NewJeans - Bubble Gum,12,26,"",1908,-127,0.042,"","","","",51
74,+20,Ricchi & Poveri - Sarà perché ti amo,330,28,"",1895,+290,0.794,"","",57,"",""
