Artist,Total,Today,1M,2M,3M,4M,5M
Timal,"2,962,958","3,201",2,0,0,0,0
Miyagi & Andy Panda,"2,962,575","1,025",1,1,0,0,0
Cast Of “Mamma Mia! Here We Go Again”,"2,959,369",0,1,1,0,0,0
Foo Fighters,"2,954,548",104,0,0,0,0,0
Zola,"2,929,136",0,1,0,0,0,0
Red Hot Chili Peppers,"2,927,959",176,1,0,0,0,0
187 Strassenbande,"2,925,605",0,1,1,0,0,0
Земфира,"2,896,973",703,1,0,0,0,0
Lin-Manuel Miranda,"2,873,593",0,1,1,0,0,0
Shiva,"2,872,822","1,427",0,0,0,0,0
The Kid LAROI,"2,866,378",58,1,0,0,0,0
Young Thug,"2,841,409",11,1,0,0,0,0
Halsey,"2,838,729",0,1,0,0,0,0
Ghali,"2,836,267",0,1,0,0,0,0
Azet,"2,828,271",0,1,0,0,0,0
T-Fest,"2,824,681",353,0,0,0,0,0
Wizkid,"2,821,532",0,1,0,0,0,0
"Kendrick Lamar, The Weeknd, SZA","2,815,818",0,1,1,0,0,0
Tiakola,"2,807,418","2,524",1,1,0,0,0
The Beatles,"2,783,375","1,444",1,0,0,0,0
Bushido,"2,779,186","5,391",0,0,0,0,0
Cardi B,"2,777,769",0,1,1,0,0,0
The 1975,"2,774,514",0,2,0,0,0,0
Bring Me the Horizon,"2,760,675","17,541",2,0,0,0,0
LEA,"2,754,119",0,1,0,0,0,0
Bruno Mars,"2,749,787",0,1,1,0,0,0
"Lorne Balfe, Harold Faltermeyer, Lady Gaga & Hans Zimmer","2,742,294",883,1,1,0,0,0
G-Eazy,"2,718,518",0,1,0,0,0,0
AK Ausserkontrolle,"2,705,911",0,0,0,0,0,0
Rihanna,"2,687,227",405,1,0,0,0,0
U2,"2,666,740",561,1,0,0,0,0
белый шум для детей,"2,664,501","2,232",1,0,0,0,0
Kaaris,"2,663,218",182,0,0,0,0,0
Nirvana,"2,659,273","3,156",1,1,0,0,0
RK,"2,657,628","4,689",0,0,0,0,0
J Balvin,"2,642,923",0,1,0,0,0,0
Gazzelle,"2,634,637",455,0,0,0,0,0
"Kristen Anderson-Lopez & Robert Lopez, Idina Menzel, Kristen Bell & Christophe Beck","2,633,773","1,531",2,0,0,0,0
MiyaGi,"2,632,060",268,1,1,0,0,0
Anuel AA,"2,625,442",236,1,0,0,0,0
Melanie Martinez,"2,592,016",65,1,0,0,0,0
Vald,"2,567,214",0,0,0,0,0,0
Luchè,"2,566,599",0,1,0,0,0,0
Laylow,"2,565,655",0,2,0,0,0,0
Yung Hurn,"2,556,191",0,1,0,0,0,0
Jorja Smith,"2,549,558",0,1,0,0,0,0
Don Toliver,"2,514,086","1,287",0,0,0,0,0
AC/DC,"2,496,949","1,267",1,0,0,0,0
"Lin-Manuel Miranda, Germaine Franco, Stephanie Beatriz, Olga Merediz & Jessica Darrow","2,493,142",0,1,1,0,0,0
J Hus,"2,489,024",0,1,0,0,0,0
Lil Durk,"2,488,725",0,0,0,0,0,0
Joji,"2,447,388",0,1,0,0,0,0
Егор Крид,"2,442,467",0,0,0,0,0,0
Gerry Cinnamon,"2,419,053",0,1,0,0,0,0
Freeze corleone,"2,407,477",333,1,0,0,0,0
Carl Brave,"2,399,531",0,1,0,0,0,0
Meek Mill,"2,387,835",0,1,0,0,0,0
Achille Lauro,"2,382,699",0,0,0,0,0,0
Dermot Kennedy,"2,370,839",19,1,0,0,0,0
Justin Timberlake,"2,355,339",683,1,0,0,0,0
6LACK,"2,350,669",0,1,0,0,0,0
GONE.Fludd,"2,349,893",0,0,0,0,0,0
Logic,"2,328,265",0,0,0,0,0,0
Fally Ipupa,"2,325,025",626,0,0,0,0,0
Samra,"2,324,203",0,1,0,0,0,0
Helene Fischer,"2,324,117",0,1,0,0,0,0
John Mayer,"2,303,571",82,1,0,0,0,0
Peter Fox,"2,291,597","2,596",2,0,0,0,0
Платина,"2,287,990","2,639",1,0,0,0,0
The National,"2,282,050",0,0,0,0,0,0
Big Baby Tape & kizaru,"2,281,838","1,581",1,1,0,0,0
Dinos,"2,272,723",0,0,0,0,0,0
"21 Savage, Offset & Metro Boomin","2,269,992",29,1,1,0,0,0
Bigflo & Oli,"2,252,644",0,1,0,0,0,0
Vasco Rossi,"2,250,210",477,0,0,0,0,0
Florence + The Machine,"2,249,605",0,2,0,0,0,0
Nas,"2,248,899",0,0,0,0,0,0
Calcutta,"2,236,033","1,489",0,0,0,0,0
