Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
Arctic Monkeys - I Wanna Be Yours,97,"",27,"","484,875","38,191,963"
Mata - JESTEM POJ384NY,61,13,1,(x5),"3,837,162","38,183,397"
David Guetta - I'm Good (Blue),92,2,2,(x1),"947,820","38,007,337"
Bedoes 2115 - VOGUE,144,10,2,(x1),"802,465","37,623,443"
Kukon - Miniówa,167,"",66,"","332,997","37,339,651"
club2020 - Malibu Barbie,62,15,1,(x4),"2,960,897","37,175,497"
Wham! - Last Christmas,72,34,1,(x9),"2,146,100","36,780,224"
Mariah Carey - All I Want for Christmas Is You,68,34,1,(x6),"2,045,888","36,602,527"
"Sobel - Cześć, jak się masz?",64,12,2,(x4),"2,697,694","36,507,132"
Young Igi - Bestia,173,16,2,(x2),"398,187","36,485,792"
Bedoes 2115 - Wschód (lubię zapierdalać),156,2,5,"","735,222","36,472,176"
Sobel - Bandyta,70,16,2,(x1),"1,368,446","36,461,735"
Kuban - na okrągło,72,18,1,(x1),"1,680,811","36,419,033"
Męskie Granie Orkiestra 2023 - Supermoce,54,16,2,(x1),"1,336,620","36,241,761"
sanah - Szampan,116,11,1,(x1),"710,017","35,107,999"
OneRepublic - I Ain't Worried,94,"",13,"","682,692","35,072,629"
Smolasty - Nim Zajdzie Słońce,42,13,1,(x2),"2,361,935","35,034,945"
sanah - Szary świat,62,9,1,(x1),"2,014,137","34,912,344"
The Neighbourhood - Daddy Issues,165,"",61,"","307,082","34,526,886"
sanah - etc. (na disco),71,12,6,"","970,830","34,367,089"
be vis - Surfer,166,1,10,"","298,248","34,098,862"
White 2115 - Morgan,125,6,3,(x3),"622,358","34,017,638"
sanah - ten Stan,75,5,5,"","1,049,078","33,947,002"
Cyrko - Prywatny bal,63,7,8,"","866,249","33,707,072"
Mata - La La La (Oh Oh),68,10,2,(x2),"1,716,783","33,702,098"
sanah - Eldorado,76,8,5,"","958,370","33,645,942"
Bedoes 2115 - Jesteś ładniejsza niż na zdjęciach (na zawsze),124,13,1,(x4),"1,434,011","33,549,100"
schafter - hot coffee,122,19,1,(x2),"791,227","33,461,487"
Tymek - Poza kontrolą,136,11,5,"","390,679","33,051,206"
Mata - 100 dni do matury,113,10,1,(x3),"1,062,752","33,042,891"
Favst - ztb,82,"",13,"","683,156","33,036,895"
ReTo - Billy Kid,123,"",31,"","497,491","32,892,172"
Alberto - La Manga,72,13,5,"","1,218,801","32,812,860"
2115 - BEDOESIARA,64,9,1,(x2),"2,579,421","32,811,258"
Fukaj - NIE MA CIĘ,47,10,1,(x1),"1,547,272","32,680,550"
Vance Joy - Riptide,310,9,5,"","423,908","32,375,107"
Taco Hemingway - W piątki leżę w wannie,112,15,1,(x4),"1,495,147","32,360,279"
Chivas - anyżowe żelki,84,3,7,"","1,061,590","32,289,909"
The Neighbourhood - Softcore,119,"",39,"","439,223","32,242,937"
The Kolors - ITALODISCO,45,13,4,"","1,339,581","31,956,365"
