Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
The Weeknd - Die For You,124,"",12,"","22,988,828","1,632,334,294"
Travis Scott - goosebumps,249,"",13,"","22,652,793","1,629,084,431"
David Guetta - I'm Good (Blue),92,21,2,(x4),"34,345,014","1,620,993,963"
Olivia Rodrigo - good 4 u,78,17,1,(x7),"84,131,760","1,618,703,681"
The Chainsmokers - Something Just Like This,209,12,2,(x2),"33,173,199","1,613,454,099"
Bad Bunny - Me Porto Bonito,81,27,2,(x1),"39,839,157","1,595,512,799"
Olivia Rodrigo - drivers license,98,16,1,(x10),"80,764,045","1,590,283,541"
Dua Lipa - Levitating,116,12,4,"","30,358,414","1,576,155,950"
OneRepublic - I Ain't Worried,104,8,7,"","25,270,059","1,557,126,236"
Coldplay - Yellow,180,"",36,"","16,131,576","1,551,900,320"
Ariana Grande - 7 rings,143,16,1,(x10),"71,467,874","1,547,429,518"
XXXTENTACION - SAD!,163,12,1,(x2),"38,010,231","1,531,066,913"
XXXTENTACION - Jocelyn Flores,217,2,7,"","25,442,646","1,511,632,218"
Taylor Swift - Anti-Hero,79,12,1,(x3),"82,935,273","1,501,835,240"
Mariah Carey - All I Want for Christmas Is You,74,33,1,(x12),"75,826,005","1,499,818,030"
Queen - Bohemian Rhapsody - Remastered 2011,224,"",11,"","18,440,196","1,484,719,835"
Hozier - Take Me To Church,251,20,1,(x5),"13,212,580","1,477,388,327"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",68,22,1,(x9),"54,841,779","1,466,812,232"
Jung Kook - Seven,46,22,1,(x9),"89,748,171","1,449,708,778"
Drake - God's Plan,104,21,1,(x11),"54,891,573","1,446,481,457"
Lil Nas X - MONTERO (Call Me By Your Name),73,22,1,(x5),"55,582,612","1,435,081,319"
Travis Scott - SICKO MODE,147,21,2,(x1),"33,399,542","1,423,300,401"
Justin Bieber - Ghost,132,"",11,"","17,091,238","1,421,592,342"
SAINt JHN - Roses - Imanbek Remix,97,23,3,(x10),"35,360,782","1,393,342,289"
BTS - Dynamite,113,17,2,(x2),"39,904,687","1,387,320,531"
Maroon 5 - Memories,127,15,2,(x1),"31,572,344","1,378,872,769"
J. Cole - No Role Modelz,227,"",64,"","11,091,492","1,369,389,336"
Ruth B. - Dandelions,143,"",34,"","11,383,604","1,368,114,648"
24kGoldn - Mood,91,27,1,(x5),"41,500,977","1,364,348,925"
Adele - Easy On Me,88,22,1,(x7),"84,952,932","1,348,667,035"
Ed Sheeran - Bad Habits,78,20,3,(x4),"38,983,802","1,345,540,456"
Bad Bunny - DÁKITI,103,17,1,(x5),"53,344,093","1,340,268,006"
Sam Smith - Unholy,57,22,1,(x7),"53,478,156","1,326,886,078"
Doja Cat - Kiss Me More,80,20,3,(x4),"37,723,231","1,319,804,269"
Marshmello - Happier,117,22,2,(x1),"28,685,390","1,314,561,043"
Camila Cabello - Havana,114,25,1,(x1),"33,129,706","1,305,095,150"
Rema - Calm Down,82,3,9,"","25,338,316","1,295,568,954"
John Legend - All of Me,308,15,3,(x2),"6,405,273","1,261,721,721"
Eminem - Without Me,153,"",31,"","13,008,857","1,257,313,777"
Ed Sheeran - Thinking out Loud,241,22,1,(x2),"12,966,533","1,256,739,061"
Conan Gray - Heather,154,"",12,"","18,431,861","1,256,710,625"
Bad Bunny - Tití Me Preguntó,62,24,4,"","35,141,825","1,251,442,060"
Roddy Ricch - The Box,80,18,1,(x1),"48,937,592","1,251,184,105"
Ed Sheeran - Shivers,90,23,4,"","31,926,382","1,240,024,967"
Metro Boomin - Creepin',68,15,2,(x1),"36,446,537","1,239,540,881"
Ed Sheeran - I Don't Care,90,17,1,(x6),"58,370,367","1,236,890,080"
Ed Sheeran - Photograph,265,"",15,"","8,088,843","1,232,673,054"
Post Malone - Better Now,114,11,1,(x6),"40,788,286","1,232,129,792"
Calvin Harris - One Kiss,111,14,2,(x4),"30,380,257","1,225,387,792"
Wham! - Last Christmas,69,25,2,(x10),"71,138,282","1,217,407,247"
