Artist,Total,Today,1M,2M,3M,4M,5M
Wham!,"4,430,648",55,1,1,1,1,0
Lizzo,"4,423,533",0,2,0,0,0,0
Axwell Λ Ingrosso,"4,416,913",0,2,1,0,0,0
Fifth Harmony,"4,415,764",0,2,0,0,0,0
Michael Jackson,"4,404,038",282,1,1,0,0,0
Kungs,"4,401,497",0,2,0,0,0,0
Lost Frequencies & Calum Scott,"4,385,588","2,443",1,1,1,1,0
Tove Lo,"4,383,073",0,2,0,0,0,0
Clara Luciani,"4,380,823",0,1,0,0,0,0
5 Seconds of Summer,"4,318,134",0,1,0,0,0,0
Jonas Brothers,"4,307,026",0,1,0,0,0,0
Sido,"4,249,703",0,0,0,0,0,0
Kendji Girac,"4,214,745",0,0,0,0,0,0
Faul & Wad Ad & Pnau,"4,190,225",0,1,1,1,1,0
Andreas Gabalier,"4,170,788",753,1,0,0,0,0
Demi Lovato,"4,156,958",0,1,0,0,0,0
James Bay,"4,146,273",0,2,1,0,0,0
"Calvin Harris, Dua Lipa","4,141,286",0,1,1,1,1,0
Tom Odell,"4,137,686","2,065",1,1,1,0,0
Jovanotti,"4,127,021",0,0,0,0,0,0
Panic! At the Disco,"4,118,139",0,1,1,1,0,0
HammAli & Navai,"4,110,185",0,0,0,0,0,0
Irama,"4,106,668","2,049",0,0,0,0,0
Regard,"4,079,774",0,1,1,1,1,0
Joel Corry,"4,074,139",0,1,1,1,0,0
Carly Rae Jepsen,"4,069,103",0,2,1,0,0,0
Nicky Jam & Enrique Iglesias,"4,059,634",0,1,1,1,1,0
David Guetta & Bebe Rexha,"3,995,916",342,1,1,1,0,0
Kungs & Cookin' On 3 Burners,"3,979,378",0,1,1,1,0,0
Michael Patrick Kelly,"3,952,919",0,1,0,0,0,0
Maluma,"3,894,483",0,0,0,0,0,0
Icona Pop,"3,881,157",673,1,1,1,0,0
Topic & A7S,"3,847,879","1,046",1,1,1,0,0
"Calvin Harris, Sam Smith","3,846,753",0,1,1,1,0,0
Luis Fonsi & Demi Lovato,"3,842,048",0,1,1,1,0,0
Galantis,"3,822,331",0,2,0,0,0,0
Apache 207,"3,821,600","2,209",1,0,0,0,0
ZAZ,"3,802,093",0,1,1,0,0,0
Tiziano Ferro,"3,766,281",0,0,0,0,0,0
Pinguini Tattici Nucleari,"3,765,445","1,185",0,0,0,0,0
Sarah Connor,"3,726,603",0,1,0,0,0,0
ABBA,"3,714,509",895,0,0,0,0,0
Elisa,"3,712,012",849,0,0,0,0,0
Rammstein,"3,669,061","1,030",1,0,0,0,0
Robbie Williams,"3,658,551",0,1,0,0,0,0
Niall Horan,"3,648,556",0,0,0,0,0,0
Madonna,"3,639,091",91,0,0,0,0,0
Acraze,"3,634,515",30,1,1,1,0,0
Matt Simons,"3,621,069",0,1,0,0,0,0
Lenny Kravitz,"3,609,835","4,768",2,0,0,0,0
Madcon,"3,609,399",334,1,1,0,0,0
Rosalía,"3,608,583",0,1,0,0,0,0
Teddy Swims,"3,603,828","20,077",1,1,0,0,0
Birdy,"3,593,926",257,1,0,0,0,0
ANNA ASTI,"3,570,611","2,290",0,0,0,0,0
Portugal. The Man,"3,567,368",0,1,1,1,0,0
The Avener,"3,566,221",0,1,1,0,0,0
Alice Merton,"3,565,820",0,1,1,0,0,0
Jony,"3,565,579","1,718",0,0,0,0,0
Mabel,"3,551,433",0,1,1,0,0,0
Meduza,"3,536,443",0,2,1,0,0,0
Rema,"3,527,949",170,1,1,1,0,0
Gayle,"3,505,303","1,243",1,1,1,0,0
Mike Posner,"3,446,132",0,1,1,1,0,0
Kaleo,"3,435,133",280,1,1,1,0,0
Zoe Wees,"3,425,423",0,1,0,0,0,0
Iggy Azalea,"3,416,180",0,1,0,0,0,0
Basta,"3,405,927","4,867",1,0,0,0,0
Anne-Marie,"3,370,006",0,0,0,0,0,0
Wincent Weiss,"3,369,867",0,0,0,0,0,0
Bakermat,"3,358,562",83,1,0,0,0,0
AronChupa,"3,350,520",0,1,1,1,0,0
Ed Sheeran & Justin Bieber,"3,340,136",0,1,1,1,0,0
"Calvin Harris, Rag’n’Bone Man","3,322,184",0,1,1,1,0,0
Tiësto & Ava Max,"3,307,861","1,500",1,1,1,0,0
Kiesza,"3,301,742",0,1,1,0,0,0
Christina Aguilera,"3,300,282",134,1,1,0,0,0
Farruko,"3,299,524",0,1,1,1,0,0
Zhang Zhe Han,"3,295,549",0,0,0,0,0,0
Jul,"3,291,945",0,0,0,0,0,0
Julien Doré,"3,282,221",0,0,0,0,0,0
Jawsh 685 x Jason Derulo,"3,262,284",0,1,1,1,0,0
Emma,"3,261,124","2,081",0,0,0,0,0
Okean Elzy,"3,260,999",0,0,0,0,0,0
Vasco Rossi,"3,251,376","1,535",0,0,0,0,0
Baby K,"3,221,708",362,1,0,0,0,0
Jah Khalib,"3,215,163",111,0,0,0,0,0
Christine and the Queens,"3,210,601","3,197",1,0,0,0,0
The Kolors,"3,208,441","5,996",1,0,0,0,0
Sigala,"3,196,181",0,1,0,0,0,0
Dean Lewis,"3,192,692",359,1,1,0,0,0
Nico & Vinz,"3,178,255",40,1,1,0,0,0
Vianney,"3,144,227",0,0,0,0,0,0
Riton & Nightcrawlers,"3,142,914",0,1,1,1,0,0
Alesso,"3,140,827",0,2,0,0,0,0
The Rolling Stones,"3,112,271",49,0,0,0,0,0
The Black Eyed Peas,"3,110,001",0,1,0,0,0,0
Disclosure,"3,105,346","2,108",1,0,0,0,0
Kygo & Selena Gomez,"3,103,056",0,1,1,1,0,0
London Grammar,"3,068,789",0,1,0,0,0,0
Justin Wellington,"3,062,271",0,1,1,1,0,0
Fedez,"3,018,287",0,0,0,0,0,0
surf mesa,"3,014,311",207,1,1,0,0,0
Amir,"3,008,767",0,0,0,0,0,0
Calum Scott,"3,006,632",0,1,0,0,0,0
Freya Ridings,"2,998,474",0,1,0,0,0,0
Adel Tawil,"2,980,167",0,0,0,0,0,0
Seiler Und Speer,"2,966,590",298,0,0,0,0,0
Sigma,"2,946,806",0,1,0,0,0,0
Asaf Avidan & The Mojos,"2,939,514",0,1,1,0,0,0
Slimane,"2,922,335","4,614",0,0,0,0,0
Muse,"2,916,184",0,0,0,0,0,0
Showtek,"2,888,015",0,1,0,0,0,0
Bruce Springsteen,"2,887,238",630,0,0,0,0,0
Cro,"2,874,646",0,0,0,0,0,0
Sean Paul,"2,862,728",0,1,0,0,0,0
Stevie Wonder,"2,859,714",345,1,1,0,0,0
Johannes Oerding,"2,853,140",814,1,0,0,0,0
The Kid LAROI & Justin Bieber,"2,813,750",0,1,1,0,0,0
Thegiornalisti,"2,799,362",0,0,0,0,0,0
Chris Brown,"2,795,831",114,0,0,0,0,0
NЮ,"2,794,247","1,658",1,0,0,0,0
Ghali,"2,790,850","3,089",0,0,0,0,0
Black M,"2,781,212",0,0,0,0,0,0
Anivar,"2,776,054",818,1,0,0,0,0
DNCE,"2,771,796",0,1,1,0,0,0
