Artist and Title,Days,Pk,(x?),Total,Today
John Newman - Love Me Again,491,3,(x5),"6,392,215",0
Disturbed - The Sound of Silence,850,1,(x65),"6,255,099","17,234"
Wiz Khalifa - See You Again,488,1,(x50),"6,109,615","1,412"
Lewis Capaldi - Someone You Loved,944,1,(x2),"6,015,157",496
Katy Perry - Roar,360,1,(x6),"5,972,348",0
ADELE - Set Fire to the Rain,1076,15,"","5,930,834","1,985"
The Chainsmokers & Coldplay - Something Just Like This,462,2,(x16),"5,921,102",550
Sia - Unstoppable,1346,3,(x1),"5,763,800","1,655"
P!nk - Try,543,10,"","5,712,261","1,617"
Dynoro & Gigi d'Agostino - In My Mind,563,1,(x40),"5,691,989",639
Pitbull - Timber,357,1,(x3),"5,661,681",746
Taylor Swift - Shake It Off,510,2,(x3),"5,630,977","3,045"
OneRepublic - Counting Stars,544,5,"","5,570,867",0
Camila Cabello - Havana,488,1,(x42),"5,516,738",0
Calvin Harris & Disciples - How Deep Is Your Love,297,1,(x53),"5,435,804",0
Imagine Dragons - Radioactive,519,16,"","5,416,773",0
Clean Bandit - Rockabye,342,1,(x31),"5,335,124",426
Lost Frequencies - Are You With Me,364,2,(x6),"5,286,999",297
Omi - Cheerleader,347,3,(x6),"5,233,152",678
Coldplay - Hymn for the Weekend,432,2,(x10),"5,192,781",493
Rihanna - Stay,413,4,"","5,183,018",0
Sia - Cheap Thrills,394,2,(x30),"5,180,105",372
Harry Styles - Sign of the Times,637,1,(x3),"5,130,837",490
Milky Chance - Stolen Dance,465,12,"","5,098,807",0
Burak Yeter - Tuesday,418,8,"","5,091,750",748
Martin Garrix - Animals,426,5,"","5,070,779",0
Clean Bandit - Rather Be,317,2,(x30),"5,056,049",621
Shawn Mendes & Camila Cabello - Señorita,439,1,(x82),"5,049,992",371
Major Lazer - Lean On,365,1,(x55),"4,923,737",0
Ed Sheeran - Bad Habits,508,1,(x74),"4,914,499",0
Katy Perry - Dark Horse,366,2,(x25),"4,847,827",0
will.i.am - Scream & Shout,371,3,(x4),"4,820,789",0
Michel Teló - Ai Se Eu Te Pego,354,32,"","4,792,616",176
Lykke Li - I Follow Rivers,556,29,"","4,773,138","1,161"
LP - Lost on You,505,6,"","4,693,862",35
Tiësto - The Business,887,1,(x20),"4,679,307","1,578"
Kygo - Firestone,438,4,"","4,669,283",0
Justin Bieber - Sorry,410,2,(x55),"4,603,573",0
Coldplay - Adventure of a Lifetime,319,2,(x32),"4,571,138",290
ZAYN - Dusk Till Dawn,309,1,(x21),"4,547,959",529
Meghan Trainor - All About That Bass,287,1,(x25),"4,542,478",129
Metallica - Nothing Else Matters,879,27,"","4,532,410","1,342"
Fun. - We Are Young,465,25,"","4,522,464","2,033"
SAINt JHN - Roses,616,2,(x8),"4,507,203",90
Lana Del Rey - Young and Beautiful,440,8,"","4,494,683",0
Miley Cyrus - Wrecking Ball,273,2,(x1),"4,489,400",0
Ed Sheeran - Shivers,512,2,(x3),"4,475,741",967
Loreen - Euphoria,398,14,"","4,472,869","1,730"
The Weeknd - I Feel It Coming,375,3,(x2),"4,455,505",0
Maroon 5 - Memories,534,2,(x13),"4,446,905",0
Lost Frequencies - Reality,330,3,(x1),"4,443,806",448
Lost Frequencies & Calum Scott - Where Are You Now,963,4,"","4,385,588","2,443"
Enrique Iglesias - DUELE EL CORAZON,417,4,"","4,376,298",406
The Weeknd - Starboy,258,1,(x33),"4,362,157",0
Eminem - The Monster,225,1,(x54),"4,357,134",0
Justin Bieber - Love Yourself,388,2,(x12),"4,356,943",0
Klingande - Jubel,392,6,"","4,340,747",213
Enrique Iglesias - Bailando,474,8,"","4,323,904",0
Macklemore & Ryan Lewis - Thrift Shop,257,2,(x5),"4,308,880",44
Ed Sheeran - Photograph,528,9,"","4,306,295","1,114"
Wham! - Last Christmas,477,2,(x26),"4,269,075",55
Rihanna and Kanye West and Paul McCartney - FourFiveSeconds,224,1,(x11),"4,256,761",0
Faul & Wad Ad & Pnau - Changes,326,5,"","4,190,225",0
Post Malone - rockstar,317,3,(x30),"4,152,227",33
"Calvin Harris, Dua Lipa - One Kiss",346,1,(x50),"4,141,286",0
Taylor Swift - Blank Space,337,1,(x3),"4,134,888",0
Ava Max - Sweet but Psycho,409,2,(x35),"4,107,607",0
twenty one pilots - Stressed Out,382,2,(x11),"4,080,741",288
Regard - Ride It,475,2,(x2),"4,079,774",0
Nicky Jam & Enrique Iglesias - El Perdón,481,2,(x3),"4,058,189",0
Imagine Dragons - Thunder,410,3,(x2),"4,052,325",0
Imagine Dragons - Demons,363,12,"","3,996,753",646
David Guetta & Bebe Rexha - I'm Good,412,1,(x60),"3,995,916",342
Lorde - Royals,246,2,(x22),"3,995,631",0
Kungs & Cookin' On 3 Burners - This Girl,295,1,(x6),"3,979,378",0
Felix Jaehn - Ain't Nobody,303,2,(x11),"3,954,556",0
Kygo - Stole the Show,371,2,(x9),"3,932,467",0
P!nk - What About Us,303,1,(x29),"3,920,088",0
David Guetta - Dangerous,267,1,(x35),"3,918,019",191
Lil Nas X - Old Town Road,363,2,(x5),"3,911,561",0
George Ezra - Shotgun,512,4,"","3,904,616",114
"Calvin Harris, Sam Smith - Promises",319,2,(x60),"3,846,753",0
Coldplay - Magic,213,2,(x13),"3,844,307",609
Luis Fonsi & Demi Lovato - Échame La Culpa,320,3,(x21),"3,842,048",0
Calvin Harris - Summer,273,1,(x29),"3,830,522",0
Lukas Graham - 7 Years,348,3,(x1),"3,770,697",0
Calvin Harris - This Is What You Came For,251,1,(x7),"3,765,192",0
Indila - Dernière danse,330,26,"","3,764,521",0
David Guetta & Sia - Flames,300,1,(x30),"3,761,102",0
Duke Dumont - Ocean Drive,504,21,"","3,759,832",0
Sam Smith - Stay With Me,385,4,"","3,736,264",0
Drake - One Dance,291,2,(x13),"3,704,101",0
Stromae - Papaoutai,469,16,"","3,687,967",0
Harry Styles - Watermelon Sugar,671,2,(x6),"3,684,368",259
Tom Odell - Another Love,806,10,"","3,635,414","2,065"
Avicii - Addicted To You,296,4,"","3,633,234",0
Lana Del Rey - Summertime Sadness,325,37,"","3,628,825",0
Acraze - Do It To It,581,2,(x24),"3,619,482",30
Christina Perri - A Thousand Years,657,16,"","3,604,935","1,191"
Lady Gaga - Hold My Hand,477,1,(x3),"3,579,976",652
Maroon 5 - Girls Like You,332,3,(x15),"3,576,027",33
DJ Snake - Let Me Love You,261,1,(x39),"3,553,206",0
Feder - Goodbye,355,12,"","3,543,168",82
Justin Bieber - What Do You Mean,252,1,(x13),"3,536,268",0
Panic! At the Disco - High Hopes,455,4,"","3,532,766",0
The Weeknd - Save Your Tears,446,1,(x28),"3,500,357",516
Gayle - abcdefu,666,2,(x18),"3,489,498","1,243"
Rema - Calm Down,580,4,"","3,484,095",170
Enrique Iglesias - SÚBEME LA RADIO,262,3,(x1),"3,411,315",48
Ellie Goulding - Burn,262,4,"","3,409,234",0
George Ezra - Budapest,419,20,"","3,399,123",387
Mike Posner - I Took a Pill in Ibiza,337,4,"","3,393,408",0
Queen - Bohemian Rhapsody,551,6,"","3,370,661",300
Robin Schulz - Sugar,279,3,(x2),"3,365,074",182
Kaleo - Way Down We Go,423,15,"","3,355,199",280
Imagine Dragons - Natural,335,4,"","3,344,440",88
Dua Lipa - Don't Start Now,318,2,(x12),"3,341,598",0
Ed Sheeran & Justin Bieber - I Don't Care,304,1,(x9),"3,340,136",0
Portugal. The Man - Feel It Still,393,8,"","3,327,530",0
"Calvin Harris, Rag’n’Bone Man - Giant",305,2,(x34),"3,322,184",0
Ofenbach - Be Mine,386,15,"","3,315,059",301
Tiësto & Ava Max - The Motto,830,2,(x3),"3,307,861","1,500"
The Weeknd - Can't Feel My Face,276,3,(x40),"3,300,554",0
AronChupa - I'm an Albatraoz,299,8,"","3,291,968",0
Loreen - Tattoo,460,1,(x5),"3,286,254","4,488"
Topic & A7S - Breaking Me,370,1,(x1),"3,272,586",0
Billie Eilish - everything i wanted,401,2,(x8),"3,268,977",49
Jawsh 685 x Jason Derulo - Savage Love,538,1,(x43),"3,262,284",0
Camila Cabello - Bam Bam,300,1,(x6),"3,249,602",0
Clean Bandit - Solo,256,1,(x45),"3,241,252",0
Farruko - Pepas,468,6,"","3,209,806",0
Justin Timberlake - Mirrors,217,3,(x1),"3,194,608",0
The Weeknd - Earned It,241,5,"","3,178,237",0
Katy Perry - Chained To the Rhythm,246,2,(x35),"3,174,013",0
Tom Walker - Leave a Light On,471,6,"","3,161,813",0
Jason Derülo - Want to Want Me,284,3,(x8),"3,144,936",39
