"","",Video,#,Highlights
107,-4,LOMIIEL - HAY LUPITA,6,"#22 Spain, #5 Honduras, #1 Nicaragua"
108,-22,"Tyla, Gunna, Skillibeng - Jump (Official Music Video)",9,"#3 South Africa, #18 Kenya, #27 Australia"
109,-3,"كليب أغنية "" إنتو حكايات "" - تحدي بين الصبيان والبنات جزء 2 - جديد 2024",4,"#6 Saudi Arabia, #1 Jordan, #5 Lebanon"
110,-3,Nordo - Hkayet (Official Music Video) | حكايات,3,"#30 Algeria, #14 Tunisia, #6 Libya"
111,-2,"TitoM, Yuppe and Burna Boy - Tshwala Bam Remix [Ft. S.N.E] (Official Video)",7,"#8 South Africa, #15 Kenya, #5 Nigeria"
112,-2,Oana Radu ❌ Leo De La Rosiori - Capu' Sus (Videoclip Oficial),3,"#3 Romania, #24 Belgium, #30 Ireland"
113,NEW,SEVENTEEN (세븐틴) 'Spell' Official MV,3,"#20 Philippines, #23 Singapore, #29 Norway"
114,=,SEVENTEEN (세븐틴) 'LALALI' Official MV,4,"#28 Philippines, #29 Hong Kong, #20 Singapore"
115,-2,Jhayco - Torii (Official Video),5,"#20 Spain, #28 El Salvador, #27 Nicaragua"
116,-68,RM 'Groin' Official MV,13,"#25 Jordan, #24 Lebanon, #23 El Salvador"
117,-6,Mujhe To Teri Lat Lag Gayee - Race 2 | Saif Ali Khan & Jacqueline | Benny Dayal & Shalmali | Pritam,3,"#28 Pakistan, #17 Nepal, #28 United Arab Emirates"
118,-3,Not Like Us,16,"#28 Australia, #18 Netherlands, #9 Georgia"
119,-3,Wael Kfoury - La Akher Dakka (Official Music Video 2024) | وائل كفوري - لآخر دقة,6,"#30 Israel, #10 Jordan, #12 Lebanon"
120,-3,Camilo - La Boda (Official Video),3,"#28 Colombia, #24 Costa Rica, #29 Panama"
121,-3,RELJA X NUCCI - OMB (OFFICIAL VIDEO),6,"#4 Serbia, #5 Bosnia and Herzegovina, #3 Croatia"
122,-3,HOODBLAQ x LUCIANO - BLAQ ON BLAQ,3,"#2 Germany, #10 Switzerland, #5 Austria"
