Artist and Title,Days,Pk,(x?),Total,Today
Fleetwood Mac - Dreams,300,30,"","1,494,283","1,137"
Internet Money & Gunna - Lemonade,149,3,(x13),"1,493,443",0
Bad Bunny - Tití Me Preguntó,390,32,"","1,487,205",752
Swedish House Mafia & The Weeknd - Moth To A Flame,199,8,"","1,486,718",0
Måneskin - ZITTI E BUONI,213,3,(x5),"1,480,450",0
Sia - Snowman,201,6,"","1,477,724",0
Fleetwood Mac - Go Your Own Way,424,47,"","1,475,394",679
Andy Williams - It's the Most Wonderful Time of the Year,199,4,"","1,474,814",0
"David Guetta, Anne-Marie & Coi Leray - Baby Don't Hurt Me",184,6,"","1,466,679",49
Clean Bandit - I Miss You,207,10,"","1,462,677",0
Баста - Сансара,267,116,"","1,462,632",0
Damso - Θ. Macarena,220,59,"","1,447,321",234
Band Aid - Do They Know It's Christmas,231,8,"","1,446,991",0
Ed Sheeran - Eyes Closed,169,2,(x13),"1,440,771",0
Ninho - Lettre à une femme,196,36,"","1,438,285",222
Selena Gomez - Back to You,176,8,"","1,433,333",0
twocolors - Lovefool,295,23,"","1,430,036",0
Justin Bieber - Holy,189,3,(x4),"1,429,042",0
Drake - One Dance,217,27,"","1,427,976",404
Y2K & bbno$ - Lalala,199,6,"","1,425,161",0
Rita Ora - Your Song,192,18,"","1,424,002",0
The Weeknd - Call Out My Name,126,1,(x3),"1,423,549",0
Minelli - Rampampam,407,28,"","1,418,500",0
Oliver Tree & Robin Schulz - Miss You,195,8,"","1,415,081",0
Clean Bandit - Symphony,202,13,"","1,409,045",0
Noah Kahan - Stick Season,228,13,"","1,406,067","4,236"
"Kendrick Lamar, SZA - All The Stars",158,4,"","1,404,090",56
CKay - love nwantiti,180,5,"","1,402,250",0
Kanye West & Lil Pump - I Love It,136,2,(x12),"1,400,661",0
Natasha Bedingfield - Unwritten,150,3,(x1),"1,400,202","4,135"
Pop Smoke - What You Know Bout Love,192,7,"","1,399,536",0
Nina Chuba - Wildberry Lillet,380,32,"","1,397,630",563
Скриптонит - Цепи,305,103,"","1,397,537",0
Adele - Someone Like You,222,32,"","1,394,148","1,245"
Bonez MC & Raf Camora - 500 PS,251,47,"","1,392,927",0
Lil Nas X - STAR WALKIN',254,15,"","1,390,739",0
Travis Scott - goosebumps,205,14,"","1,381,330",0
Justin Bieber - Yummy,119,2,(x9),"1,379,791",0
"Nathan Evans, 220 KID & Billen Ted - Wellerman",219,10,"","1,378,399",0
6ix9ine - FEFE,138,3,(x2),"1,377,471",0
Post Malone - Chemical,251,14,"","1,375,182",141
Ramil' - Сияй,293,67,"","1,374,055",133
Anne-Marie - 2002,203,18,"","1,362,327",0
PASHANIM - Sommergewitter,296,31,"","1,362,240",995
Eminem - Godzilla,133,2,(x6),"1,354,319",0
Антон Токарев - Седьмой лепесток,350,71,"","1,352,297",807
Zivert - Beverly Hills,198,77,"","1,350,113",836
Artik & Asti - Гармония,360,57,"","1,348,711",739
Justin Bieber & benny blanco - Lonely,176,3,(x2),"1,347,709",0
Lil Pump - Gucci Gang,149,7,"","1,346,388",0
Sam Smith - How Do You Sleep,172,9,"","1,346,225",0
Kodak Black - ZEZE,153,6,"","1,345,760",0
Sam Feldt - Post Malone,296,20,"","1,344,103",0
"David Guetta, Bebe Rexha & J Balvin - Say My Name",238,19,"","1,341,485",0
HammAli & Navai - Прятки,279,65,"","1,340,339",537
Duncan Laurence - Arcade,257,9,"","1,339,582",0
Miguel - Sure Thing,171,9,"","1,330,946",0
Pop Smoke - Dior,344,18,"","1,327,674",0
Macklemore & Ryan Lewis - Can't Hold Us,163,48,"","1,327,577",0
Doja Cat - Boss Bitch,163,11,"","1,324,645",0
Dua Lipa - Training Season,110,3,(x4),"1,323,886","7,549"
ROSALÍA - DESPECHÁ,341,19,"","1,321,316",0
Dua Lipa & Angèle - Fever,296,39,"","1,312,776",0
"Bruno Mars, Anderson .Paak & Silk Sonic - Leave The Door Open",203,8,"","1,312,048",0
"Ariana Grande - yes, and",121,1,(x23),"1,311,830",656
Harry Styles - Sign of the Times,187,26,"","1,311,583",69
Ed Sheeran - Perfect Duet,139,3,(x13),"1,311,027",0
Jason Derülo - Swalla,153,10,"","1,308,981",0
Artik & Asti - Грустный дэнс,371,73,"","1,308,710",0
Bruno Mars - Finesse,147,5,"","1,308,699",0
Zivert - Зелёные волны,152,106,"","1,308,606",762
Olivia Rodrigo - deja vu,150,6,"","1,307,566",73
Kygo & Selena Gomez - It Ain't Me,201,15,"","1,304,307",0
OneRepublic - Run,348,20,"","1,302,873",0
Bobby Helms - Jingle Bell Rock,195,6,"","1,296,618",0
Jax Jones & MNEK - Where Did You Go,232,14,"","1,293,000",0
Jason Derülo - Tip Toe,206,20,"","1,290,428",0
GAYAZOV$ BROTHER$ - МАЛИНОВАЯ ЛАДА,348,60,"","1,288,203",301
DJ Khaled - I'm the One,129,6,"","1,286,885",0
Bausa - Was Du Liebe nennst,233,41,"","1,286,613",0
Kendrick Lamar - HUMBLE.,265,23,"","1,284,653",218
Soolking & Gazo - Casanova,306,17,"","1,283,671",572
The Weeknd - In Your Eyes,207,3,(x1),"1,282,564",0
Leony - Remedy,361,32,"","1,275,350",0
Drake - Nonstop,159,2,(x1),"1,272,842",34
Harry Styles - Late Night Talking,189,2,(x11),"1,271,080",0
Robin Schulz - In Your Eyes,247,30,"","1,267,715",0
RAF Camora & Bonez MC - Blaues Licht,269,31,"","1,266,538",73
ROSALÍA & Rauw Alejandro - BESO,269,19,"","1,260,639",81
Ed Sheeran - Overpass Graffiti,195,6,"","1,260,157",0
"Galantis, David Guetta & Little Mix - Heartbreak Anthem",199,13,"","1,259,702",0
Gazo - FLEURS,350,45,"","1,256,973",290
Jason Derulo & Nuka - Love Not War,228,14,"","1,250,614",0
Libianca - People,228,15,"","1,250,306",0
Kygo - Stargazing,190,21,"","1,242,397",0
"Jungeli, Imen Es & Alonzo - Petit génie",306,26,"","1,240,571","2,668"
Miyagi & Andy Panda - Marmalade,356,58,"","1,239,935",247
