Artist and Title,Days,Pk,(x?),Total,Today
Gayle - abcdefu,317,2,(x14),"2,754,253",0
Ed Sheeran - Beautiful People,351,3,(x1),"2,754,110",0
Cardi B - WAP,285,1,(x62),"2,752,434",0
Drake - In My Feelings,247,1,(x60),"2,716,043",165
Pop Smoke - For the Night,396,6,"","2,714,311",0
Clean Bandit - Solo,263,2,(x6),"2,698,950",0
"Calvin Harris, Sam Smith - Promises",313,2,(x15),"2,688,364",0
Doja Cat - Paint The Town Red,280,1,(x74),"2,686,394",469
Olivia Rodrigo - vampire,341,1,(x22),"2,684,818","1,395"
Travis Scott - HIGHEST IN THE ROOM,493,2,(x13),"2,681,266",786
George Ezra - Shotgun,545,25,"","2,669,446",0
Topic & A7S - Breaking Me,510,10,"","2,641,843",0
XXXTENTACION - Sad,385,1,(x2),"2,626,532",0
Post Malone - Psycho,389,3,(x6),"2,589,147",0
Anne-Marie - 2002,617,15,"","2,583,640",0
J Balvin & Willy William - Mi Gente,312,7,"","2,576,058",31
Måneskin - Beggin,346,3,(x10),"2,532,115",0
Marshmello & Anne-Marie - FRIENDS,257,3,(x22),"2,518,597",0
5 Seconds of Summer - Youngblood,395,28,"","2,503,387",58
Billie Eilish - bury a friend,345,2,(x20),"2,482,089",0
Masked Wolf - Astronaut In the Ocean,342,4,"","2,474,018",0
Juice WRLD - Lucid Dreams,384,4,"","2,468,769",0
Farruko - Pepas,450,13,"","2,465,314",0
Dean Lewis - Be Alright,403,16,"","2,450,025",0
Ariana Grande & Justin Bieber - Stuck with U,403,1,(x1),"2,443,106",751
Maroon 5 - What Lovers Do,263,8,"","2,437,351",24
Dua Lipa - Physical,323,4,"","2,415,048",0
Loud Luxury - Body,569,29,"","2,401,667",0
Ed Sheeran - Galway Girl,371,17,"","2,398,938",0
Fleetwood Mac - Dreams,1027,22,"","2,398,680","1,381"
Rudimental - These Days,287,9,"","2,371,179",0
"Metro Boomin, The Weeknd & 21 Savage - Creepin'",289,4,"","2,350,415",71
Mabel - Don't Call Me Up,364,7,"","2,347,582",0
Coldplay - Viva La Vida,622,17,"","2,324,814","2,657"
Wham! - Last Christmas,310,2,(x22),"2,315,870",0
"Bruno Mars, Anderson .Paak & Silk Sonic - Leave The Door Open",354,3,(x21),"2,298,730",0
Sam Smith - Too Good at Goodbyes,228,3,(x9),"2,293,151",0
Chris Brown - No Guidance,375,8,"","2,280,637",185
Tate McRae - you broke me first,308,7,"","2,271,664",0
SZA - Snooze,543,15,"","2,270,106","3,389"
Dua Lipa - Break My Heart,297,3,(x1),"2,228,608",0
Arizona Zervas - Roxanne,269,8,"","2,219,100",0
Dennis Lloyd - Nevermind,361,17,"","2,200,095",0
Tiësto & Ava Max - The Motto,361,6,"","2,193,022",0
The Killers - Mr. Brightside,923,37,"","2,191,373","1,223"
BLACKPINK - How You Like That,478,7,"","2,180,393",28
Jonas Blue - Rise,299,7,"","2,179,188",0
YOASOBI - 夜に駆ける,1135,88,"","2,146,512",933
Panic! At the Disco - High Hopes,427,23,"","2,144,698",0
Shawn Mendes - There's Nothing Holdin' Me Back,345,9,"","2,140,091",0
Doja Cat - Woman,343,7,"","2,113,361",0
Post Malone - Goodbyes,247,4,"","2,110,928",0
Michael Bublé - It's Beginning To Look a Lot Like Christmas,276,2,(x4),"2,093,906",0
Daddy Yankee - Con Calma,358,12,"","2,090,333",0
Trevor Daniel - Falling,263,10,"","2,085,505",0
Billie Eilish - Happier Than Ever,324,3,(x5),"2,066,456",38
Taylor Swift - You Need To Calm Down,375,4,"","2,065,125","1,140"
David Guetta - 2U,217,3,(x11),"2,056,768",0
Khalid - Young Dumb & Broke,359,24,"","2,055,398",0
Bad Bunny - MIA,314,4,"","2,046,995",16
Olivia Rodrigo - deja vu,204,2,(x2),"2,046,821",155
Beyoncé - CUFF IT,356,3,(x6),"2,040,409",0
Ed Sheeran - Thinking Out Loud,500,50,"","2,034,669",53
Vance Joy - Riptide,807,48,"","2,031,895",917
Bruno Mars - That’s What I Like,415,25,"","2,020,169",0
Ed Sheeran - Castle on the Hill,336,32,"","2,013,903",194
Bad Bunny - Tití Me Preguntó,709,22,"","2,001,096","1,318"
Khalid - Talk,367,13,"","1,993,505",0
Drake - Nice For What,299,6,"","1,993,486",150
Dua Lipa - Dance The Night,328,1,(x19),"1,987,692",439
Doja Cat - Say So,278,7,"","1,978,311",0
RAYE & 070 Shake - Escapism.,331,4,"","1,975,057",232
The Weeknd - Die For You,399,12,"","1,952,180",296
Drake - Toosie Slide,176,1,(x1),"1,948,668",0
Bad Bunny & Tainy - Callaita,469,45,"","1,937,869",419
Drake - Nonstop,326,2,(x1),"1,927,655",639
Future - Life Is Good,256,4,"","1,923,515",0
Justin Bieber - Holy,260,2,(x13),"1,917,865",0
Justin Bieber & BloodPop® - Friends,226,2,(x7),"1,908,378",0
Meek Mill - Going Bad,267,9,"","1,905,539",0
DJ Khaled - I'm the One,249,5,"","1,891,227",0
あいみょん - マリーゴールド,551,139,"","1,889,103",717
Lizzo - About Damn Time,350,3,(x13),"1,886,366",0
Dave & Central Cee - Sprinter,275,2,(x20),"1,880,353",461
Ed Sheeran - South of the Border,285,5,"","1,879,609",0
