Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE
148,-12,Baby Melo - Who Realer,5,134,"",1544,-115,0.008,"","","",""
149,=,IU - The Winning - EP,106,17,"",1537,-25,0.375,"","","",""
150,+18,KAROL G - MAÑANA SERÁ BONITO,480,13,"",1526,+125,1.789,187,"","",""
151,+7,宇多田光 - SCIENCE FICTION,22,88,"",1525,+57,0.042,"","",8,""
152,+13,Sleep Token - Take Me Back To Eden,219,16,"",1523,+106,0.682,83,87,"",145
153,-15,Angelina Mango - poké melodrama,5,134,"",1522,-130,0.008,"","","",""
154,-14,The Weeknd - Starboy,2523,7,"",1521,-108,12.033,193,"","",""
155,-18,CANEY030 - BUTTERFLY,5,131,"",1511,-147,0.008,"","","",12
156,-35,Luke Combs - Gettin' Old,464,21,"",1510,-405,1.434,67,130,"",""
157,-5,Verschiedene Interpreten - Die 30 besten Schlaflieder für Kinder,834,103,"",1490,-7,1.980,"","","",14
158,-5,Nathy Peluso - GRASA,12,88,"",1483,-12,0.025,"","","",""
159,-12,JONY - Epic - EP,4,147,"",1482,-98,0.007,"","","",""
160,+32,Meghan Trainor - Timeless,6,154,"",1432,+228,0.014,159,72,"",179
161,+8,Frank Ocean - Channel ORANGE,268,29,"",1426,+26,1.700,109,129,"",""
162,-1,Roy Bianco & Die Abbrunzati Boys - Kult,5,160,"",1422,-33,0.018,"","","",7
163,+3,King & Prince - Mr.5,13,140,"",1414,0,0.019,"","",4,""
164,-7,SANTA - RECOMMENCE-MOI,12,119,"",1414,-63,0.020,"","","",""
165,-2,Oasis - Definitely Maybe,9,130,"",1402,-19,0.241,"",14,"",""
166,+31,Don Toliver - Hardstone Psycho,13,33,"",1402,+216,0.039,55,"","",122
167,+5,Kendrick Lamar - To Pimp a Butterfly,69,31,"",1387,+19,0.647,106,133,"",""
168,+3,JO1 - HITCHHIKER,10,162,"",1386,0,0.023,"","",5,""
169,-30,Richard Hawley - In This City They Call You Love,5,116,"",1373,-273,0.008,"",44,"",""
170,+7,Rain Sounds - Soothing Rain Sounds,93,128,"",1367,+64,1.005,69,90,"",""
171,-4,"Schlafmusik, Entspannungsmusik Oase & Regengeräusche - Regengeräusche",174,111,"",1362,-42,0.841,"","","",16
172,+19,Rammstein - RAMMSTEIN,1111,5,"",1362,+144,3.826,"","","",55
173,-17,The Weeknd - After Hours,1567,1,(x11),1355,-129,13.222,"","","",""
174,+4,FRIENDLY THUG 52 NGG - Cristoforo Colombo,210,57,"",1344,+42,0.342,"","","",""
175,-29,Willie Nelson - The Border,5,106,"",1340,-241,0.008,"","","",81
176,+7,"Drake - Honestly, Nevermind",525,1,(x13),1334,+59,4.011,130,138,"",191
177,-3,King & Prince - halfmoon / moooove,13,155,"",1333,0,0.018,"","",7,""
178,-8,Peso Pluma - GÉNESIS,347,45,"",1312,-87,0.889,81,"","",""
179,-3,MO3 - Legend,4,173,"",1307,0,0.006,8,"","",""
180,-1,Lana Del Rey - Did you know that there's a tunnel under Ocean Blvd,427,1,(x10),1306,+21,2.496,"",172,"",""
181,+9,Feid - FERXXOCALIPSIS,186,28,"",1294,+67,0.452,140,"","",""
182,-1,Tedua - La Divina Commedia,42,129,"",1289,+11,0.353,"","","",""
183,-8,Fuerza Regida - Pa las Baby's Y Belikeada,229,54,"",1284,-24,0.476,85,"","",""
184,-2,Timal - Darvaza - EP,19,107,"",1280,+3,0.032,"","","",""
185,+14,Camilo - cuatro,10,135,"",1260,+75,0.017,"","","",""
186,-6,SEVENTEEN - SEVENTEEN BEST ALBUM ‘17 IS RIGHT HERE’,36,149,"",1257,-25,0.053,"","",10,""
187,+29,Drake - Take Care,1117,33,"",1251,+139,3.115,65,136,"",""
188,+7,Vacra - Pygmalion,16,118,"",1216,+21,0.028,"","","",""
189,-3,Laufey - Bewitched,103,19,"",1215,-41,0.425,"","","",""
190,+24,Tainy - DATA,330,23,"",1215,+90,0.718,"","","",""
191,-37,Julia Michaels & Wish - Cast - Wish,183,21,"",1212,-279,0.642,"",64,130,128
192,-7,THE YELLOW MONKEY - Sparkle X,7,175,"",1209,-48,0.024,"","",12,""
193,+24,Ultimo - ALTROVE,15,125,"",1200,+90,0.027,"","","",""
194,+14,Bad Bunny - YHLQMDLG,1522,10,"",1191,+37,3.944,"","","",""
195,-6,legallyrxx - EL NIÑO DE LOS CORAZONES,5,156,"",1187,-55,0.008,"","","",""
196,-8,Rain Sounds - To Fall Asleep To,116,159,"",1186,-60,0.634,"",13,"",""
197,+6,Miyagi & Эндшпиль - NARRATIVE,140,30,"",1183,+19,0.268,"","","",""
198,+13,HARDY - Quit,2,173,"",1182,+45,0.013,43,"","",""
199,-39,"Lin-Manuel Miranda, Germaine Franco & Encanto - Cast - Encanto",769,2,(x4),1182,-283,2.811,132,71,"",171
200,-6,Capo Plaza - FERITE,30,89,"",1180,-16,0.051,"","","",""
