Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Logic - Everybody,50,"",63,"","1,136,878","30,540,399"
BoyWithUke - IDGAF,34,"",58,"","1,202,503","30,503,365"
MAX - Lights Down Low,63,"",155,"","539,289","30,496,406"
Drake - N 2 Deep,15,1,10,"","7,137,973","30,438,924"
Doja Cat - Attention,18,"",13,"","2,869,178","30,425,154"
Slade - Merry Xmas Everybody,21,"",67,"","2,618,938","30,359,870"
Daft Punk - Get Lucky,108,"",64,"","1,871,712","30,320,217"
Taylor Swift - illicit affairs,21,"",13,"","4,278,116","30,311,105"
Eminem - Houdini,4,4,2,(x1),"8,467,334","30,298,134"
Elvis Presley - Here Comes Santa Claus (Right Down Santa Claus Lane),17,"",54,"","3,449,686","30,283,777"
Camila Cabello - Shameless,30,"",47,"","1,737,441","30,269,527"
Lil Tjay - Run It Up,37,"",68,"","1,262,459","30,266,135"
J. Cole - Immortal,35,1,10,"","2,560,489","30,202,141"
Migos - Notice Me,42,"",54,"","1,491,083","30,193,632"
Paul McCartney - Wonderful Christmastime - Remastered 2011 / Edited Version,36,"",16,"","2,524,822","30,189,185"
Taylor Swift - ‘tis the damn season,18,1,6,"","5,080,811","30,159,089"
Why Don't We - 8 Letters,43,"",110,"","819,559","30,143,110"
DaBaby - Red Light Green Light,36,"",109,"","1,090,473","30,130,300"
Kendrick Lamar - Silent Hill,17,"",12,"","5,327,489","30,106,392"
Taylor Swift - New Romantics (Taylor's Version),13,"",15,"","7,036,636","30,088,436"
Ariana Grande - sweetener,30,"",16,"","2,624,137","30,058,194"
BTS - Blue & Grey,19,1,9,"","4,522,564","30,040,903"
Arizona Zervas - FML,34,"",104,"","969,319","30,033,155"
Beyoncé - Drunk in Love,159,"",95,"","292,603","30,029,871"
Boza - Ella - Remix,38,"",160,"","872,735","29,994,734"
Lil Uzi Vert - Lo Mein,23,"",11,"","3,832,346","29,973,164"
Michael Bublé - Have Yourself a Merry Little Christmas,54,"",27,"","1,812,348","29,972,853"
G-Eazy - I Mean It,120,"",145,"","294,157","29,924,051"
Rae Sremmurd - Come Get Her,110,"",96,"","366,184","29,921,087"
Ariana Grande - i wish i hated you,14,"",24,"","3,512,818","29,867,389"
Bobby Shmurda - Hot N*gga,118,"",60,"","729,088","29,754,801"
"Panic! At The Disco - Hey Look Ma, I Made It",40,"",98,"","942,366","29,740,973"
The Chainsmokers - Family,34,"",77,"","1,225,602","29,693,046"
"Geolier - I P’ ME, TU P’ TE",16,"",40,"","2,281,842","29,684,504"
SALES - Pope Is a Rockstar,30,"",76,"","1,290,732","29,672,926"
Bad Bunny - 25/8,26,"",43,"","2,194,310","29,651,859"
Kwabs - Walk,150,"",106,"","285,263","29,651,853"
The Academy: Segunda Misión - LA RANGER,21,"",94,"","1,695,373","29,651,718"
Otto Knows - Next to Me,94,"",54,"","533,675","29,625,299"
Beyoncé - AMERICA HAS A PROBLEM,20,"",43,"","2,021,444","29,541,988"
Bea Miller - feel something,37,"",108,"","884,120","29,405,741"
ROSÉ - Gone,25,"",11,"","2,945,783","29,402,596"
Selena Gomez - Boyfriend,28,"",34,"","1,717,516","29,388,660"
Kygo - Not Ok,35,"",44,"","1,662,548","29,377,996"
DJ Khaled - Just Us,32,"",57,"","1,429,965","29,356,244"
Kanye West - Champions,71,"",106,"","471,819","29,343,865"
Eminem - Rap God,107,"",164,"","487,012","29,333,093"
A Boogie Wit da Hoodie - Numbers,28,"",46,"","1,855,613","29,298,333"
OneRepublic - Kids,73,"",69,"","706,984","29,264,128"
American Authors - Best Day Of My Life,148,"",33,"","466,002","29,235,706"
Headie One - Only You Freestyle,30,"",38,"","1,756,003","29,224,111"
Matheus Fernandes - Balanço da Rede,33,"",98,"","1,140,287","29,210,492"
Why Don't We - I Don't Belong In This Club,39,"",102,"","903,557","29,194,083"
Bad Bunny - BAD CON NICKY,31,"",20,"","2,506,957","29,176,228"
The Weeknd - True Colors,43,"",29,"","1,397,127","29,167,763"
Dominic Fike - Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition),24,"",134,"","1,315,378","29,077,728"
