Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
53,-14,Taylor Swift - Down Bad,6,2,(x1),"15,480,762","-3,269,880","184,367,907"
54,+8,Tom Odell - Another Love,164,15,"","15,151,478","+938,538","1,988,829,251"
55,+1,Miley Cyrus - Flowers,72,1,(x12),"14,932,264","-87,940","1,984,437,128"
56,-31,Billie Eilish - BITTERSUITE,2,25,"","14,421,335","-10,211,334","39,054,004"
57,-7,Taylor Swift - Guilty as Sin?,6,14,"","14,033,552","-2,140,166","139,909,485"
58,+8,Jung Kook - Seven (w/ Latto),46,1,(x9),"13,887,642","+62,885","1,449,708,778"
59,+4,SZA - Snooze,75,27,"","13,886,601","-297,922","965,455,826"
60,=,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),40,20,"","13,800,316","-563,642","601,914,130"
61,-2,Future - Type Shit (w/ Metro Boomin),10,11,"","13,784,631","-602,882","178,955,437"
62,+6,Tyla - Water,36,12,"","13,732,190","+71,072","631,445,235"
63,+2,The Weeknd - Starboy (w/ Daft Punk),205,1,(x6),"13,708,239","-123,742","2,469,723,777"
64,NEW,RM - LOST!,1,64,"","13,610,233","","13,610,233"
65,+11,Jimin - Like Crazy,62,15,"","13,607,051","+635,981","867,547,087"
66,-8,Beyoncé - TEXAS HOLD 'EM,16,2,(x2),"13,599,469","-930,696","400,645,602"
67,=,Michael Marcagi - Scared To Start,17,25,"","13,472,306","-324,375","239,566,523"
68,+6,Richy Mitch & The Coal Miners - Evergreen,20,40,"","13,395,968","+297,002","243,217,289"
69,-18,Taylor Swift - Who’s Afraid of Little Old Me?,6,12,"","13,390,400","-2,697,759","144,200,901"
70,-17,Myke Towers - ADIVINO (w/ Bad Bunny),5,20,"","13,377,111","-1,979,662","92,489,725"
71,-7,SZA - Kill Bill,77,1,(x2),"13,242,934","-596,722","1,821,234,473"
72,-1,Sabrina Carpenter - Feather,26,34,"","13,028,905","-333,651","345,810,076"
73,-19,Lay Bankz - Tell Ur Girlfriend,7,23,"","12,865,170","-2,304,553","129,723,970"
74,+10,Manuel Turizo - La Bachata,100,4,"","12,580,966","+489,055","1,670,593,237"
75,+3,Natasha Bedingfield - Unwritten,20,16,"","12,533,161","-225,751","334,616,466"
76,-7,"¥$ - CARNIVAL (w/ Kanye West, Ty Dolla $ign)",16,2,(x1),"12,415,295","-1,093,960","440,692,625"
77,=,Ariana Grande - intro (end of the world),12,25,"","12,400,419","-440,433","184,361,728"
78,+5,Lewis Capaldi - Someone You Loved,281,4,"","12,333,245","+205,780","3,326,304,689"
79,+1,One Direction - Night Changes,111,25,"","12,318,257","-95,332","760,211,456"
80,+9,The Weeknd - Blinding Lights,235,1,(x13),"12,289,188","+409,065","4,189,987,157"
81,-20,"Taylor Swift - So Long, London",6,4,"","12,134,432","-2,208,157","155,452,725"
82,+6,David Guetta - I Don't Wanna Wait (w/ OneRepublic),7,82,"","11,979,600","+87,033","77,965,524"
83,+18,Linkin Park - In the End,47,22,"","11,920,373","+513,962","386,010,555"
