Artist and Title,Days,Pk,(x?),Total,Today
Metro Boomin - HEROES & VILLAINS,545,1,(x46),"5,907,250","1,671"
PNL - Deux frères,1787,8,"","5,872,377","1,450"
Post Malone - Stoney,737,6,"","5,779,497",0
Taylor Swift - 1989,613,1,(x26),"5,752,911","10,431"
ABBA - ABBA Gold: Greatest Hits,1069,10,"","5,705,045","5,172"
Doja Cat - Planet Her,437,1,(x6),"5,691,040",71
"Benny Andersson, Björn Ulvaeus, Meryl Streep & Amanda Seyfried - Mamma Mia",1245,6,"","5,539,028","5,672"
Post Malone - Hollywood's Bleeding,683,1,(x50),"5,535,118",0
Frank Ocean - Blonde,1953,7,"","5,529,146","6,936"
Ninho - Destin,1783,22,"","5,509,646","1,493"
Various Artists - The Greatest Showman,947,13,"","5,344,149",0
Ed Sheeran - No.6 Collaborations Project,480,1,(x44),"5,306,825",0
Ariana Grande - Sweetener,509,1,(x14),"5,122,183",0
Travis Scott - UTOPIA,313,1,(x42),"5,020,990","10,006"
Queen - Bohemian Rhapsody,471,1,(x6),"4,906,306",0
Ariana Grande - Positions,454,1,(x46),"4,871,156",0
Damso - Ipséité,1343,36,"","4,853,795","1,077"
Ed Sheeran - =,430,1,(x5),"4,801,090",93
Drake - Certified Lover Boy,503,1,(x37),"4,748,368",96
Adele - 30,602,1,(x43),"4,729,330",180
Lewis Capaldi - Divinely Uninspired to a Hellish Extent,791,7,"","4,634,741",0
"Benj Pasek & Justin Paul, Hugh Jackman - The Greatest Showman",673,2,(x1),"4,517,963","4,940"
Adele - 21,1208,12,"","4,491,242","1,907"
Adele - 25,909,11,"","4,422,174",282
Lady Gaga - Chromatica,505,1,(x35),"4,379,302",549
Ninho - M.I.L.S 3,1171,22,"","4,346,776",764
Justin Bieber - Justice,407,1,(x37),"4,341,023",0
Rammstein - Zeit,686,2,(x7),"4,333,651","2,285"
SZA - SOS,546,1,(x6),"4,301,899","3,506"
"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya - The Greatest Showman",690,10,"","4,124,010",0
Bad Bunny - Un Verano Sin Ti,673,3,(x3),"4,116,762","2,450"
Ninho - M.I.L.S 2.0,1229,30,"","4,103,255",780
Khalid - American Teen,791,13,"","4,099,693",0
Verschiedene Interpreten - Die 30 besten Schlaflieder für Kinder,1306,41,"","4,038,634","3,423"
Kanye West - Donda,333,1,(x12),"4,038,299",10
Shawn Mendes - Shawn Mendes,474,2,(x9),"4,015,086",0
Ninho - Comme prévu,1321,34,"","4,009,071",569
Pop Smoke - Meet The Woo 2,649,4,"","4,005,470",0
Kendrick Lamar - Mr. Morale & The Big Steppers,495,1,(x7),"3,951,069","1,931"
Drake - More Life,537,7,"","3,948,157",0
Eminem - Kamikaze,429,1,(x28),"3,901,496",165
Queen - Greatest Hits,748,16,"","3,898,270",193
"Drake - Honestly, Nevermind",479,1,(x38),"3,859,368",957
"Lil Peep - Come Over When You're Sober, Pt. 1",733,1,(x5),"3,857,262",0
Pink Floyd - The Dark Side of the Moon,620,5,"","3,847,949","3,286"
Olivia Rodrigo - GUTS,271,1,(x21),"3,674,669","11,398"
"Lin-Manuel Miranda, Germaine Franco & Encanto - Cast - Encanto",781,3,(x10),"3,576,476","1,153"
Juice WRLD - Goodbye & Good Riddance,661,2,(x1),"3,459,033",0
PNL - Le monde Chico,853,58,"","3,413,727",385
Kanye West - The Life of Pablo,725,20,"","3,412,433",141
Nekfeu - Les étoiles vagabondes : expansion,887,30,"","3,377,362",561
Lana Del Rey - Lust for Life,366,1,(x23),"3,351,489",172
Labrinth - Euphoria,485,2,(x21),"3,347,160",0
Migos - Culture II,364,1,(x7),"3,325,928",0
Travis Scott - Birds in the Trap Sing McKnight,777,13,"","3,284,660",107
Måneskin - RUSH,500,1,(x7),"3,284,083","1,145"
Drake & 21 Savage - Her Loss,360,1,(x17),"3,241,472",128
"Детские сны Звезда Academy - Детские сны - Музыка для малышей и детей, колыбельные музыка, успокаивающие звуки для глубокого расслабления и сна",1275,105,"","3,226,039","1,865"
"The Weeknd - My Dear Melancholy,",351,1,(x15),"3,225,177",12
Måneskin - Teatro d'Ira - Vol. I,402,2,(x7),"3,199,708",208
Miley Cyrus - Plastic Hearts,366,1,(x3),"3,198,189",0
George Ezra - Staying at Tamara's,585,6,"","3,189,061",0
Скриптонит - Праздник на улице 36,1012,99,"","3,180,478",0
JACKBOYS & Travis Scott - JACKBOYS,346,1,(x21),"3,165,300",22
P!nk - Beautiful Trauma,402,1,(x15),"3,148,154",0
Kanye West - Graduation,582,16,"","3,124,204","3,091"
Fleetwood Mac - Rumours,713,11,"","3,105,483","2,223"
Ninho - Jefe,909,14,"","3,094,179","1,595"
Doja Cat - Hot Pink,511,6,"","3,070,749",0
Harry Styles - Harry Styles,636,12,"","3,066,311",0
Imagine Dragons - Origins,384,1,(x9),"3,060,074",0
Oxxxymiron - ГОРГОРОД,578,81,"","3,044,529","1,080"
Taylor Swift - Red,572,1,(x7),"3,036,484","1,606"
Miley Cyrus - Endless Summer Vacation,342,1,(x19),"3,029,296",53
Machine Gun Kelly - Tickets To My Downfall,544,1,(x6),"3,008,961",0
Sfera Ebbasta - Sfera Ebbasta,606,103,"","2,993,108",788
Miyagi & Andy Panda - YAMAKASI,1122,22,"","2,962,575","1,025"
Cast Of “Mamma Mia! Here We Go Again” - Mamma Mia Here We Go Again,578,4,"","2,959,369",0
Aya Nakamura - NAKAMURA,555,21,"","2,954,416",0
twenty one pilots - Trench,433,1,(x6),"2,924,366",0
Ed Sheeran - x,586,19,"","2,903,954",0
"Tyler, The Creator - IGOR",462,1,(x2),"2,896,310",707
Sfera Ebbasta - Rockstar,549,18,"","2,891,753",916
Sam Smith - The Thrill of It All,309,1,(x21),"2,886,854",0
Justin Bieber - Changes,327,1,(x24),"2,853,050",0
A$AP Rocky - TESTING,474,1,(x7),"2,836,057",0
Sia - Everyday Is Christmas,322,2,(x1),"2,818,731",0
ABBA - Gold: Greatest Hits,636,11,"","2,817,546",0
"Kendrick Lamar, The Weeknd, SZA - Black Panther The Album Music From And Inspired By",235,1,(x33),"2,815,818",0
Скриптонит - Уроборос: Улица 36,833,85,"","2,815,456",0
Cardi B - Invasion of Privacy,334,1,(x6),"2,777,769",0
Lana Del Rey - Norman F*****g Rockwell,272,1,(x7),"2,751,139",0
Dadju - Gentleman 2.0,535,22,"","2,748,080",368
"Lorne Balfe, Harold Faltermeyer, Lady Gaga & Hans Zimmer - Top Gun: Maverick",386,5,"","2,742,294",883
Eminem - Curtain Call: The Hits,707,24,"","2,738,939","1,045"
Marracash - Persona,1039,46,"","2,732,364","1,129"
Coldplay - Music of the Spheres,409,5,"","2,730,623",146
Eminem - The Eminem Show,644,8,"","2,710,040","3,909"
Скриптонит - Дом с нормальными явлениями,595,119,"","2,699,072",0
Kinder Lieder - Die 30 schönsten Kinderlieder - Teil 1,943,72,"","2,640,321","1,863"
Bonez MC & Raf Camora - Palmen aus Plastik 2,674,27,"","2,638,473",0
Coldplay - A Head Full of Dreams,485,10,"","2,608,784",309
Drake - Dark Lane Demo Tapes,313,1,(x15),"2,597,067",0
Lana Del Rey - Norman Fucking Rockwell,705,24,"","2,586,309","3,782"
"Simone Sommerland, Karsten Glück & Die Kita-Frösche - Die 30 besten Spiel- und Bewegungslieder",875,85,"","2,579,439","1,923"
Eminem - Music To Be Murdered By,299,1,(x23),"2,563,077",0
Miyagi - Buster Keaton,858,55,"","2,551,726",268
Damso - Lithopédion,414,26,"","2,534,618",97
Lin-Manuel Miranda - Hamilton: An American Musical,560,10,"","2,525,251",0
Roddy Ricch - Please Excuse Me For Being Antisocial,265,4,"","2,518,274",0
Taylor Swift - Taylor Swift Karaoke: 1989,668,3,(x1),"2,501,748",0
6ix9ine - DUMMY BOY,261,1,(x15),"2,498,698",0
"Lin-Manuel Miranda, Germaine Franco, Stephanie Beatriz, Olga Merediz & Jessica Darrow - Encanto",328,4,"","2,493,142",0
Tiakola - Mélo,594,18,"","2,486,012",905
Dadju - Poison ou antidote,780,23,"","2,473,811",188
Angèle - Brol,554,31,"","2,472,980",0
Nirvana - Nevermind,407,13,"","2,449,131","3,102"
Juice WRLD - Legends Never Die,369,1,(x11),"2,441,125",0
Maes - Les derniers salopards,611,17,"","2,439,609",202
Nicki Minaj - Queen,289,1,(x3),"2,429,301",0
Camila Cabello - Camila,291,1,(x14),"2,419,377",0
Shindy - Drama,617,28,"","2,414,206",0
Stromae - Multitude,395,1,(x11),"2,403,004",0
P!nk - TRUSTFALL,360,1,(x7),"2,374,002",972
Apache 207 - Platte,475,25,"","2,350,567",561
Dave - Psychodrama,669,15,"","2,338,319",125
6ix9ine - DAY69: Graduation Day,262,8,"","2,337,860",0
Eminem - Revival,229,1,(x20),"2,312,775",0
Taylor Swift - Speak Now,325,1,(x13),"2,305,989","1,251"
SDM - OCHO,655,23,"","2,283,124",296
Big Baby Tape & kizaru - BANDANA I,797,31,"","2,281,838","1,581"
Booba - Trône,494,17,"","2,274,212",129
"21 Savage, Offset & Metro Boomin - Without Warning",198,1,(x4),"2,269,992",29
Capital Bra - Berlin lebt,562,35,"","2,251,372",0
Playboi Carti - Whole Lotta Red,379,1,(x5),"2,248,762",97
Lorde - Melodrama,297,3,(x4),"2,246,483",0
Orelsan - Civilisation,586,25,"","2,241,634",327
SZA - Ctrl,430,6,"","2,235,713",98
twenty one pilots - Blurryface,539,32,"","2,232,273",111
Djadja & Dinaz - Spleen,668,24,"","2,218,540",280
MAC MILLER - Swimming,290,3,(x2),"2,212,322",15
"Burna Boy - Love, Damini",341,3,(x5),"2,203,573",0
Niska - Commando,399,18,"","2,196,451",0
Ultimo - Peter Pan,795,89,"","2,191,768",232
"Arctic Monkeys - Whatever People Say I Am, That's What I'm Not",160,87,"","2,184,550",416
Maître Gims - Ceinture noire,503,16,"","2,182,223",0
MagicMotion - Sleep Baby - White & Pink Noise,735,89,"","2,177,958",951
Lana Del Rey - Did you know that there's a tunnel under Ocean Blvd,324,1,(x9),"2,176,987","1,281"
Burna Boy - African Giant,411,7,"","2,164,675",0
Damso - QALF infinity,625,14,"","2,146,653",773
Coldplay - Everyday Life,227,1,(x14),"2,142,749",0
Gazo - KMT,559,16,"","2,133,057",782
Verschiedene Interpreten - The Greatest Showman,683,31,"","2,116,327",0
Capo Plaza - 20,452,49,"","2,112,789",608
Lil Nas X - MONTERO,230,1,(x9),"2,112,541",0
JAY-Z - 4:44,277,1,(x14),"2,101,094",0
187 Strassenbande - Sampler 4,536,35,"","2,097,867",0
A Boogie wit da Hoodie - Hoodie SZN,257,8,"","2,093,543",0
Capital Bra - BLYAT,571,28,"","2,092,699",0
Bob Marley & The Wailers - Legend: The Best of Bob Marley and the Wailers,512,12,"","2,087,000",0
Ariana Grande - Dangerous Woman,512,30,"","2,082,119",0
Various Artists - Barbie The Album,209,1,(x8),"2,079,974",581
Bruno Mars - 24K Magic,402,8,"","2,075,293",0
Geolier - Emanuele,509,80,"","2,073,543",704
LINKIN PARK - One More Light,233,2,(x7),"2,071,639",16
Pink Floyd - The Wall,162,26,"","2,065,502",380
Pharaoh - Pink Phloyd,440,63,"","2,063,120",225
Taylor Swift - Fearless,419,1,(x3),"2,054,820","1,823"
Chris Brown - 11:11,208,2,(x3),"2,047,643","5,117"
Oxxxymiron - Красота и Уродство,749,20,"","2,020,377","1,178"
Sfera Ebbasta - Famoso,601,13,"","2,017,964",236
Niska - Le monde est méchant,558,17,"","2,011,962",108
"Lin-Manuel Miranda, Opetaia Foa'i, Mark Mancina & Auli'i Cravalho - Moana",719,109,"","2,011,868","1,504"
Kanye West - JESUS IS KING,199,1,(x27),"2,007,501",0
Juice WRLD - Death Race for Love,241,2,(x5),"2,000,006",0
Post Malone - AUSTIN,245,2,(x3),"1,999,474",389
Khalid - Free Spirit,235,2,(x7),"1,988,506",0
Ultimo - Pianeti,691,112,"","1,978,549",498
Artik & Asti - 7,550,36,"","1,972,895",239
"Kendrick Lamar - good kid, m.A.A.d city",257,16,"","1,961,316","3,761"
G-Eazy - The Beautiful & Damned,213,2,(x2),"1,929,248",0
Rihanna - ANTI,331,8,"","1,927,993",61
Kanye West - My Beautiful Dark Twisted Fantasy,317,35,"","1,926,221","2,489"
Kanye West - ye,173,1,(x9),"1,923,710",32
Rammstein - Mutter,337,69,"","1,919,958","2,389"
Calvin Harris - Funk Wav Bounces Vol. 1,161,1,(x6),"1,913,473",0
RIN - EROS,459,37,"","1,905,715",0
Dave - We're All Alone In This Together,351,4,"","1,900,620",132
SCH - JVLIVS II,530,17,"","1,898,032",489
"Tyler, the Creator - Flower Boy",226,3,(x6),"1,893,069",0
Raf Camora - Anthrazit,384,33,"","1,889,872",0
Måneskin - Il ballo della vita,334,7,"","1,881,758",22
LINKIN PARK - Hybrid Theory,198,7,"","1,863,436","1,182"
белый шум для детей - Белые шумы для сна детей - EP,778,73,"","1,855,314",0
Bad Bunny - YHLQMDLG,182,8,"","1,849,491",277
Metallica - Metallica,95,13,"","1,844,269","1,747"
Metallica - 72 Seasons,215,1,(x9),"1,841,178","1,569"
Stormzy - Heavy Is the Head,326,2,(x5),"1,837,709",0
Apache 207 - Treppenhaus,433,22,"","1,827,624",350
Capital Bra & Samra - Berlin lebt 2,428,23,"","1,824,870",0
Summer Walker - Over It,323,5,"","1,816,608",0
Sido - Ich & keine Maske,440,28,"","1,803,037",0
"Bruno Mars, Anderson .Paak & Silk Sonic - An Evening With Silk Sonic",232,3,(x11),"1,801,992",73
Jul - My World,29,135,"","1,789,128","1,196"
Polo G - THE GOAT,389,4,"","1,785,643",0
ЛСП - Tragic City,367,86,"","1,781,082",516
Various Artists - Christmas Hits,321,6,"","1,777,873",0
Salmo - Playlist,428,56,"","1,777,347",97
Nekfeu - Cyborg,270,89,"","1,767,819",135
Pop Smoke - Faith,156,1,(x14),"1,764,952",0
Imagine Dragons - Mercury - Acts 1 & 2,298,3,(x7),"1,755,366",50
Gazo - DRILL FR,438,17,"","1,751,987",96
Ozuna - Aura,376,12,"","1,745,592",0
Bonez MC & Raf Camora - Palmen aus Plastik - Winteredition,546,48,"","1,741,283",0
"MiyaGi & Эндшпиль - Hajime, Pt. 3",195,55,"","1,741,254",251
Azet - Fast Life,399,27,"","1,740,394",0
The Kid LAROI - F*CK LOVE,281,6,"","1,740,382",0
Lazza - SIRIO,732,52,"","1,740,311","1,173"
"Djadja & Dinaz - Drôle de mentalité, Pt. 1 & 2",247,32,"","1,736,367",0
Gunna - WUNNA,136,1,(x7),"1,735,809",0
"¥$, Kanye West & Ty Dolla $ign - VULTURES 1",109,1,(x33),"1,735,424","5,022"
Post Malone - Twelve Carat Toothache,221,1,(x2),"1,732,589",0
La superstar des comptines rondes et berceuses - Comptines et chansons pour enfants,357,78,"","1,730,538","1,643"
Big Baby Tape - Dragonborn,308,64,"","1,727,016",0
U2 - Songs of Experience,260,1,(x2),"1,725,682",0
Tedua - Orange County California,205,126,"","1,717,178",463
Drake - For All The Dogs Scary Hours Edition,174,1,(x8),"1,717,057",760
LINKIN PARK - Meteora,157,9,"","1,716,697","1,394"
"Marracash - NOI, LORO, GLI ALTRI",621,45,"","1,711,772","1,087"
Migos - Culture,267,12,"","1,702,250",0
Jorja Smith - Lost & Found,310,5,"","1,700,705",0
Justin Timberlake - Man of the Woods,198,1,(x7),"1,700,039",0
Tate McRae - THINK LATER,179,2,(x9),"1,698,502","2,047"
Ed Sheeran - -,184,1,(x15),"1,697,815",0
Bob Marley & The Wailers - Legend,475,27,"","1,694,750",0
Coez - Faccio un casino,460,91,"","1,692,408",0
Lewis Capaldi - Broken By Desire To Be Heavenly Sent,249,1,(x2),"1,674,333",190
Gerry Cinnamon - Erratic Cinematic,490,109,"","1,663,745",0
Ozuna - Odisea,423,54,"","1,659,211",0
Ariana Grande - eternal sunshine,89,1,(x1),"1,654,735","14,099"
Maes - Pure,397,34,"","1,650,570",127
"Lin-Manuel Miranda, Leslie Odom, Jr., Phillipa Soo, Daveed Diggs & Christopher Jackson - Hamilton: An American Musical",670,37,"","1,650,047","1,684"
Скриптонит - 2004,475,69,"","1,648,509",0
Raf Camora - Anthrazit RR,271,28,"","1,648,361",0
DaBaby - KIRK,187,2,(x7),"1,647,918",0
"Макс Корж - Малый повзрослел, Ч. 2",636,90,"","1,640,866",0
J. Cole - The Off-Season,197,1,(x7),"1,627,394",0
Capo - Alles auf Rot,400,34,"","1,621,960",0
Original Broadway Cast of Hamilton - Hamilton,661,65,"","1,621,477",0
Gzuz - Wolke 7,410,30,"","1,620,456",0
Ultimo - Colpa delle favole,466,53,"","1,618,110",395
Tedua & Chris Nolan - Mowgli,293,57,"","1,616,917",431
J Balvin - Colores,213,4,"","1,608,719",0
Drake - Views,352,26,"","1,603,244",0
Orelsan - La fête est finie,383,27,"","1,601,440",0
SDM - Liens du 100,423,18,"","1,599,531",735
Måneskin - Chosen,295,9,"","1,595,324",0
Sam Fender - Hypersonic Missiles,256,20,"","1,589,791",0
Werenoi - Carré,450,29,"","1,583,565","1,609"
Beyoncé - The Lion King: The Gift,164,2,(x8),"1,581,358",0
Booba - ULTRA,329,11,"","1,581,346",100
Drake - Take Care,177,66,"","1,579,418",303
Ninho - M.I.L.S,46,107,"","1,577,357",185
Shawn Mendes - Illuminate,308,14,"","1,565,942",0
ROSALÍA - MOTOMAMI,196,1,(x4),"1,565,599",0
Pinguini Tattici Nucleari - Fuori dall'Hype Ringo Starr,317,95,"","1,562,135",375
Metro Boomin - NOT ALL HEROES WEAR CAPES,135,1,(x8),"1,561,226",0
Lil Pump - Lil Pump,191,1,(x1),"1,558,528",0
The Carters - EVERYTHING IS LOVE,130,1,(x1),"1,551,509",0
Lomepal - Jeannine,332,31,"","1,551,273",0
ROSALÍA - MOTOMAMI +,354,8,"","1,541,768",227
Damso - Batterie faible,325,81,"","1,540,111",61
Lazza - Re Mida: Aurum,191,83,"","1,537,384",150
"HUNCHO JACK, Travis Scott & Quavo - Huncho Jack, Jack Huncho",147,1,(x6),"1,531,432",0
Tha Supreme - 23 6451,392,52,"","1,522,910",0
Noah Kahan - Stick Season,362,8,"","1,518,412","2,490"
Pop Smoke - Meet the Woo,340,11,"","1,514,577",0
Vitaa & Slimane - VersuS,425,40,"","1,500,388",0
AnnenMayKantereit - Schlagschatten,405,41,"","1,497,764",0
Rag'n'Bone Man - Human,311,18,"","1,489,886",0
Hamza - Sincèrement,436,20,"","1,489,477","1,322"
Pinguini Tattici Nucleari - AHIA,444,89,"","1,488,380",338
ANNA ASTI - Феникс,543,32,"","1,487,466",914
Zivert - Сияй - EP,396,79,"","1,487,229",0
MARKUL - Great Depression,368,56,"","1,487,076",0
Einstein Baby Lullaby Academy - Baby Lullaby: Relaxing Piano Lullabies and Natural Sleep Aid for Baby Sleep Music,453,46,"","1,480,729",0
Daft Punk - Random Access Memories,124,3,(x7),"1,480,463",0
"Kristen Anderson-Lopez & Robert Lopez, Idina Menzel, Kristen Bell & Christophe Beck - Frozen",386,87,"","1,478,680","1,275"
Arctic Monkeys - The Car,229,2,(x12),"1,471,332",0
Muse - Simulation Theory,258,4,"","1,471,253",0
Imagine Dragons - Mercury - Act 1,238,6,"","1,469,433",19
Linda Beldad - Música para Dormir Profundamente: Duermes Bien con Sonidos Relajantes de la Naturaleza,--,243,"","1,468,727",989
Boulevard Depo - Old Blood,268,42,"","1,468,054",356
Amy Winehouse - Back to Black,98,17,"","1,466,600","5,384"
Hamza - 1994,253,29,"","1,463,670",272
SCH - A7,16,170,"","1,463,619","1,064"
Apache 207 - Gartenstadt,399,32,"","1,463,237","2,099"
"SIX, Toby Marlow & Lucy Moss - Six: The Musical",145,140,"","1,462,215","1,151"
Selena Gomez - Rare,154,2,(x7),"1,456,818",0
Heuss L'enfoiré - En esprit,428,29,"","1,453,955",0
Ufo361 - 808,348,28,"","1,453,478",0
"Schlafmusik, Entspannungsmusik Oase & Regengeräusche - Regengeräusche",393,68,"","1,451,556","2,474"
Lomepal - Mauvais Ordre,389,25,"","1,445,601",56
Kontra K - Sie wollten Wasser doch kriegen Benzin,400,34,"","1,445,511",0
NF - The Search,222,4,"","1,443,315",0
Machine Gun Kelly - mainstream sellout,197,1,(x5),"1,439,002",0
Макс Корж - Жить в кайф,115,137,"","1,437,953",0
Red Hot Chili Peppers - Unlimited Love,142,1,(x10),"1,431,293",0
Arctic Monkeys - Tranquility Base Hotel & Casino,175,1,(x2),"1,430,278",0
Angèle - Nonante-Cinq,425,17,"","1,428,720",0
Nina Chuba - Glas,387,25,"","1,426,819",750
SCH - JVLIVS,203,29,"","1,423,653","1,602"
Zivert - Vinyl #1,392,65,"","1,422,934",99
Mac Miller - Circles,102,2,(x10),"1,422,183",0
Niska - Mr Sal,345,15,"","1,421,340",0
The Black Eyed Peas - Translation,249,2,(x9),"1,416,005",0
Sam Fender - Seventeen Going Under,411,12,"","1,412,290",0
PLK - Polak,358,32,"","1,411,172",0
Madonna - Madame X,138,1,(x6),"1,405,809",0
OG Buda - ОПГ СИТИ,185,68,"","1,404,942",361
Ninho - NI,341,15,"","1,403,985","2,577"
Bad Bunny - X 100PRE,160,18,"","1,402,693",95
Jul - Demain ça ira,320,27,"","1,402,046",498
Zola - Cicatrices,367,27,"","1,397,636",0
MACHETE - MACHETE MIXTAPE 4,365,62,"","1,396,387",118
Dermot Kennedy - Without Fear,238,10,"","1,394,655",0
Eminem - Music To Be Murdered By - Side B,155,2,(x5),"1,393,899",452
Carl Brave - Notti Brave,448,93,"","1,393,826",0
Земфира - Прости меня моя любовь,18,168,"","1,392,158",439
Lil Baby - My Turn,200,2,(x3),"1,390,859",0
Central Cee - Wild West,291,7,"","1,389,283",0
ABBA - Voyage,188,1,(x2),"1,386,972",0
Various Artists - Mamma Mia,314,26,"","1,386,003",0
Jul - Rien 100 Rien,221,32,"","1,385,465",232
21 Savage - american dream,117,1,(x22),"1,382,859",632
Luciano - L.O.C.O.,313,33,"","1,382,545",0
Lomepal - FLIP,473,52,"","1,377,422",0
PHARAOH - Правило,212,37,"","1,375,595",0
Doja Cat - Scarlet,155,2,(x4),"1,374,164",192
"Lil Peep - Come Over When You're Sober, Pt. 2",149,2,(x4),"1,371,387",35
Depeche Mode - Memento Mori,150,1,(x2),"1,370,399",61
Verschiedene Interpreten - Die Eiskönigin 2,322,47,"","1,367,768",0
Wizkid - Made In Lagos,305,5,"","1,365,510",0
J. Cole - KOD,149,1,(x7),"1,364,967",0
Young Thug - So Much Fun,140,1,(x6),"1,363,060",0
P!nk - Hurts 2B Human,178,3,(x7),"1,356,243",0
Michele Garruti & Giampaolo Pasquile - Ninna Nanna al Carillon,72,165,"","1,356,184","1,395"
ROSALÍA - EL MAL QUERER,233,41,"","1,352,059",120
kizaru - Karmageddon,373,55,"","1,349,993",0
Sonido de Lluvia de IMG Library - Lluvia Con Truenos,--,228,"","1,349,664","1,048"
Capital Bra - CB6,341,23,"","1,347,370",0
Rkomi - TAXI DRIVER,487,62,"","1,346,148",0
Muse - Will Of The People,193,2,(x5),"1,345,400",0
Playboi Carti - Die Lit,106,3,(x7),"1,344,018",0
6LACK - East Atlanta Love Letter,151,2,(x7),"1,337,265",0
Halsey - Manic,145,3,(x8),"1,337,062",0
SCH - Rooftop,337,21,"","1,335,859",239
Various Artists - Moana,357,101,"","1,334,503",0
Beyoncé - HOMECOMING: THE LIVE ALBUM,126,2,(x3),"1,329,560",0
Justin Bieber - Purpose,273,31,"","1,327,605",0
Various Artists - My Favourite Nursery Rhymes,390,137,"","1,327,273",773
Future - I NEVER LIKED YOU,127,1,(x7),"1,325,595",42
Sido - PAUL,305,21,"","1,319,031",281
Katy Perry - Witness,165,5,"","1,317,888",0
BTS - MAP OF THE SOUL : 7,141,1,(x4),"1,317,080",0
Lana Del Rey - Chemtrails Over the Country Club,153,2,(x14),"1,314,422",0
"Miyagi & Эндшпиль - Hajime, Pt. 1",90,132,"","1,313,863",326
Хаски - Любимые песни,335,119,"","1,312,350",0
Sfera Ebbasta & Charlie Charles - XDVR Reloaded,75,103,"","1,311,327",106
Dave & Central Cee - Split Decision - EP,125,1,(x7),"1,310,978",0
Chris Brown - Indigo,144,1,(x2),"1,310,016",0
Anuel AA - Real Hasta la Muerte,74,49,"","1,304,445",236
Future & Metro Boomin - WE DON'T TRUST YOU,75,1,(x7),"1,302,924","10,829"
Ava Max - Heaven & Hell,249,1,(x6),"1,302,567",0
Aya Nakamura - DNK,313,12,"","1,302,341",221
"Die Schule der magischen Tiere, Nico Wellenbrink, Robin Kallenberger, Vincent Stein, Robin Haefs, Ali Zuckowski, Konstantin Scherer, Yanek Stärk & Yanek Stärk - Die Schule der magischen Tiere 2 - Soundtrack zum Film",400,36,"","1,302,299","1,096"
Various Artists - Sing 2,347,20,"","1,301,683",0
Beyoncé - COWBOY CARTER,68,1,(x14),"1,298,425","14,074"
Metro Boomin - METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE,118,1,(x5),"1,297,087",74
Various Artists - Frozen 2,293,18,"","1,294,891",0
SCH - Autobahn,360,23,"","1,294,620",480
21 Savage & Metro Boomin - SAVAGE MODE II,113,1,(x20),"1,292,144",0
Laylow - L'Étrange Histoire de Mr.Anderson,325,31,"","1,292,027",0
