Artist,Total,Today,1M,2M,3M,4M,5M
Dean Lewis,"5,053,895","1,270",2,1,0,0,0
Mr. Probz,"5,043,804",0,1,1,1,1,0
Lucenzo,"5,035,369",53,1,1,1,1,0
Emeli Sandé,"4,987,282",0,2,0,0,0,0
TWICE,"4,958,774",54,0,0,0,0,0
Bastille,"4,928,460",32,1,1,0,0,0
Lykke Li,"4,910,958",571,1,1,1,1,0
Imany,"4,884,493",0,2,1,1,0,0
U2,"4,878,214",0,1,0,0,0,0
Calum Scott,"4,869,289",151,2,1,0,0,0
The Lumineers,"4,868,489",129,1,1,1,1,0
Robbie Williams,"4,859,720",73,1,0,0,0,0
J Balvin,"4,834,562",0,1,0,0,0,0
The Killers,"4,775,586",65,2,0,0,0,0
Luke Bryan,"4,765,857",66,0,0,0,0,0
Birdy,"4,743,907",205,3,0,0,0,0
Glee Cast,"4,657,322",0,0,0,0,0,0
Avril Lavigne,"4,646,661",86,1,0,0,0,0
Niall Horan,"4,646,260",0,1,0,0,0,0
Martin Solveig,"4,642,244",83,1,1,1,0,0
Carlos Vives,"4,617,373","1,309",1,0,0,0,0
Muse,"4,611,441",174,0,0,0,0,0
John Newman,"4,606,416",0,1,1,1,0,0
Icona Pop,"4,601,292",593,1,1,1,0,0
Master KG,"4,588,109",76,1,1,1,1,0
Madcon,"4,523,688",200,1,0,0,0,0
Maître Gims,"4,514,709",0,0,0,0,0,0
B.o.B,"4,423,469",43,1,1,0,0,0
Alexandra Stan,"4,341,355",0,1,1,1,0,0
Guns N' Roses,"4,339,039",894,1,0,0,0,0
Lady Antebellum,"4,318,954",0,1,1,0,0,0
Tinie Tempah,"4,317,314",0,1,0,0,0,0
Paul McCartney,"4,315,201",0,1,1,1,0,0
Calvin Harris & Disciples,"4,299,967",0,1,1,1,1,0
Iggy Azalea,"4,286,294",0,2,0,0,0,0
Armin van Buuren,"4,284,933",228,1,0,0,0,0
James Bay,"4,265,471",0,2,0,0,0,0
Zedd,"4,260,119",0,1,0,0,0,0
Blake Shelton,"4,208,504",0,0,0,0,0,0
RADWIMPS,"4,183,898",0,0,0,0,0,0
A Great Big World,"4,161,038",545,1,1,1,0,0
Far East Movement,"4,131,218",0,1,0,0,0,0
Romeo Santos,"4,126,846",909,1,0,0,0,0
Felix Jaehn,"4,113,108",64,1,1,0,0,0
DJ Antoine,"4,071,741",237,1,0,0,0,0
Ado,"4,065,893","2,355",0,0,0,0,0
Aloe Blacc,"4,038,113",53,2,1,0,0,0
Jess Glynne,"4,032,018",0,1,0,0,0,0
Mumford & Sons,"4,012,935",0,1,0,0,0,0
Capital Cities,"3,994,620",39,1,1,1,0,0
Tove Lo,"3,980,628",0,1,0,0,0,0
Labrinth,"3,952,171",420,1,1,0,0,0
Nico & Vinz,"3,937,364",241,1,1,1,0,0
King Gnu,"3,923,136",206,0,0,0,0,0
Bon Jovi,"3,915,013","2,501",1,0,0,0,0
Helene Fischer,"3,906,160",120,1,0,0,0,0
Inna,"3,852,003",105,1,0,0,0,0
Alesso,"3,834,496",87,2,0,0,0,0
Duke Dumont,"3,833,578",0,2,1,0,0,0
Rema & Selena Gomez,"3,819,616",810,1,1,1,0,0
Dermot Kennedy,"3,797,224",0,1,0,0,0,0
Nickelback,"3,751,368",579,0,0,0,0,0
Vance Joy,"3,744,423",0,1,0,0,0,0
Wham!,"3,741,673",33,1,1,1,0,0
Céline Dion,"3,739,536",453,0,0,0,0,0
SAINt JHN,"3,734,745",73,1,1,1,0,0
Mrs. Green Apple,"3,729,189","5,449",0,0,0,0,0
Snow Patrol,"3,720,617","1,547",1,0,0,0,0
Skrillex,"3,714,641",263,1,1,0,0,0
Zhang Zhe Han,"3,689,873",47,0,0,0,0,0
LP,"3,665,362",0,1,1,0,0,0
Nicky Jam,"3,651,180",14,1,0,0,0,0
Kendrick Lamar,"3,618,040","4,037",1,0,0,0,0
"Calvin Harris, Dua Lipa","3,573,490",0,1,1,1,0,0
ZAZ,"3,538,860",0,1,1,0,0,0
Khalid,"3,526,109",0,1,0,0,0,0
Jesse & Joy,"3,525,036",417,1,1,0,0,0
Teddy Swims,"3,524,983","18,887",1,1,0,0,0
Ofenbach,"3,522,253","1,914",2,0,0,0,0
Ed Sheeran & Justin Bieber,"3,509,954",0,1,1,1,0,0
Ricky Martin,"3,505,695",300,1,0,0,0,0
Dynoro & Gigi d'Agostino,"3,498,023",216,1,1,1,0,0
The Kid LAROI & Justin Bieber,"3,482,568",101,1,1,1,0,0
Cardi B,"3,454,442",32,1,0,0,0,0
ABBA,"3,441,461","1,118",0,0,0,0,0
Disclosure,"3,438,701","1,183",1,0,0,0,0
Jason Aldean,"3,436,098",151,0,0,0,0,0
Florida Georgia Line,"3,434,898",0,0,0,0,0,0
Kylie Minogue,"3,413,091",34,0,0,0,0,0
Marshmello,"3,411,351",0,1,0,0,0,0
Post Malone & Swae Lee,"3,404,741",208,1,1,1,0,0
Anne-Marie,"3,401,427",0,1,0,0,0,0
David Guetta & Bebe Rexha,"3,389,085",264,1,1,1,0,0
Jax Jones,"3,382,674",0,2,0,0,0,0
Adam Lambert,"3,367,180",122,1,0,0,0,0
Cee Lo Green,"3,358,252",0,1,0,0,0,0
Thomas Rhett,"3,352,727",461,0,0,0,0,0
Israel Kamakawiwo'ole,"3,349,832",303,1,1,0,0,0
Timati,"3,348,231",0,1,0,0,0,0
Lauren Daigle,"3,345,036",82,1,1,0,0,0
Official髭男dism,"3,339,037",0,0,0,0,0,0
DNCE,"3,326,987",0,1,1,0,0,0
Selena Gomez & The Scene,"3,321,116",0,1,0,0,0,0
Andreas Gabalier,"3,317,556",482,1,0,0,0,0
Red Hot Chili Peppers,"3,304,284",84,0,0,0,0,0
Keala Settle & The Greatest Showman Ensemble,"3,291,367",305,1,1,1,0,0
Portugal. The Man,"3,284,903",0,1,1,1,0,0
Owl City,"3,263,328",0,1,1,0,0,0
Dr. Dre,"3,261,345",467,2,0,0,0,0
Nicky Jam & Enrique Iglesias,"3,245,448",0,1,1,1,0,0
SEKAI NO OWARI,"3,241,399",963,0,0,0,0,0
Rachel Platten,"3,220,645",17,1,1,0,0,0
Galantis,"3,217,288",0,2,0,0,0,0
Joel Corry,"3,215,551",0,1,1,0,0,0
Asaf Avidan & the Mojos,"3,196,319",0,1,1,1,0,0
ONE OK ROCK,"3,194,372",0,0,0,0,0,0
Ne-Yo,"3,193,647",0,1,0,0,0,0
BIGBANG,"3,181,694",62,0,0,0,0,0
Sam Hunt,"3,181,027",0,1,0,0,0,0
Marshmello & Bastille,"3,167,705",0,1,1,1,0,0
The Beatles,"3,152,990",0,0,0,0,0,0
Duck Sauce,"3,152,919",164,1,1,0,0,0
Regard,"3,151,951",0,1,1,1,0,0
Glass Animals,"3,133,624",177,1,1,1,0,0
Kygo & Selena Gomez,"3,114,818",43,1,1,1,0,0
Cro,"3,103,635",0,0,0,0,0,0
Keith Urban,"3,102,546",47,0,0,0,0,0
Troye Sivan,"3,098,702",120,0,0,0,0,0
Sido,"3,090,973",0,0,0,0,0,0
Lost Frequencies & Calum Scott,"3,086,435",796,1,1,1,0,0
Jay Chou,"3,078,133",416,0,0,0,0,0
Klingande,"3,070,572",90,1,1,0,0,0
Idina Menzel,"3,044,006",0,1,1,0,0,0
Charli XCX,"3,035,453",177,1,0,0,0,0
AWOLNATION,"3,021,758",76,1,1,0,0,0
Kungs & Cookin' On 3 Burners,"3,016,301",0,1,1,1,0,0
Fleetwood Mac,"3,000,112",227,1,0,0,0,0
Nelly,"2,992,487",181,1,0,0,0,0
Fall Out Boy,"2,987,067",0,0,0,0,0,0
Bad Bunny,"2,986,984",0,0,0,0,0,0
Pablo Alborán,"2,976,830",10,0,0,0,0,0
Gayle,"2,949,585",398,1,1,0,0,0
R. City,"2,947,900",118,1,1,0,0,0
"Calvin Harris, Sam Smith","2,936,737",0,1,1,0,0,0
Years & Years,"2,931,417",0,1,0,0,0,0
あいみょん,"2,931,346",0,0,0,0,0,0
Sunrise Avenue,"2,929,229",0,1,0,0,0,0
Walk the Moon,"2,919,564",115,1,1,0,0,0
Alessia Cara,"2,912,333",0,1,0,0,0,0
Guy Sebastian,"2,909,125",0,0,0,0,0,0
AKB48,"2,899,997",0,0,0,0,0,0
Amy Winehouse,"2,897,534",615,0,0,0,0,0
Topic & A7S,"2,884,734",670,1,1,0,0,0
Of Monsters and Men,"2,879,778",0,1,1,0,0,0
Tom Walker,"2,875,856",0,1,1,0,0,0
Lil Wayne,"2,866,420",0,0,0,0,0,0
Arijit Singh,"2,839,268",0,0,0,0,0,0
Kaleo,"2,794,357",48,1,1,0,0,0
Bruce Springsteen,"2,786,866",202,0,0,0,0,0
Axwell Λ Ingrosso,"2,786,280",0,1,0,0,0,0
Purple Disco Machine & Sophie and the Giants,"2,783,427",95,2,0,0,0,0
MIKA,"2,761,679",0,0,0,0,0,0
Jawsh 685 x Jason Derulo,"2,757,755",0,1,1,0,0,0
Lauv,"2,741,403",0,1,0,0,0,0
BUMP OF CHICKEN,"2,718,132",107,0,0,0,0,0
John Mayer,"2,703,085",39,0,0,0,0,0
Luis Fonsi & Demi Lovato,"2,699,145",0,1,1,0,0,0
Burak Yeter,"2,691,868",270,1,1,0,0,0
Sheppard,"2,691,451",135,1,0,0,0,0
The Rolling Stones,"2,691,135",0,0,0,0,0,0
Official HIGE DANdism,"2,688,020",121,0,0,0,0,0
Tate McRae,"2,682,202",198,1,0,0,0,0
Kid Cudi,"2,680,056",0,1,1,0,0,0
Stray Kids,"2,667,277",0,0,0,0,0,0
Yolanda Be Cool & Dcup,"2,662,383",0,1,1,0,0,0
Gusttavo Lima,"2,651,313",0,1,1,0,0,0
Journey,"2,647,007","5,617",1,1,0,0,0
Gym Class Heroes,"2,642,701",73,1,0,0,0,0
Sam Smith & Normani,"2,635,933",0,1,1,0,0,0
"Bruno Mars, Anderson .Paak & Silk Sonic","2,624,418",0,1,0,0,0,0
Sam Smith & Kim Petras,"2,604,162",309,1,1,0,0,0
Jain,"2,601,026",0,1,0,0,0,0
Benson Boone,"2,585,431","16,786",1,0,0,0,0
French Montana,"2,577,666",0,1,1,0,0,0
Don Omar,"2,566,915",0,0,0,0,0,0
surf mesa,"2,566,035",110,1,1,0,0,0
Masked Wolf,"2,561,928",140,1,1,0,0,0
Tom Odell,"2,556,719","1,533",1,1,0,0,0
Foo Fighters,"2,552,244",0,0,0,0,0,0
Feder,"2,534,574",23,1,0,0,0,0
Leona Lewis,"2,527,854",265,1,0,0,0,0
Marco Mengoni,"2,523,268",0,0,0,0,0,0
Farruko,"2,520,493",0,1,1,0,0,0
Michael Patrick Kelly,"2,516,687",0,0,0,0,0,0
Ricardo Arjona,"2,513,565",0,1,0,0,0,0
ZAYN & Taylor Swift,"2,511,596",0,1,1,0,0,0
Alejandro Fernández,"2,508,958",0,1,0,0,0,0
Bebe Rexha,"2,505,174",0,0,0,0,0,0
Skrillex & Diplo,"2,503,257",0,1,1,0,0,0
Kane Brown,"2,502,377",0,0,0,0,0,0
Alejandro Sanz,"2,499,160",0,0,0,0,0,0
Acraze,"2,490,802",0,1,1,0,0,0
Indila,"2,488,091",0,1,0,0,0,0
Aimer,"2,477,161","2,227",0,0,0,0,0
Jovanotti,"2,467,285",0,0,0,0,0,0
Wisin & Yandel,"2,466,987",0,1,0,0,0,0
Jelly Roll,"2,460,582","5,079",0,0,0,0,0
Mabel,"2,458,317",0,1,0,0,0,0
Selena Gomez & Marshmello,"2,449,346",0,1,1,0,0,0
Pentatonix,"2,443,235",0,1,0,0,0,0
Apache 207,"2,436,394","1,414",1,0,0,0,0
Soprano,"2,435,969",559,0,0,0,0,0
Kate Bush,"2,431,296",0,1,0,0,0,0
Sarah Connor,"2,419,573",119,0,0,0,0,0
"Cardi B, Bad Bunny & J Balvin","2,418,245",0,1,1,0,0,0
Rasmus Seebach,"2,410,954",135,0,0,0,0,0
Artik & Asti,"2,405,637",299,0,0,0,0,0
Take That,"2,405,623",197,1,0,0,0,0
Whitney Houston,"2,403,833",126,1,0,0,0,0
Macklemore,"2,395,342",904,0,0,0,0,0
Lenny Kravitz,"2,390,086","3,553",0,0,0,0,0
Rammstein,"2,389,987",350,0,0,0,0,0
Showtek,"2,386,889",60,1,0,0,0,0
Skylar Grey,"2,383,885",0,1,0,0,0,0
Meduza,"2,381,742",0,1,0,0,0,0
J Balvin & Willy William,"2,378,823",0,1,1,0,0,0
Jung Kook,"2,373,791",111,0,0,0,0,0
Stevie Wonder,"2,365,799",376,1,0,0,0,0
Louane,"2,356,288",243,0,0,0,0,0
Lil Jon,"2,353,918",157,1,1,0,0,0
Dan + Shay,"2,353,122",0,0,0,0,0,0
Eagles,"2,352,863",405,1,1,0,0,0
WANIMA,"2,346,614",0,0,0,0,0,0
Rema,"2,337,331",59,1,1,0,0,0
Faul & Wad Ad & Pnau,"2,336,276",0,1,1,0,0,0
P!nk & Willow Sage Hart,"2,334,011",196,1,1,0,0,0
Coldplay X BTS,"2,307,869",151,1,1,0,0,0
Walker Hayes,"2,303,543",0,1,0,0,0,0
EXO,"2,298,734",0,0,0,0,0,0
50 Cent,"2,296,350",116,0,0,0,0,0
Tiësto & Ava Max,"2,287,960",464,1,1,0,0,0
Matt Simons,"2,285,959",0,1,0,0,0,0
Freya Ridings,"2,284,520",0,1,0,0,0,0
Gossip,"2,282,457",92,1,0,0,0,0
Kiesza,"2,281,187",0,1,0,0,0,0
The Cranberries,"2,279,812",638,1,0,0,0,0
Volbeat,"2,275,335",0,0,0,0,0,0
AronChupa,"2,270,349",0,1,1,0,0,0
GOT7,"2,266,783",0,0,0,0,0,0
Julia Michaels,"2,261,977",0,1,0,0,0,0
JJ Lin,"2,258,575",36,0,0,0,0,0
V,"2,251,831",4,0,0,0,0,0
Billie Eilish & Khalid,"2,249,170",124,1,1,0,0,0
Future,"2,242,627",0,0,0,0,0,0
Riton & Nightcrawlers,"2,238,574",0,1,1,0,0,0
Ella Henderson,"2,232,353","1,394",1,0,0,0,0
Sigala,"2,226,601",0,0,0,0,0,0
Amy Shark,"2,217,533",0,0,0,0,0,0
Marshmello & Anne-Marie,"2,213,760",0,1,1,0,0,0
Xxxtentacion,"2,209,144",0,0,0,0,0,0
Kungs,"2,208,339",0,0,0,0,0,0
"Calvin Harris, Rag’n’Bone Man","2,205,987",0,1,1,0,0,0
Mr.Children,"2,201,958",368,0,0,0,0,0
NewJeans,"2,200,878","4,961",0,0,0,0,0
Travis Scott,"2,184,277",383,0,0,0,0,0
Rosalía,"2,183,719",0,0,0,0,0,0
Alice Merton,"2,178,403",0,1,0,0,0,0
Zivert,"2,176,268",141,0,0,0,0,0
Eason Chan,"2,173,554",93,0,0,0,0,0
Wincent Weiss,"2,166,029",0,0,0,0,0,0
Loboda,"2,165,297",0,0,0,0,0,0
Sak Noel,"2,164,548",90,1,1,0,0,0
Angèle,"2,158,726",0,0,0,0,0,0
Sexion d'Assaut,"2,150,147",0,0,0,0,0,0
Arctic Monkeys,"2,142,202",120,1,0,0,0,0
Desiigner,"2,112,803",0,1,1,0,0,0
Seiler Und Speer,"2,111,494",191,0,0,0,0,0
Andy Grammer,"2,108,209",46,0,0,0,0,0
The Weeknd & Ariana Grande,"2,106,930",211,1,0,0,0,0
